f111	x	y	elev240	slope240	forest240	dtree240	dhigh240	descape240	rghasp240	amuse	elkuse	wolfuse	road240
1	514983.78694287	5000913.9525786	1899.188	19.26563	0	933.8156	79.16534	79.16534	1.141346	0.03485793	2523.299	0	4.34375
1	515223.78694287	5000913.9525786	1966.203	18.95313	0	775.235	60.11175	60.11175	1.009719	0.04907976	2803.368	0	0
1	515463.78694287	5000913.9525786	2049.875	20.65625	0	565.8494	21.7083	21.7083	1.160462	0.06709697	3741.177	0	0
1	515703.78694287	5000913.9525786	2063.344	14.64063	0	393.1857	100.2536	100.2536	1.060771	0.08135592	4156.151	0	0
1	515943.78694287	5000913.9525786	2047.516	11.78125	0	323.0076	99.74917	99.74917	1.016435	0.1062759	4399.157	0	0
1	516183.78694287	5000913.9525786	2059.797	14.17188	0	325.2952	54.62574	54.62574	1.090052	0.1355838	3964.138	0	0
1	516423.78694287	5000913.9525786	1997.375	18.78125	0	169.719	96.55226	96.55226	1.062756	0.1575978	3741.856	0	0
1	516663.78694287	5000913.9525786	1967.438	9.875	22	38.84466	107.2212	38.84466	0.9814363	0.1945015	3599.737	0	0
1	516903.78694287	5000913.9525786	2018.391	20.09375	39	21.64791	28.12475	21.64791	0.9583423	0.2363907	3713.067	0	0.734375
1	517143.78694287	5000913.9525786	2075.219	24.64063	0	143.468	12.14039	12.14039	1.208598	0.2673601	3650.714	0	6.296875
1	517383.78694287	5000913.9525786	2051.031	22.48438	0	323.964	22.92575	22.92575	1.187305	0.3189243	3813.496	0	8.125
1	517623.78694287	5000913.9525786	2076.844	20.1875	0	442.6198	84.11704	84.11704	1.173305	0.3773265	3969.883	0	8.125
1	517863.78694287	5000913.9525786	2085.359	19.34375	0	529.4719	86.78967	86.78967	1.084252	0.4204086	4245.734	0	8.125
1	518103.78694287	5000913.9525786	2075.141	17.875	0	426.4331	214.6737	214.6737	0.95121	0.4913366	4497.451	0	8.125
1	518343.78694287	5000913.9525786	2044.578	11.3125	0	247.0758	356.5296	247.0758	0.937509	0.5693336	4707.37	0	8.125
1	518583.78694287	5000913.9525786	2044.359	9.734375	0	182.6351	337.9713	182.6351	0.9120151	0.6244674	5088.142	0	6.4375
1	518823.78694287	5000913.9525786	2057.016	6.640625	2	112.8486	326.7812	112.8486	0.8883082	0.7097233	5103.9	0	0.75
1	519063.78694287	5000913.9525786	2045.797	13.5	58	3.006663	284.5086	3.006663	1.021819	0.794292	4973.993	0	0
1	519303.78694287	5000913.9525786	2062.844	11.5625	40	12.57582	66.1673	12.57582	1.01131	0.8476966	4995.543	0	0
1	519543.78694287	5000913.9525786	2127.797	18.09375	40	21.2439	50.23537	21.2439	0.9351069	0.9189199	5178.92	0	0
1	519783.78694287	5000913.9525786	2149.297	16.9375	0	131.9366	74.84035	74.84035	0.9173828	0.9740983	4991.853	0	0
1	520023.78694287	5000913.9525786	2097.047	18.15625	34	26.72341	31.85687	26.72341	1.084225	0.999247	5342.14	0	0
1	520263.78694287	5000913.9525786	2102.641	16.65625	53	6.287912	100.2576	6.287912	1.099423	1.016375	5313.16	0	0
1	520503.78694287	5000913.9525786	2103.219	14.79688	56	3.75	170.6454	3.75	0.7715585	1.006682	5662.719	0	0
1	520743.78694287	5000913.9525786	2132.531	17.25	53	5.350412	190.6297	5.350412	0.7925512	0.9851429	6040.708	0	0
