x	y	Time	elev240	slope240	forest240	dtree240	dhigh240	descape240	rghasp240	amuse	elkuse	wolfuse	road240	ExtentFile
528385	4984622	0	1979.266	24.797	43	14.290	13.075	13.075	1.174	0.5527	3279.562	0.0000	83	f111_esum00.txt
530352	4983658	8	1970.875	14.641	64	0.000	168.450	0.000	0.958	0.8655	5189.683	0.0000	0	f111_esum00.txt
530521	4984270	17	1844.563	21.063	64	0.000	26.674	0.000	1.010	0.9817	2238.590	0.0000	32	f111_esum00.txt
528449	4985126	23	1807.625	28.391	64	0.000	13.352	0.000	1.221	0.5880	1643.252	0.0000	0	f111_esum00.txt
521943	4994126	38	2809.703	25.719	46	9.683	5.350	5.350	1.114	0.1336	18364.949	0.0000	0	f111_esum00.txt
531122	4985966	44	2310.813	21.375	59	2.732	28.164	2.732	1.139	0.8692	7586.701	0.0000	0	f111_esum00.txt
531385	4984886	51	1724.172	25.109	64	0.000	14.511	0.000	1.140	1.1273	1318.311	0.0000	123	f111_esum00.txt
530837	4984465	59	1768.344	31.609	56	3.750	2.813	2.813	1.235	1.0605	1447.721	0.0000	57	f111_msum00.txt
531332	4984781	69	1691.391	15.313	50	6.563	51.588	6.563	0.986	1.1286	1296.199	0.0000	28	f111_msum00.txt
531389	4984960	72	1777.094	29.797	64	0.000	6.207	0.000	1.182	1.1273	1353.749	0.0000	200	f111_msum00.txt
531354	4984985	75	1781.172	30.969	64	0.000	4.138	0.000	1.123	1.1083	1371.414	0.0000	0	f111_msum00.txt
532972	4982291	78	1868.859	24.922	64	0.000	16.855	0.000	1.272	0.8153	3028.898	0.0000	16	f111_msum00.txt
531413	4984998	83	1792.828	29.563	64	0.000	7.420	0.000	1.154	1.1180	1353.749	0.0000	2	f111_msum00.txt
531321	4984764	85	1686.094	12.438	50	6.563	56.774	6.563	0.939	1.1286	1296.199	0.0000	2	f111_msum00.txt
532326	4984488	91	1789.438	24.703	59	3.007	19.058	3.007	1.025	1.1953	1912.020	0.0000	41	f111_msum00.txt
532053	4985124	103	2008.953	28.375	59	2.344	2.344	2.344	1.079	1.1456	3170.106	0.0000	2	f111_msum00.txt
528842	4984212	120	1908.578	31.609	64	0.000	0.000	0.000	1.054	0.6167	2502.996	0.0000	0	f111_lsum00.txt
529176	4982630	127	2058.969	8.594	0	117.200	232.415	117.200	1.000	0.4905	5536.226	0.0000	76	f111_lsum00.txt
531592	4983325	133	2038.688	33.313	64	0.000	3.007	0.000	1.154	0.9872	5250.899	0.0000	0	f111_lsum00.txt
