"x","y","forest240","wolfuse","Prob","CumProb"
530823.78694287,4983393.9525786,1,0,0.0034840962556928,0.0034840962556928
530583.78694287,4983633.9525786,1,0,0.00338227029649953,0.00686636655219233
530823.78694287,4983633.9525786,1,0,0.00338162149458874,0.0102479880467811
531063.78694287,4983393.9525786,1,0,0.00329826827434757,0.0135462563211286
530343.78694287,4983633.9525786,1,0,0.00323879545865188,0.0167850517797805
531063.78694287,4983633.9525786,1,0,0.00323744984329603,0.0200225016230766
530583.78694287,4983873.9525786,1,0,0.00318409120710444,0.023206592830181
530823.78694287,4983873.9525786,1,0,0.00318368603982142,0.0263902788700024
530583.78694287,4982913.9525786,1,3.98353638079715e-06,0.00316983013479962,0.0295601090048020
530343.78694287,4983393.9525786,0.96875,2.63730865758293e-05,0.00310609995722999,0.032666208962032
530343.78694287,4983873.9525786,1,0,0.00308296565329337,0.0357491746153254
531063.78694287,4983873.9525786,1,0,0.00308193273479355,0.0388311073501189
531303.78694287,4983393.9525786,1,0,0.00307551748041817,0.0419066248305371
530103.78694287,4983393.9525786,1,0.000917896446513396,0.00306327875549914,0.0449699035860362
530343.78694287,4982913.9525786,1,0.00120005082786058,0.00305267106684906,0.0480225746528853
530103.78694287,4983633.9525786,1,3.33702399276603e-05,0.00303449188654025,0.0510570665394256
531303.78694287,4983633.9525786,1,0,0.00303338568270663,0.0540904522221322
531303.78694287,4983153.9525786,1,0,0.00302771311629675,0.0571181653384289
530103.78694287,4983153.9525786,1,0.00415371972106592,0.00296768019074983,0.0600858455291787
530583.78694287,4984113.9525786,1,0,0.00295659167076028,0.063042437199939
530823.78694287,4984113.9525786,1,0,0.00295630143255636,0.0659987386324954
530583.78694287,4982673.9525786,1,5.0868357280983e-05,0.00294055429279868,0.068939292925294
530103.78694287,4983873.9525786,1,0,0.00291607434157728,0.0718553672668714
531303.78694287,4983873.9525786,1,0,0.00291469479848111,0.0747700620653525
530343.78694287,4984113.9525786,1,0,0.00288134722972688,0.0776514092950794
531063.78694287,4984113.9525786,1,0,0.00288055275529018,0.0805319620503695
530343.78694287,4983153.9525786,0.9375,0.000457631306506398,0.00285697606080527,0.0833889381111748
531543.78694287,4983393.9525786,1,0,0.00283797705129183,0.0862269151624666
530343.78694287,4982673.9525786,1,0.00290502029514716,0.00282644304090163,0.0890533582033683
530583.78694287,4983393.9525786,0.890625,0,0.00282144961600368,0.091874807819372
531543.78694287,4983633.9525786,1,0,0.00280643325277783,0.0946812410721498
529863.78694287,4983633.9525786,1,0.000287467548642839,0.00280414609517023,0.09748538716732
531543.78694287,4983153.9525786,1,0,0.00280212932932409,0.100287516496644
