Date	Hour	X	Y
9/28/2002	12:00	606170.927	5151096.52
9/28/2002	17:00	606961.596	5150606.58
9/28/2002	22:00	606914.481	5150579.92
9/29/2002	3:00	606758.094	5150089.70
9/29/2002	8:00	606830.850	5150316.85
9/29/2002	13:00	606764.315	5150259.55
9/29/2002	18:00	607201.726	5151350.28
9/30/2002	14:00	607160.636	5151460.75
10/1/2002	15:00	607250.600	5151363.90
10/1/2002	20:00	607325.442	5151254.44
10/2/2002	1:00	607260.915	5151518.27
10/2/2002	11:00	607015.080	5151229.14
10/2/2002	16:00	606945.932	5150929.02
10/2/2002	21:00	606933.601	5150975.47
10/3/2002	2:00	606895.789	5150987.14
10/3/2002	12:00	606966.865	5150525.46
10/3/2002	22:00	606560.333	5149462.36
10/4/2002	3:00	606595.391	5149433.14
10/4/2002	8:00	606622.044	5149489.07
10/4/2002	13:00	606647.674	5149384.78
10/4/2002	23:00	606586.540	5149500.00
10/5/2002	4:00	606592.640	5149502.34
10/5/2002	9:00	606794.678	5149668.46
10/5/2002	14:00	606771.523	5149675.64
10/5/2002	19:00	606740.050	5149675.61
10/6/2002	0:00	606732.879	5149690.55
10/6/2002	5:00	606743.737	5149684.20
10/6/2002	10:00	606766.376	5149662.75
10/6/2002	15:00	606825.894	5150162.48
10/7/2002	1:00	606770.384	5150176.39
10/7/2002	11:00	606772.617	5150354.74
10/8/2002	2:00	606356.458	5150582.25
10/8/2002	7:00	606044.799	5149048.33
10/8/2002	12:00	606167.570	5150367.68
10/9/2002	3:00	606343.177	5150595.58
10/9/2002	8:00	606275.238	5150530.72
10/9/2002	13:00	606622.283	5150174.17
10/9/2002	18:00	606940.739	5150570.70
10/9/2002	23:00	606991.537	5150606.15
10/10/2002	4:00	606989.933	5150610.04
10/10/2002	14:00	607022.693	5151015.19
10/10/2002	19:00	607407.092	5151020.80
10/11/2002	0:00	607153.362	5151134.13
10/11/2002	15:00	607361.338	5151134.24
10/12/2002	1:00	607112.411	5151323.55
10/12/2002	11:00	606882.810	5151288.05
10/12/2002	16:00	607111.787	5151793.21
10/13/2002	2:00	606966.125	5151524.48
10/13/2002	17:00	606986.896	5151130.20
10/13/2002	22:00	606989.113	5151134.98
10/14/2002	13:00	607189.710	5151074.99
10/14/2002	23:00	607168.072	5150996.59
10/15/2002	14:00	606896.557	5150551.74
10/16/2002	0:00	606713.627	5150130.33
10/16/2002	5:00	606680.066	5149856.43
10/16/2002	15:00	606543.677	5149580.28
10/16/2002	20:00	606530.671	5149490.35
10/17/2002	1:00	606571.232	5149541.14
10/17/2002	11:00	606540.185	5149429.42
10/17/2002	21:00	606688.121	5149660.29
10/18/2002	2:00	606666.968	5149684.59
10/18/2002	7:00	606620.848	5149644.48
10/18/2002	12:00	606673.812	5149775.55
10/18/2002	22:00	606733.177	5149891.75
10/19/2002	3:00	606726.833	5149859.68
10/19/2002	8:00	606709.170	5149991.00
10/19/2002	13:00	606687.190	5149844.18
10/19/2002	18:00	606618.252	5149617.44
10/19/2002	23:00	606557.363	5149587.73
10/20/2002	4:00	606591.638	5149603.04
10/21/2002	0:00	606858.294	5150458.20
10/21/2002	5:00	606823.252	5150443.19
10/21/2002	10:00	606803.160	5150363.77
10/22/2002	1:00	606678.743	5149669.78
10/22/2002	6:00	606688.461	5149684.62
10/22/2002	11:00	606603.443	5149630.18
10/22/2002	16:00	606602.760	5149625.38
10/22/2002	21:00	606616.947	5149604.33
10/23/2002	2:00	606606.693	5149619.98
10/23/2002	7:00	606575.965	5149577.58
10/23/2002	12:00	606469.442	5149479.94
10/23/2002	17:00	606544.277	5149546.12
10/23/2002	22:00	606647.930	5149588.58
10/24/2002	3:00	606669.930	5149647.12
10/24/2002	8:00	606677.013	5149680.84
10/24/2002	13:00	606692.357	5149724.96
10/24/2002	18:00	606614.518	5149611.53
10/24/2002	23:00	606566.599	5149586.36
10/25/2002	4:00	606589.319	5149603.97
10/25/2002	9:00	606562.632	5149593.68
10/25/2002	14:00	606618.641	5149901.03
10/25/2002	19:00	606726.192	5149896.10
10/26/2002	5:00	606662.721	5149533.22
10/26/2002	10:00	606571.814	5149507.98
10/26/2002	15:00	606540.153	5149212.68
10/27/2002	1:00	608212.631	5149402.67
10/27/2002	11:00	606570.573	5149534.97
10/27/2002	16:00	606607.929	5149549.64
10/27/2002	21:00	606639.674	5149577.89
10/28/2002	2:00	606594.638	5149344.95
10/28/2002	17:00	606801.793	5148740.91
10/28/2002	22:00	606400.960	5149357.78
10/29/2002	3:00	606399.486	5149354.30
10/29/2002	8:00	606192.072	5149099.40
10/29/2002	13:00	606362.813	5149344.35
10/29/2002	18:00	606478.481	5149358.56
10/29/2002	23:00	606464.282	5149336.51
10/30/2002	4:00	606442.612	5149346.50
10/30/2002	14:00	606209.494	5149156.68
10/30/2002	19:00	605992.243	5148716.91
10/31/2002	5:00	605792.868	5148615.15
10/31/2002	10:00	605972.773	5148688.75
10/31/2002	15:00	606307.942	5149277.64
10/31/2002	20:00	606474.068	5149347.58
11/1/2002	1:00	606534.712	5149522.53
11/1/2002	6:00	606540.486	5149543.40
11/1/2002	11:00	606662.913	5149478.59
11/1/2002	16:00	606290.460	5149267.65
11/1/2002	21:00	606278.682	5149633.25
11/2/2002	2:00	606519.801	5149497.32
11/2/2002	7:00	606480.404	5149423.93
11/2/2002	12:00	606541.525	5149615.40
11/2/2002	22:00	606611.759	5150074.22
11/3/2002	3:00	606490.748	5150015.34
11/3/2002	8:00	606662.226	5150216.12
11/3/2002	18:00	606488.013	5149471.52
11/4/2002	4:00	606522.934	5149493.80
11/4/2002	9:00	606370.316	5149573.15
11/4/2002	14:00	606433.605	5149422.31
11/4/2002	19:00	606486.297	5149350.61
11/5/2002	0:00	606479.375	5149351.33
11/5/2002	10:00	606698.104	5149441.82
11/5/2002	15:00	606786.423	5149614.09
11/5/2002	20:00	606743.386	5149660.53
11/6/2002	1:00	606733.687	5149688.22
11/6/2002	11:00	606944.277	5150631.19
11/6/2002	16:00	606847.468	5150114.22
11/6/2002	21:00	606816.411	5150221.50
11/7/2002	2:00	606769.398	5150145.22
11/7/2002	7:00	606807.191	5150047.67
11/7/2002	12:00	606822.471	5149746.65
11/7/2002	22:00	606894.140	5149469.34
11/8/2002	3:00	607199.881	5149500.63
11/8/2002	8:00	606935.334	5149614.68
11/8/2002	13:00	606974.605	5149607.79
11/9/2002	4:00	606644.556	5149736.80
11/9/2002	14:00	606912.260	5149660.82
11/10/2002	0:00	606971.008	5149507.07
11/10/2002	5:00	606959.593	5149501.40
11/10/2002	10:00	606942.611	5149376.09
11/10/2002	15:00	606273.462	5149273.91
