Date	Hour	X	Y
9/19/2003	12:00	595563.725	5129317.43
9/19/2003	15:00	595617.834	5129157.15
9/19/2003	21:00	595620.754	5129167.38
9/20/2003	0:00	595610.801	5129163.64
9/20/2003	3:00	595613.773	5129170.58
9/20/2003	9:00	595615.937	5129179.88
9/20/2003	12:00	595612.934	5129174.93
9/20/2003	15:00	595627.582	5129173.96
9/20/2003	18:00	595635.155	5129182.19
9/20/2003	21:00	595624.567	5129169.79
9/21/2003	0:00	595617.018	5129160.04
9/21/2003	3:00	595596.802	5129172.29
9/21/2003	6:00	594939.440	5128902.53
9/21/2003	9:00	594901.305	5128977.56
9/21/2003	12:00	594905.775	5128937.76
9/21/2003	15:00	595212.696	5129258.42
9/21/2003	18:00	595527.357	5129229.95
9/22/2003	0:00	595624.580	5129168.96
9/22/2003	3:00	595610.814	5129162.80
9/22/2003	6:00	595454.765	5128996.31
9/22/2003	9:00	594896.408	5128945.77
9/22/2003	12:00	594890.874	5128756.71
9/22/2003	15:00	595058.314	5128885.43
9/22/2003	18:00	594482.063	5128347.88
9/22/2003	21:00	594441.035	5128361.11
9/23/2003	0:00	594514.973	5128261.91
9/23/2003	3:00	594503.818	5128285.92
9/23/2003	6:00	594643.891	5129585.23
9/23/2003	9:00	594363.504	5130138.01
9/23/2003	12:00	594355.459	5130259.90
9/23/2003	15:00	594374.423	5130328.22
9/23/2003	18:00	594572.969	5130136.72
9/23/2003	21:00	594606.606	5130202.17
9/24/2003	0:00	594612.223	5130187.53
9/24/2003	3:00	594604.307	5130151.77
9/24/2003	6:00	594726.402	5129726.94
9/24/2003	9:00	594430.852	5129766.47
9/24/2003	12:00	594424.299	5129742.07
9/24/2003	15:00	594447.705	5129672.67
9/24/2003	21:00	594185.425	5130051.43
9/25/2003	0:00	594176.250	5130047.18
9/25/2003	3:00	594192.432	5130046.47
9/25/2003	6:00	594257.198	5130140.77
9/25/2003	12:00	594506.255	5130118.81
9/25/2003	15:00	594836.472	5130176.33
9/25/2003	18:00	596197.927	5129928.51
9/25/2003	21:00	596448.716	5130041.76
9/26/2003	0:00	596441.778	5130042.27
9/26/2003	3:00	596444.817	5130044.84
9/26/2003	15:00	596301.978	5130020.22
9/26/2003	18:00	596466.799	5129920.77
9/27/2003	0:00	596541.617	5129961.72
9/27/2003	3:00	596541.065	5129947.97
9/27/2003	6:00	596598.875	5129798.44
9/27/2003	9:00	596732.399	5129730.85
9/27/2003	12:00	596723.104	5129734.24
9/27/2003	18:00	596754.189	5129716.53
9/27/2003	21:00	596759.672	5129710.71
9/28/2003	0:00	596734.604	5129737.54
9/28/2003	3:00	596727.744	5129733.07
9/28/2003	6:00	596685.254	5129741.58
9/28/2003	9:00	596722.978	5129742.21
9/28/2003	12:00	596722.240	5129740.21
9/28/2003	15:00	596773.962	5129732.24
9/28/2003	18:00	596738.441	5129738.34
9/28/2003	21:00	596759.738	5129706.48
9/29/2003	0:00	596771.411	5129698.82
9/29/2003	3:00	596743.623	5129702.91
9/29/2003	6:00	596728.487	5129734.77
9/29/2003	12:00	596726.320	5129725.70
9/29/2003	15:00	596800.892	5129733.66
9/29/2003	18:00	596762.086	5129704.13
