Date	Hour	X	Y
7/26/2003	19:00	620083.625	5150361.42
7/27/2003	5:00	621760.010	5150571.64
7/27/2003	10:00	620747.936	5150241.13
7/27/2003	20:00	620661.336	5149496.37
7/28/2003	1:00	620433.789	5149445.48
7/28/2003	6:00	620522.619	5150402.79
7/28/2003	16:00	621950.908	5150441.13
7/29/2003	2:00	623822.585	5149972.91
7/29/2003	7:00	622978.028	5149777.73
7/29/2003	12:00	622891.271	5149875.68
7/29/2003	17:00	622974.647	5149295.77
7/29/2003	22:00	623689.212	5149447.29
7/30/2003	3:00	623708.668	5149469.86
7/30/2003	13:00	622499.412	5149356.11
7/30/2003	18:00	620567.109	5149063.39
7/30/2003	23:00	621240.438	5148919.08
7/31/2003	9:00	621294.651	5149249.88
7/31/2003	19:00	620851.906	5148782.96
8/1/2003	0:00	621503.846	5148906.13
8/1/2003	5:00	621515.449	5148951.70
8/1/2003	10:00	621309.701	5149255.55
8/1/2003	15:00	621225.835	5149293.31
8/2/2003	1:00	619886.959	5149717.82
8/2/2003	6:00	620523.721	5150402.16
8/2/2003	11:00	621826.441	5150328.16
8/2/2003	16:00	623057.857	5150462.49
8/2/2003	21:00	623939.027	5149772.85
8/3/2003	2:00	623994.324	5149734.30
8/3/2003	7:00	623153.762	5149556.45
8/3/2003	12:00	623109.172	5149926.32
8/3/2003	17:00	623802.541	5149706.93
8/4/2003	3:00	623418.932	5148633.91
8/4/2003	8:00	623147.756	5149565.25
8/4/2003	13:00	622941.625	5149466.22
8/5/2003	4:00	623904.527	5149520.94
8/5/2003	9:00	623192.368	5149635.66
8/5/2003	14:00	622799.695	5149562.57
8/5/2003	19:00	620553.569	5147494.22
8/6/2003	5:00	621364.922	5146870.03
8/6/2003	10:00	620883.592	5146797.70
8/6/2003	15:00	620978.828	5146643.51
8/6/2003	20:00	621365.544	5146862.36
8/7/2003	1:00	621425.347	5146953.74
8/7/2003	6:00	621190.105	5146790.85
8/7/2003	11:00	620934.102	5146855.14
8/7/2003	16:00	620866.248	5146778.86
8/8/2003	2:00	621367.381	5147067.44
8/8/2003	7:00	620652.544	5149199.57
8/8/2003	12:00	620412.737	5149725.10
8/8/2003	17:00	620769.811	5148871.95
8/8/2003	22:00	621370.549	5149029.48
8/9/2003	3:00	621520.807	5148856.70
8/9/2003	8:00	621331.540	5149073.06
8/9/2003	13:00	621254.622	5149294.29
8/9/2003	18:00	621091.346	5149057.77
8/9/2003	23:00	621619.451	5148888.46
8/10/2003	4:00	621658.971	5148864.74
8/10/2003	9:00	622035.280	5148761.62
8/10/2003	14:00	622762.328	5149466.60
8/11/2003	0:00	624673.299	5149850.18
8/11/2003	5:00	623695.018	5149079.66
8/11/2003	10:00	623134.097	5149581.94
8/11/2003	15:00	623562.985	5149898.63
8/11/2003	20:00	623962.810	5150147.41
8/12/2003	1:00	624019.235	5150127.51
8/12/2003	6:00	623864.338	5150229.02
8/12/2003	11:00	623338.213	5150319.57
8/12/2003	16:00	622361.563	5150510.02
8/12/2003	21:00	622262.861	5150699.27
8/13/2003	2:00	620177.572	5149823.83
8/13/2003	7:00	620658.872	5149539.18
8/13/2003	17:00	620177.886	5149777.02
8/13/2003	22:00	619919.763	5149717.05
8/14/2003	3:00	619813.313	5149655.99
8/14/2003	8:00	620096.680	5150487.14
8/14/2003	13:00	620038.218	5150812.47
8/14/2003	18:00	619776.918	5150305.05
8/14/2003	23:00	619827.233	5149706.48
8/15/2003	4:00	619894.797	5149721.72
8/15/2003	9:00	620519.040	5150377.73
8/15/2003	14:00	621254.816	5150355.24
8/16/2003	5:00	623809.309	5149354.27
8/16/2003	10:00	623140.095	5149592.80
8/16/2003	15:00	622294.598	5149052.65
8/16/2003	20:00	620590.303	5149496.04
8/17/2003	1:00	620415.323	5149325.64
8/17/2003	6:00	620743.939	5149546.08
8/17/2003	16:00	620565.759	5148990.69
8/18/2003	2:00	621504.199	5146481.23
8/18/2003	7:00	621392.161	5146624.40
8/18/2003	17:00	621512.781	5146235.82
8/19/2003	3:00	621006.812	5146878.86
8/19/2003	8:00	621328.455	5146804.25
8/19/2003	13:00	620996.275	5146633.67
8/19/2003	18:00	621135.858	5146048.73
8/19/2003	23:00	621453.851	5146034.42
8/20/2003	4:00	621448.236	5146173.81
8/20/2003	9:00	621388.969	5146630.02
8/20/2003	14:00	620872.970	5146438.08
8/20/2003	19:00	621160.083	5146124.73
8/21/2003	0:00	621508.699	5146043.29
8/21/2003	5:00	621313.382	5146515.68
8/21/2003	10:00	620856.662	5146922.40
8/21/2003	20:00	621374.324	5146680.57
8/22/2003	1:00	621630.917	5146493.91
8/22/2003	6:00	621384.232	5146625.31
8/22/2003	11:00	620981.629	5146972.42
8/22/2003	16:00	620894.580	5146404.78
8/22/2003	21:00	621505.493	5146492.57
8/23/2003	2:00	621663.775	5146477.93
8/23/2003	7:00	621435.742	5146622.96
8/23/2003	17:00	620298.057	5148485.57
8/24/2003	3:00	621516.329	5148848.32
8/24/2003	8:00	622127.597	5148501.49
8/24/2003	18:00	620623.757	5148607.27
8/24/2003	23:00	620561.689	5148756.96
8/25/2003	4:00	620412.012	5148989.20
8/25/2003	14:00	620354.167	5149884.56
8/25/2003	19:00	619961.151	5149802.43
8/26/2003	0:00	620074.091	5149813.49
8/26/2003	5:00	620216.614	5149807.36
8/26/2003	10:00	620444.912	5150149.56
8/26/2003	15:00	623267.800	5150495.33
8/26/2003	20:00	623941.374	5149164.61
8/27/2003	1:00	623638.043	5149237.68
8/27/2003	6:00	623361.952	5148572.89
8/27/2003	16:00	623848.500	5148585.30
8/29/2003	3:00	619954.961	5150276.48
8/29/2003	8:00	620504.020	5150379.93
8/29/2003	13:00	620366.114	5150349.44
8/29/2003	18:00	620766.183	5148954.32
8/29/2003	23:00	621297.048	5148803.96
8/30/2003	4:00	621352.271	5148876.88
8/30/2003	9:00	621270.511	5149210.76
8/30/2003	14:00	620861.476	5149092.70
8/31/2003	5:00	620510.461	5149693.73
8/31/2003	10:00	621082.158	5149586.56
8/31/2003	15:00	620799.286	5149148.13
8/31/2003	20:00	621394.959	5146920.48
9/1/2003	1:00	621556.713	5146729.59
9/1/2003	6:00	621419.650	5146555.38
9/1/2003	11:00	620908.865	5146704.23
9/1/2003	16:00	621103.200	5146149.38
9/1/2003	21:00	621503.406	5146490.14
9/2/2003	2:00	621520.313	5146720.01
9/2/2003	7:00	621212.475	5146898.03
9/2/2003	12:00	620850.360	5146951.11
9/2/2003	17:00	620851.133	5146733.26
9/2/2003	22:00	621471.740	5146542.93
9/3/2003	3:00	621512.859	5146727.83
9/3/2003	13:00	621070.106	5147299.58
9/3/2003	18:00	620326.599	5148115.34
9/3/2003	23:00	620176.283	5149728.90
9/4/2003	4:00	620106.833	5149735.24
9/4/2003	9:00	620480.057	5150436.22
9/4/2003	14:00	620422.775	5150223.70
9/4/2003	19:00	620526.536	5149740.94
9/5/2003	0:00	620334.195	5149673.49
9/5/2003	5:00	620191.268	5149761.86
9/5/2003	10:00	621013.890	5149595.04
9/5/2003	15:00	620861.346	5148863.34
9/5/2003	20:00	621387.974	5147424.19
9/6/2003	1:00	621550.969	5146567.60
9/6/2003	6:00	621637.256	5146578.19
9/6/2003	21:00	621446.592	5146651.95
9/7/2003	7:00	621628.387	5146630.94
9/7/2003	12:00	621567.775	5146561.51
9/7/2003	17:00	620976.173	5146562.79
9/7/2003	22:00	621549.503	5146739.05
9/8/2003	3:00	621566.334	5146731.31
9/8/2003	8:00	621672.015	5146452.76
