Date	Hour	X	Y
8/9/2003	8:00	607636.176	5406455.97
8/10/2003	4:00	607491.439	5405134.83
8/10/2003	9:00	607502.730	5405168.18
8/10/2003	19:00	607615.054	5405220.76
8/11/2003	0:00	607605.936	5405252.50
8/11/2003	5:00	607622.815	5405266.12
8/11/2003	15:00	607575.032	5406004.42
8/11/2003	20:00	607676.683	5406039.64
8/12/2003	6:00	607672.111	5406410.05
8/12/2003	21:00	605799.299	5407828.39
8/13/2003	2:00	605801.443	5407838.89
8/13/2003	7:00	605619.501	5408023.68
8/13/2003	17:00	605557.219	5408030.55
8/13/2003	22:00	605747.100	5407779.21
8/14/2003	3:00	605677.303	5407796.52
8/14/2003	8:00	605575.892	5408005.69
8/14/2003	13:00	605760.571	5408021.71
8/14/2003	18:00	605859.243	5407980.50
8/14/2003	23:00	605889.983	5407838.88
8/15/2003	4:00	605901.643	5407781.96
8/15/2003	9:00	606099.614	5407879.60
8/15/2003	14:00	606504.442	5407318.06
8/15/2003	19:00	606452.297	5407241.34
8/16/2003	0:00	605627.488	5407256.65
8/16/2003	10:00	605117.585	5407141.30
8/16/2003	15:00	604891.524	5406642.87
8/16/2003	20:00	604984.413	5406500.93
8/17/2003	1:00	605058.334	5406452.43
8/17/2003	6:00	604737.667	5406732.09
8/17/2003	11:00	604566.643	5406769.11
8/17/2003	16:00	604614.709	5406801.17
8/17/2003	21:00	605064.466	5406981.26
8/18/2003	2:00	605110.905	5406970.71
8/18/2003	7:00	604938.929	5407353.05
8/18/2003	17:00	605262.002	5407483.62
8/18/2003	22:00	604504.335	5407209.53
8/19/2003	8:00	604695.468	5407292.64
8/19/2003	13:00	604727.553	5407164.84
8/19/2003	18:00	604850.498	5407186.66
8/19/2003	23:00	605024.012	5406784.10
8/20/2003	4:00	605079.803	5406746.15
8/20/2003	14:00	604924.577	5406761.90
8/20/2003	19:00	605278.420	5406469.08
8/21/2003	0:00	605472.032	5406252.04
8/21/2003	5:00	605290.586	5406519.34
8/21/2003	15:00	605577.968	5406811.78
8/21/2003	20:00	605482.324	5406647.41
8/22/2003	1:00	605479.583	5406550.88
8/22/2003	6:00	605544.423	5406470.78
8/22/2003	16:00	606318.792	5407102.29
8/22/2003	21:00	606775.406	5407439.53
8/23/2003	7:00	606743.306	5407327.50
8/23/2003	12:00	606971.542	5407553.57
8/23/2003	17:00	606863.934	5407364.37
8/23/2003	22:00	607039.287	5407462.38
8/24/2003	3:00	606979.629	5407485.57
8/24/2003	8:00	606993.006	5407455.82
8/24/2003	13:00	606973.835	5407414.50
8/24/2003	18:00	607309.583	5407022.14
8/24/2003	23:00	607387.485	5406924.67
8/25/2003	4:00	607388.620	5406926.77
8/25/2003	14:00	607394.135	5406911.91
8/25/2003	19:00	607566.984	5406390.55
8/26/2003	0:00	607760.869	5406295.87
8/26/2003	5:00	607802.948	5406079.49
8/27/2003	1:00	607950.457	5405098.93
8/27/2003	11:00	607964.361	5405410.35
8/27/2003	16:00	607953.352	5405098.56
8/27/2003	21:00	607596.476	5406005.13
8/28/2003	2:00	607586.832	5406086.80
8/28/2003	7:00	607608.255	5406131.76
8/28/2003	17:00	607608.346	5406152.25
8/28/2003	22:00	607923.321	5406499.37
8/29/2003	3:00	607880.694	5406443.09
8/29/2003	13:00	608116.667	5406849.63
8/29/2003	23:00	607803.223	5406940.85
8/30/2003	4:00	607810.432	5407016.09
8/30/2003	9:00	607481.980	5407430.45
8/30/2003	14:00	607540.449	5407704.95
8/31/2003	0:00	607874.663	5406678.14
8/31/2003	5:00	607887.540	5406561.55
8/31/2003	10:00	607600.356	5406095.55
8/31/2003	15:00	607595.760	5406165.35
8/31/2003	20:00	607657.385	5406198.13
9/1/2003	1:00	607611.563	5406108.72
9/1/2003	6:00	607631.355	5406089.85
9/1/2003	16:00	607590.942	5406167.23
9/1/2003	21:00	607733.539	5405890.50
9/2/2003	2:00	607763.095	5405883.53
9/2/2003	7:00	607675.296	5405728.41
9/2/2003	12:00	607650.175	5405744.67
9/2/2003	17:00	607738.198	5405729.04
9/2/2003	22:00	607703.250	5405791.35
9/3/2003	3:00	607701.700	5405800.13
9/3/2003	13:00	607918.527	5405132.05
9/3/2003	18:00	607912.616	5405144.10
9/3/2003	23:00	608081.302	5405235.56
9/4/2003	4:00	608055.632	5405195.59
9/4/2003	9:00	607912.176	5405099.44
9/4/2003	14:00	607795.235	5405105.01
9/5/2003	0:00	607700.962	5405786.18
9/5/2003	5:00	607763.118	5405784.64
