Date	Hour	X	Y
11/21/2003	7:00	622276.984	5116757.05
11/21/2003	12:00	621394.643	5117143.10
11/21/2003	17:00	621387.965	5117056.70
11/21/2003	22:00	621381.998	5117054.00
11/22/2003	3:00	621424.750	5117070.39
11/22/2003	18:00	621698.449	5117705.62
11/22/2003	23:00	621690.226	5117654.10
11/23/2003	4:00	621728.014	5117631.50
11/23/2003	9:00	621385.700	5118068.62
11/23/2003	19:00	623375.026	5116652.29
11/24/2003	5:00	623435.227	5116594.80
11/24/2003	20:00	623926.762	5116391.30
11/25/2003	1:00	623977.021	5116384.97
11/25/2003	6:00	624498.254	5116535.22
11/25/2003	11:00	624539.169	5116544.24
11/25/2003	16:00	625248.260	5116472.49
11/25/2003	21:00	625255.502	5116520.37
11/26/2003	7:00	625236.738	5116521.45
11/26/2003	12:00	627363.620	5116374.94
11/26/2003	17:00	627134.401	5116522.19
11/26/2003	22:00	626986.203	5116557.11
11/27/2003	8:00	626810.919	5116591.72
11/27/2003	18:00	627038.370	5116530.39
11/28/2003	9:00	626902.126	5116523.41
11/28/2003	14:00	627302.362	5116155.74
11/29/2003	10:00	627407.522	5116098.65
11/29/2003	15:00	627162.373	5116542.46
11/30/2003	11:00	626635.183	5116820.15
11/30/2003	16:00	626582.398	5116692.76
12/1/2003	7:00	626620.470	5116722.61
12/1/2003	12:00	626954.432	5116534.30
12/3/2003	9:00	628094.327	5114628.12
12/3/2003	19:00	627917.155	5115332.46
12/4/2003	0:00	627942.495	5115288.11
12/4/2003	15:00	627828.713	5115868.87
12/5/2003	1:00	627896.422	5115582.42
12/5/2003	16:00	627110.234	5116501.59
12/5/2003	21:00	626976.055	5116562.55
12/6/2003	12:00	627424.149	5116132.52
12/8/2003	19:00	628024.755	5115263.02
12/9/2003	0:00	628071.928	5115248.03
12/9/2003	5:00	628056.194	5115244.22
12/9/2003	10:00	628574.651	5114726.91
12/10/2003	1:00	628882.715	5114319.15
12/10/2003	6:00	628795.477	5114363.51
12/10/2003	11:00	628737.377	5114477.41
12/11/2003	7:00	628960.189	5114334.10
12/11/2003	12:00	627958.013	5115388.81
12/11/2003	22:00	627029.576	5116549.82
12/12/2003	8:00	626996.524	5116565.69
12/12/2003	13:00	626783.200	5116646.85
12/13/2003	9:00	626395.546	5116802.03
12/13/2003	14:00	626416.371	5116798.68
12/13/2003	19:00	626244.016	5116865.13
12/14/2003	0:00	626235.872	5116852.05
12/14/2003	5:00	626245.130	5116870.62
12/14/2003	10:00	626268.957	5116807.03
12/14/2003	15:00	626237.863	5116856.55
12/14/2003	20:00	626245.220	5116844.14
12/15/2003	11:00	626199.767	5116893.03
12/15/2003	16:00	626412.434	5116795.70
12/15/2003	21:00	626411.392	5116800.94
12/16/2003	2:00	626412.527	5116798.30
12/16/2003	22:00	625219.487	5116499.79
12/17/2003	3:00	625218.938	5116505.12
12/17/2003	8:00	624318.796	5116485.34
12/17/2003	18:00	621776.493	5117641.40
12/17/2003	23:00	621689.595	5117657.54
12/18/2003	4:00	620539.041	5118602.16
12/18/2003	9:00	619604.200	5119158.01
12/18/2003	14:00	616286.403	5121634.49
12/18/2003	19:00	615776.421	5122562.02
12/19/2003	0:00	615779.815	5122561.55
12/19/2003	5:00	615784.885	5122556.48
12/19/2003	10:00	615814.755	5122404.27
12/19/2003	15:00	614250.929	5121743.78
12/19/2003	20:00	613627.981	5121954.46
12/20/2003	1:00	613624.650	5121949.47
12/20/2003	11:00	612848.906	5121366.04
12/20/2003	16:00	613921.673	5122347.17
12/20/2003	21:00	613931.532	5122318.40
12/21/2003	2:00	613931.519	5122326.54
12/21/2003	7:00	613903.228	5122324.82
12/21/2003	12:00	615800.359	5122284.04
12/21/2003	17:00	616739.765	5122267.91
12/21/2003	22:00	616635.337	5122495.93
12/22/2003	3:00	616635.955	5122493.88
12/22/2003	8:00	616596.261	5122292.17
12/22/2003	13:00	618307.918	5121661.33
12/22/2003	18:00	618823.090	5122369.99
12/22/2003	23:00	618862.811	5122350.60
12/23/2003	4:00	618860.215	5122352.87
12/23/2003	9:00	618750.021	5122087.17
12/23/2003	14:00	619469.075	5123287.96
12/23/2003	19:00	619472.452	5123275.34
12/24/2003	0:00	619461.241	5123279.28
12/24/2003	5:00	619462.889	5123282.14
12/24/2003	10:00	619510.381	5123308.03
12/24/2003	15:00	619549.010	5123329.74
12/24/2003	20:00	619479.045	5123298.97
12/25/2003	1:00	619546.837	5123305.19
12/25/2003	11:00	618776.261	5122092.56
12/25/2003	16:00	619524.718	5123306.64
12/25/2003	21:00	619544.666	5123306.99
12/26/2003	2:00	619540.000	5123314.98
12/26/2003	7:00	619551.802	5123305.64
12/26/2003	12:00	619511.656	5123310.64
12/26/2003	17:00	619532.031	5123308.46
12/26/2003	22:00	619555.125	5123300.52
12/27/2003	3:00	619541.689	5123318.47
12/27/2003	8:00	619519.361	5123304.60
12/27/2003	13:00	618582.564	5121674.16
12/27/2003	18:00	619500.960	5123295.73
12/28/2003	4:00	619535.972	5123315.49
12/28/2003	9:00	619561.940	5123260.32
12/28/2003	19:00	619527.446	5123310.30
12/29/2003	0:00	619522.291	5123307.35
12/29/2003	5:00	619535.259	5123312.93
12/29/2003	10:00	619187.154	5123053.51
12/29/2003	15:00	618741.154	5122367.65
12/29/2003	20:00	618879.742	5122336.12
12/30/2003	1:00	618896.020	5122318.32
12/30/2003	6:00	618889.346	5122327.25
12/30/2003	11:00	618607.245	5121796.24
12/30/2003	16:00	619375.492	5119840.75
12/31/2003	12:00	619583.604	5119620.81
12/31/2003	17:00	620932.906	5118224.84
1/1/2004	18:00	622277.611	5116725.24
1/1/2004	23:00	622278.805	5116727.27
1/2/2004	4:00	622282.496	5116734.57
1/2/2004	9:00	622274.816	5116763.57
1/2/2004	14:00	621966.718	5117960.95
1/2/2004	19:00	621737.859	5117651.44
1/3/2004	10:00	621815.154	5117572.51
1/3/2004	15:00	622270.183	5116793.84
1/4/2004	1:00	622276.244	5116732.21
1/4/2004	6:00	622283.518	5116721.24
1/4/2004	11:00	622054.412	5117004.21
1/4/2004	16:00	621789.641	5117527.78
1/5/2004	2:00	621668.924	5117631.64
1/5/2004	12:00	621711.723	5117657.43
1/6/2004	3:00	621697.150	5117622.58
1/6/2004	13:00	622282.262	5116722.67
1/6/2004	18:00	622279.891	5116727.39
1/6/2004	23:00	622282.539	5116727.76
1/7/2004	4:00	622293.501	5116731.55
1/7/2004	9:00	622283.544	5116727.30
1/7/2004	19:00	622281.899	5116731.19
1/8/2004	5:00	622282.877	5116732.11
1/8/2004	10:00	622282.450	5116729.90
1/8/2004	15:00	622274.051	5116735.36
1/9/2004	6:00	622283.212	5116722.26
1/9/2004	11:00	622276.995	5116742.17
1/9/2004	16:00	622271.134	5116724.48
1/9/2004	21:00	622278.981	5116730.45
1/10/2004	2:00	622279.050	5116724.28
1/10/2004	7:00	622290.476	5116726.87
1/10/2004	17:00	622295.189	5116699.21
1/10/2004	22:00	622283.593	5116719.80
1/11/2004	3:00	622292.197	5116735.05
1/11/2004	8:00	622265.020	5116824.72
1/11/2004	13:00	622050.083	5118094.86
1/11/2004	18:00	621706.898	5118008.35
1/12/2004	4:00	621667.968	5117834.84
1/12/2004	9:00	621686.342	5117897.83
1/12/2004	14:00	620929.426	5118213.91
1/12/2004	19:00	621231.850	5117861.93
1/13/2004	10:00	621225.636	5117924.42
1/13/2004	15:00	620921.650	5118252.48
1/13/2004	20:00	620971.881	5118158.97
1/14/2004	1:00	620910.706	5118149.29
1/14/2004	6:00	620918.451	5118150.65
1/14/2004	11:00	620722.434	5118458.26
1/14/2004	16:00	620906.409	5118150.79
1/14/2004	21:00	620968.726	5118148.35
1/15/2004	2:00	620980.663	5118115.21
1/15/2004	7:00	620964.053	5118121.21
1/15/2004	12:00	620988.035	5118108.86
1/16/2004	8:00	621254.519	5117875.42
1/16/2004	13:00	619568.849	5119144.05
1/16/2004	18:00	618141.579	5118209.23
1/16/2004	23:00	618144.165	5118210.36
1/17/2004	4:00	618138.002	5118212.62
1/17/2004	9:00	618189.815	5118191.66
1/17/2004	14:00	618122.621	5118634.89
1/17/2004	19:00	617977.899	5120482.32
1/18/2004	0:00	617774.521	5121043.69
1/18/2004	5:00	617711.312	5120382.59
1/18/2004	10:00	618664.871	5118302.75
1/18/2004	15:00	618845.706	5117999.50
1/18/2004	20:00	619459.304	5117349.76
1/19/2004	1:00	620596.228	5116847.12
1/19/2004	6:00	620594.918	5116843.87
1/19/2004	16:00	619742.567	5116829.59
1/19/2004	21:00	619729.540	5116843.70
1/20/2004	2:00	620076.348	5116979.43
1/20/2004	7:00	620073.137	5116971.59
1/20/2004	12:00	619073.939	5116794.09
1/20/2004	17:00	618548.263	5117028.42
1/20/2004	22:00	618547.985	5117032.78
1/21/2004	3:00	619309.749	5118396.98
1/21/2004	8:00	618755.195	5118085.34
1/21/2004	13:00	618760.952	5118088.96
1/21/2004	18:00	619186.132	5117351.55
1/21/2004	23:00	619189.980	5117353.26
1/22/2004	4:00	619185.549	5117354.91
1/22/2004	9:00	618661.808	5118553.65
1/22/2004	14:00	618156.123	5118469.75
1/22/2004	19:00	618930.939	5118093.41
1/23/2004	10:00	618894.360	5118074.77
1/23/2004	15:00	618824.121	5118157.87
1/23/2004	20:00	618827.529	5118162.80
1/24/2004	1:00	619097.951	5118114.78
1/24/2004	6:00	619116.156	5118119.14
1/24/2004	16:00	622285.516	5116716.27
1/24/2004	21:00	622283.311	5116731.61
1/25/2004	2:00	622281.670	5116726.05
1/25/2004	7:00	622283.585	5116725.23
1/25/2004	12:00	622067.895	5117917.80
1/25/2004	17:00	621392.359	5117954.93
1/25/2004	22:00	621380.234	5117966.66
1/26/2004	8:00	621398.040	5117955.24
1/26/2004	13:00	621383.604	5117875.64
1/26/2004	18:00	621742.706	5117851.44
1/26/2004	23:00	621745.829	5117849.25
1/27/2004	4:00	621742.582	5117857.66
1/27/2004	9:00	621470.148	5118020.80
1/27/2004	14:00	620723.479	5118463.17
1/27/2004	19:00	620914.263	5118146.61
1/28/2004	0:00	620910.340	5118151.06
1/28/2004	5:00	620916.082	5118150.63
1/28/2004	10:00	621244.218	5117862.10
1/28/2004	15:00	621413.766	5117821.81
1/28/2004	20:00	621537.428	5117681.47
1/29/2004	6:00	621539.289	5117675.98
1/29/2004	11:00	621542.935	5117673.88
1/29/2004	21:00	623119.981	5116559.61
1/30/2004	2:00	623196.046	5116485.47
1/31/2004	8:00	623783.061	5116458.36
1/31/2004	18:00	623919.660	5116379.09
1/31/2004	23:00	623914.220	5116380.51
2/1/2004	4:00	623915.786	5116373.33
2/1/2004	9:00	623838.519	5116452.90
2/1/2004	14:00	623880.035	5116405.11
2/2/2004	20:00	623918.020	5116384.99
2/3/2004	1:00	623919.897	5116378.82
2/3/2004	11:00	623968.592	5116362.76
2/3/2004	21:00	623932.427	5116384.87
2/4/2004	2:00	623918.067	5116384.95
2/4/2004	7:00	623913.741	5116387.82
2/4/2004	12:00	623918.661	5116390.34
2/5/2004	8:00	623880.695	5116453.04
2/5/2004	13:00	623533.879	5116545.72
2/6/2004	4:00	623928.714	5116347.85
2/6/2004	14:00	624000.312	5116358.56
2/6/2004	19:00	623935.087	5116351.43
2/7/2004	5:00	623929.159	5116354.10
2/7/2004	15:00	623961.963	5116346.63
2/7/2004	20:00	623958.159	5116352.30
2/8/2004	6:00	623930.071	5116360.50
2/8/2004	11:00	623934.448	5116364.33
2/8/2004	16:00	624002.528	5116366.18
2/8/2004	21:00	623931.572	5116385.16
2/9/2004	2:00	623761.001	5116456.35
2/9/2004	7:00	621787.896	5117950.23
2/9/2004	17:00	621599.552	5118662.90
2/9/2004	22:00	621626.056	5118664.60
2/10/2004	3:00	621621.171	5118655.28
2/10/2004	8:00	621601.483	5118680.32
2/10/2004	13:00	620621.086	5118563.14
2/11/2004	9:00	613910.818	5120664.83
2/11/2004	14:00	613478.668	5120746.86
2/12/2004	15:00	610272.284	5123073.34
2/12/2004	20:00	610279.177	5123010.04
2/13/2004	1:00	610271.185	5123013.70
2/13/2004	6:00	610272.401	5123011.64
2/13/2004	11:00	612699.320	5120792.81
2/13/2004	16:00	612774.642	5121490.85
2/13/2004	21:00	612596.619	5121622.50
2/14/2004	2:00	612582.458	5121619.64
2/14/2004	7:00	612581.238	5121617.66
2/14/2004	12:00	612529.133	5121718.00
2/14/2004	17:00	612553.892	5121699.36
2/14/2004	22:00	612554.752	5121691.62
2/15/2004	3:00	612553.650	5121694.91
2/15/2004	8:00	612553.325	5121691.21
2/15/2004	13:00	612530.474	5121723.91
2/15/2004	18:00	612576.936	5121623.89
2/17/2004	5:00	612783.498	5121493.65
2/17/2004	10:00	612835.138	5121415.47
2/17/2004	20:00	612773.377	5121507.16
2/18/2004	1:00	612769.811	5121497.68
2/18/2004	6:00	612773.870	5121497.15
2/18/2004	11:00	612772.936	5121528.61
2/18/2004	16:00	612772.381	5121481.26
2/18/2004	21:00	612771.941	5121487.16
2/19/2004	2:00	612773.227	5121493.13
2/19/2004	7:00	612772.574	5121495.91
2/19/2004	17:00	612846.779	5121398.19
2/19/2004	22:00	612847.066	5121400.56
2/20/2004	3:00	612776.151	5121479.68
2/20/2004	8:00	612922.718	5121238.35
2/20/2004	13:00	615290.916	5120550.29
2/20/2004	18:00	615706.225	5120929.42
2/20/2004	23:00	615746.829	5120517.67
2/21/2004	4:00	615484.423	5120294.93
2/21/2004	9:00	615480.605	5120296.57
2/21/2004	14:00	615729.489	5120244.71
2/21/2004	19:00	616509.470	5119856.47
2/22/2004	0:00	616512.379	5119855.20
2/22/2004	5:00	618013.425	5119584.86
2/22/2004	10:00	619048.184	5117201.23
2/22/2004	15:00	618224.688	5118217.65
2/22/2004	20:00	615667.858	5121042.57
2/23/2004	1:00	615498.801	5120391.50
2/23/2004	6:00	615498.265	5120392.12
2/23/2004	11:00	615536.290	5120276.64
2/23/2004	16:00	615342.678	5120392.87
2/23/2004	21:00	615414.483	5121165.81
2/24/2004	2:00	613634.507	5121966.00
2/24/2004	7:00	612774.456	5121509.31
2/24/2004	17:00	612779.104	5121483.07
2/24/2004	22:00	612770.265	5121493.13
2/25/2004	3:00	612774.616	5121492.23
2/25/2004	8:00	612764.766	5121497.33
2/25/2004	18:00	612773.350	5121501.11
2/25/2004	23:00	612779.860	5121499.79
2/26/2004	4:00	612779.974	5121517.89
2/26/2004	9:00	612772.168	5121493.65
2/26/2004	14:00	612772.445	5121504.17
2/26/2004	19:00	612774.469	5121508.62
2/27/2004	0:00	612773.363	5121500.42
2/27/2004	5:00	612765.922	5121506.17
2/27/2004	10:00	612781.922	5121484.58
2/27/2004	15:00	612773.521	5121502.26
2/28/2004	1:00	612768.088	5121484.08
2/28/2004	6:00	612768.049	5121486.16
2/28/2004	11:00	612769.214	5121482.81
2/28/2004	21:00	612774.991	5121482.33
2/29/2004	2:00	612772.920	5121484.69
2/29/2004	7:00	612778.448	5121479.76
2/29/2004	12:00	612823.680	5121420.34
2/29/2004	17:00	612776.024	5121483.19
2/29/2004	22:00	612772.053	5121476.90
3/1/2004	3:00	612775.030	5121480.26
3/1/2004	8:00	612775.550	5121476.29
3/1/2004	18:00	612780.318	5121478.30
3/1/2004	23:00	612774.883	5121481.12
3/2/2004	4:00	612769.629	5121478.28
3/2/2004	9:00	612870.521	5121413.86
3/2/2004	19:00	612768.509	5121486.30
