Date	Hour	X	Y
9/3/2003	12:00	575731.920	5404922.51
9/4/2003	0:00	575716.707	5404959.48
9/4/2003	3:00	575719.584	5404894.49
9/4/2003	6:00	576404.252	5404412.64
9/5/2003	3:00	576508.921	5404368.51
9/5/2003	6:00	575711.968	5404957.40
9/5/2003	9:00	576661.470	5404795.86
9/6/2003	6:00	576377.136	5404577.56
9/6/2003	9:00	576457.946	5404596.03
9/7/2003	12:00	576668.709	5404470.99
9/7/2003	18:00	576614.009	5404328.73
9/8/2003	0:00	576526.676	5404347.04
9/8/2003	3:00	576540.369	5404328.79
9/9/2003	0:00	576402.234	5404595.55
9/9/2003	3:00	576409.294	5404576.66
9/9/2003	15:00	576383.670	5404581.05
9/10/2003	0:00	576320.406	5404040.93
9/10/2003	3:00	576319.048	5404040.85
9/10/2003	18:00	576363.827	5404053.18
9/11/2003	3:00	576360.756	5404020.32
9/11/2003	12:00	576368.456	5404095.74
9/11/2003	18:00	576355.721	5404155.22
9/12/2003	0:00	576351.437	5404150.46
9/12/2003	18:00	576313.946	5404188.85
9/13/2003	0:00	576533.006	5403968.75
9/13/2003	3:00	576351.394	5404162.24
9/13/2003	21:00	576046.199	5404774.05
9/14/2003	3:00	576406.377	5404346.24
9/15/2003	0:00	576692.371	5404580.39
9/15/2003	12:00	576316.997	5404042.58
9/15/2003	18:00	575864.169	5403734.70
9/15/2003	21:00	575842.096	5403916.15
9/16/2003	0:00	575781.368	5403822.16
9/16/2003	9:00	575790.490	5403968.40
9/16/2003	12:00	575857.761	5404052.15
9/16/2003	15:00	575873.982	5403859.12
9/16/2003	18:00	575864.202	5403878.22
9/16/2003	21:00	575756.948	5403938.30
9/17/2003	0:00	575723.565	5403859.99
9/17/2003	3:00	575739.063	5403841.83
9/17/2003	6:00	575753.645	5403893.01
9/17/2003	9:00	575893.347	5404033.84
9/17/2003	12:00	576219.069	5404118.51
9/17/2003	15:00	576074.992	5404087.45
9/17/2003	18:00	576252.631	5404283.95
9/17/2003	21:00	576025.546	5404124.49
9/18/2003	3:00	575832.548	5404059.71
9/18/2003	6:00	575844.013	5403923.79
9/18/2003	9:00	575843.376	5403924.19
9/18/2003	12:00	575853.971	5403786.27
9/18/2003	15:00	575900.883	5403795.37
9/18/2003	18:00	575902.461	5403802.57
9/18/2003	21:00	575891.863	5403804.50
9/19/2003	0:00	575837.194	5403789.28
9/19/2003	3:00	575750.481	5403679.83
9/19/2003	12:00	576000.582	5403809.42
9/19/2003	15:00	576048.823	5403783.88
9/20/2003	0:00	575731.702	5403161.90
9/20/2003	3:00	575743.617	5403275.68
9/20/2003	9:00	575751.738	5403655.40
9/20/2003	12:00	575979.578	5403820.18
9/20/2003	15:00	576054.779	5403869.55
9/20/2003	21:00	576608.306	5404443.25
9/21/2003	0:00	576492.792	5404412.88
9/21/2003	3:00	576467.402	5404366.22
9/21/2003	6:00	576418.185	5404527.50
9/21/2003	12:00	576389.721	5404581.21
9/22/2003	0:00	576461.428	5404339.40
9/22/2003	3:00	576460.376	5404368.56
9/22/2003	9:00	576060.940	5403892.54
9/22/2003	12:00	576055.468	5403914.58
9/22/2003	15:00	575979.650	5403928.64
9/22/2003	18:00	575813.783	5403894.84
9/22/2003	21:00	575859.135	5403828.70
9/23/2003	0:00	575916.373	5403816.90
9/23/2003	3:00	575955.062	5403822.86
9/23/2003	9:00	575994.234	5403832.16
9/23/2003	12:00	576023.239	5403843.01
9/23/2003	15:00	576136.670	5403912.05
9/23/2003	18:00	575811.850	5403980.70
9/23/2003	21:00	575753.430	5403901.86
9/24/2003	0:00	575762.040	5403947.47
9/24/2003	3:00	575760.888	5403938.20
9/24/2003	9:00	576056.025	5403888.70
9/24/2003	12:00	576267.250	5404126.96
9/24/2003	15:00	576636.467	5404303.99
9/24/2003	21:00	577003.124	5404159.60
9/25/2003	3:00	576872.093	5404280.43
9/25/2003	12:00	576856.624	5404171.05
9/25/2003	21:00	576479.961	5404382.55
9/26/2003	0:00	576606.865	5404442.33
9/26/2003	3:00	576520.047	5404376.77
9/26/2003	9:00	576378.988	5404551.09
9/26/2003	15:00	576483.360	5404545.14
9/26/2003	21:00	576499.407	5404416.39
9/27/2003	3:00	576541.852	5404362.75
9/27/2003	18:00	576522.199	5404479.48
9/28/2003	3:00	576552.939	5404488.90
9/28/2003	18:00	576479.365	5404352.47
9/29/2003	0:00	576615.150	5404438.63
9/29/2003	3:00	576491.462	5404363.98
9/29/2003	21:00	576531.131	5404478.47
9/30/2003	0:00	576559.969	5404560.39
9/30/2003	3:00	576569.265	5404324.79
9/30/2003	18:00	576398.511	5404606.18
9/30/2003	21:00	576504.527	5404406.76
10/1/2003	0:00	576555.074	5404265.01
10/1/2003	3:00	576592.299	5404411.02
10/1/2003	6:00	576671.685	5404513.80
10/2/2003	15:00	575932.481	5403793.86
10/2/2003	18:00	575892.216	5403880.35
10/3/2003	18:00	575828.774	5403846.31
10/3/2003	21:00	575762.796	5403702.57
10/4/2003	0:00	575723.023	5403869.11
10/4/2003	3:00	575756.068	5403894.17
10/4/2003	18:00	575887.258	5403786.45
10/4/2003	21:00	575748.296	5403896.84
10/5/2003	0:00	575807.852	5404060.62
10/5/2003	3:00	575730.937	5403994.58
10/5/2003	15:00	576005.674	5403833.18
10/5/2003	18:00	576042.641	5403752.19
10/6/2003	0:00	576018.783	5403716.66
10/6/2003	3:00	576029.881	5403684.98
10/6/2003	18:00	575747.477	5403249.43
10/7/2003	0:00	575714.129	5403263.38
10/7/2003	3:00	575737.721	5403224.28
10/7/2003	9:00	575602.887	5403270.34
10/7/2003	21:00	575611.131	5403568.68
10/8/2003	0:00	575487.750	5403510.22
10/8/2003	3:00	575467.584	5403480.63
10/8/2003	18:00	575741.224	5403263.05
10/9/2003	0:00	575770.447	5403264.57
