Date	Hour	X	Y
9/4/2003	0:00	589162.487	5409048.78
9/4/2003	3:00	589158.225	5409057.34
9/4/2003	6:00	589163.216	5409056.43
9/4/2003	9:00	589158.006	5409055.86
9/4/2003	12:00	589154.867	5409037.25
9/5/2003	18:00	589149.243	5409044.72
9/5/2003	21:00	589159.329	5409079.71
9/6/2003	0:00	589182.746	5409052.97
9/6/2003	6:00	589159.379	5409086.22
9/6/2003	12:00	589124.536	5409115.95
9/7/2003	6:00	589169.396	5409155.93
9/7/2003	12:00	589105.490	5408855.53
9/7/2003	15:00	589079.711	5408963.62
9/7/2003	18:00	588720.707	5408561.05
9/7/2003	21:00	588463.688	5408196.55
9/8/2003	0:00	588324.447	5408099.59
9/8/2003	3:00	588291.448	5408083.54
9/8/2003	6:00	588229.622	5408117.94
9/8/2003	9:00	588446.346	5408273.66
9/8/2003	12:00	588216.187	5408009.00
9/8/2003	15:00	588172.433	5407893.64
9/8/2003	18:00	588238.148	5408113.63
9/8/2003	21:00	588199.121	5408011.48
9/9/2003	0:00	588223.944	5408002.66
9/9/2003	3:00	588196.846	5408009.09
9/9/2003	6:00	588373.378	5407816.78
9/9/2003	9:00	588211.638	5407817.01
9/9/2003	12:00	588054.316	5408121.87
9/9/2003	15:00	588062.444	5408165.66
9/9/2003	18:00	587870.687	5408119.11
9/9/2003	21:00	588143.657	5407976.25
9/10/2003	0:00	588143.863	5407890.92
9/10/2003	3:00	588031.811	5407822.01
9/10/2003	6:00	588046.043	5407821.43
9/10/2003	9:00	588154.189	5407992.74
9/10/2003	12:00	588307.261	5408021.34
9/10/2003	15:00	588315.561	5407885.35
9/10/2003	18:00	588292.035	5408039.87
9/11/2003	0:00	588418.531	5408116.49
9/11/2003	3:00	588322.823	5408045.28
9/11/2003	18:00	588342.492	5407945.82
9/11/2003	21:00	588455.500	5408045.81
9/12/2003	0:00	588437.581	5408040.05
9/12/2003	3:00	588440.725	5408040.86
9/12/2003	6:00	588292.716	5408085.07
9/12/2003	12:00	588125.076	5407958.89
9/12/2003	15:00	588189.535	5407825.52
9/12/2003	18:00	588357.488	5407882.41
9/12/2003	21:00	588440.356	5408043.77
9/13/2003	0:00	588300.134	5408029.61
9/13/2003	3:00	588251.938	5408096.78
9/13/2003	6:00	588154.654	5407909.26
9/13/2003	9:00	588128.604	5407745.65
9/13/2003	12:00	588127.055	5407746.10
9/13/2003	15:00	588090.294	5407876.94
9/13/2003	18:00	587934.883	5408147.18
9/13/2003	21:00	588023.144	5408076.46
9/14/2003	0:00	588083.345	5408034.29
9/14/2003	3:00	588143.170	5407973.58
9/14/2003	6:00	588284.361	5407932.04
9/14/2003	9:00	588400.389	5407901.91
9/14/2003	12:00	588400.791	5407904.35
9/14/2003	15:00	588397.396	5407956.07
9/14/2003	18:00	588241.034	5408120.58
9/14/2003	21:00	588115.549	5408019.72
9/15/2003	0:00	588149.745	5407967.27
9/15/2003	6:00	588209.439	5407896.82
9/15/2003	9:00	588143.548	5407977.99
9/15/2003	12:00	588036.236	5407839.01
9/15/2003	15:00	588295.014	5408013.97
9/15/2003	18:00	588336.085	5407939.12
9/15/2003	21:00	588358.681	5408092.23
9/16/2003	0:00	588408.269	5408081.05
9/16/2003	3:00	588271.228	5408095.66
9/16/2003	6:00	588320.912	5408060.76
9/16/2003	9:00	588307.843	5408023.57
9/16/2003	12:00	588315.233	5407897.28
9/16/2003	15:00	588408.811	5407983.14
9/16/2003	18:00	588305.016	5408102.61
9/16/2003	21:00	588419.680	5408107.45
9/17/2003	0:00	588420.021	5408117.01
9/17/2003	3:00	588421.860	5408096.32
9/17/2003	6:00	588295.936	5407952.25
9/17/2003	9:00	588253.478	5408054.10
9/17/2003	12:00	588261.788	5407869.90
9/17/2003	15:00	588313.762	5407886.29
9/17/2003	18:00	588272.206	5408064.90
9/17/2003	21:00	588192.357	5408043.77
9/18/2003	0:00	588135.420	5407971.95
9/18/2003	3:00	588443.168	5408040.05
9/18/2003	6:00	588437.148	5408041.42
9/18/2003	9:00	588336.373	5407975.73
9/18/2003	12:00	588328.709	5407912.46
9/18/2003	15:00	588244.549	5407954.55
9/18/2003	18:00	588390.884	5407948.63
9/18/2003	21:00	588460.470	5408038.90
9/19/2003	0:00	588456.002	5408027.03
9/19/2003	3:00	588458.004	5408033.71
9/19/2003	6:00	588321.302	5407967.26
9/19/2003	9:00	588201.981	5407835.69
9/19/2003	12:00	588107.309	5407971.36
9/19/2003	15:00	587926.782	5408341.66
9/19/2003	18:00	588097.535	5407936.08
9/19/2003	21:00	588087.458	5408027.63
9/20/2003	0:00	588181.664	5407960.14
9/20/2003	3:00	588175.347	5407938.37
9/20/2003	6:00	588184.640	5407926.92
9/20/2003	9:00	588133.404	5407840.38
9/20/2003	12:00	588019.591	5408183.27
9/20/2003	15:00	587836.881	5408102.50
9/20/2003	18:00	588327.302	5407994.13
9/20/2003	21:00	588438.416	5408041.12
9/21/2003	0:00	588435.455	5408041.26
9/21/2003	3:00	588384.001	5408015.74
9/21/2003	9:00	588133.378	5407766.54
9/21/2003	12:00	587905.031	5407872.06
9/21/2003	15:00	587795.669	5407869.67
9/21/2003	18:00	587737.386	5407774.65
9/21/2003	21:00	587847.358	5407774.80
9/22/2003	0:00	587888.945	5407815.01
9/22/2003	3:00	587887.963	5407817.67
9/22/2003	6:00	587862.419	5407917.26
9/22/2003	15:00	588283.321	5407852.35
9/22/2003	18:00	588111.103	5407853.57
9/22/2003	21:00	588119.333	5408015.82
9/23/2003	0:00	588319.108	5408029.94
9/23/2003	3:00	588442.682	5408037.38
9/23/2003	9:00	588514.195	5407728.27
9/23/2003	12:00	588513.380	5407735.70
9/23/2003	15:00	588511.105	5407731.48
9/23/2003	18:00	588399.171	5407412.58
9/23/2003	21:00	588280.339	5407325.26
9/24/2003	0:00	588286.495	5407315.33
9/24/2003	3:00	588287.799	5407319.71
9/24/2003	6:00	588306.929	5407365.21
9/24/2003	15:00	588181.758	5407608.55
9/24/2003	18:00	588328.616	5408024.79
9/24/2003	21:00	588439.603	5408045.42
9/25/2003	0:00	588387.568	5408085.52
9/25/2003	3:00	588442.429	5408167.57
9/25/2003	6:00	588329.661	5408004.22
9/25/2003	9:00	588543.585	5407796.56
9/25/2003	12:00	588660.661	5407693.15
9/25/2003	15:00	588229.183	5407805.56
9/25/2003	18:00	588425.385	5407998.79
9/25/2003	21:00	588455.057	5408047.83
9/26/2003	0:00	588438.514	5408040.02
9/26/2003	3:00	588406.722	5408046.56
9/26/2003	6:00	588366.395	5407906.96
9/26/2003	9:00	588574.803	5407767.51
