Date	Hour	X	Y
9/14/2003	18:00	598049.578	5341370.83
9/14/2003	21:00	597885.769	5341323.86
9/15/2003	0:00	597884.963	5341314.11
9/15/2003	3:00	597901.830	5341402.45
9/15/2003	6:00	597875.710	5341474.65
9/15/2003	9:00	597877.283	5341467.41
9/15/2003	12:00	597859.252	5341459.13
9/15/2003	15:00	597299.157	5341503.96
9/15/2003	18:00	597031.463	5341556.06
9/16/2003	0:00	597074.127	5341635.79
9/16/2003	6:00	597126.409	5341562.76
9/16/2003	9:00	597144.879	5341512.95
9/16/2003	12:00	597129.901	5341489.34
9/16/2003	15:00	597127.847	5341486.52
9/16/2003	18:00	597060.997	5341561.17
9/17/2003	0:00	597078.206	5341658.93
9/17/2003	3:00	597108.084	5341646.43
9/17/2003	6:00	597131.719	5341493.83
9/17/2003	9:00	597153.673	5341419.18
9/17/2003	12:00	597125.004	5341495.93
9/17/2003	15:00	597164.897	5341508.38
9/17/2003	18:00	597047.726	5341597.59
9/17/2003	21:00	597074.549	5341622.34
9/18/2003	0:00	597064.404	5341636.53
9/18/2003	3:00	597086.469	5341648.38
9/18/2003	6:00	597131.565	5341574.57
9/18/2003	9:00	597153.660	5341610.79
9/18/2003	12:00	597238.943	5341416.11
9/18/2003	15:00	597135.837	5341487.64
9/18/2003	18:00	597070.141	5341630.34
9/18/2003	21:00	597082.291	5341642.41
9/19/2003	0:00	597072.053	5341647.23
9/19/2003	3:00	597065.697	5341666.71
9/19/2003	6:00	597069.912	5341674.82
9/19/2003	12:00	597067.767	5341591.69
9/19/2003	15:00	597063.012	5341620.95
9/19/2003	18:00	597063.041	5341736.41
9/20/2003	0:00	597042.543	5341747.38
9/20/2003	6:00	597163.010	5341597.05
9/20/2003	9:00	597341.439	5341650.42
9/20/2003	12:00	597343.247	5341547.41
9/20/2003	15:00	597391.084	5341502.61
9/20/2003	21:00	597075.091	5341640.71
9/21/2003	3:00	597062.856	5341726.78
9/21/2003	6:00	597359.877	5341733.30
9/21/2003	9:00	597373.756	5341802.97
9/21/2003	12:00	597297.772	5341700.40
9/21/2003	15:00	597210.085	5341638.40
9/21/2003	18:00	597042.095	5341782.95
9/21/2003	21:00	597072.207	5341716.87
9/22/2003	0:00	597063.062	5341686.67
9/22/2003	3:00	597163.247	5341578.75
9/22/2003	6:00	597341.876	5341573.80
9/22/2003	9:00	597601.768	5341494.08
9/22/2003	12:00	597612.378	5341490.61
9/22/2003	15:00	597787.773	5341425.22
9/22/2003	18:00	597799.734	5341428.32
9/22/2003	21:00	597784.273	5341440.03
9/23/2003	0:00	597812.041	5341465.43
9/23/2003	3:00	597798.906	5341377.69
9/23/2003	6:00	597878.927	5341394.50
9/23/2003	9:00	597901.232	5341356.24
9/23/2003	12:00	597892.839	5341320.12
9/23/2003	15:00	597190.352	5341425.79
9/23/2003	18:00	597303.468	5341536.13
9/23/2003	21:00	597295.714	5341562.57
9/24/2003	0:00	597304.648	5341510.49
9/24/2003	3:00	597311.009	5341516.09
9/24/2003	6:00	597513.082	5341530.62
9/24/2003	9:00	597544.904	5341552.68
9/24/2003	15:00	597431.710	5341484.22
9/24/2003	18:00	597278.362	5341526.67
9/24/2003	21:00	597217.993	5341578.83
9/25/2003	0:00	597064.165	5341682.94
9/25/2003	3:00	597090.647	5341596.17
9/25/2003	6:00	597304.259	5341593.07
9/25/2003	9:00	597659.882	5341388.11
9/25/2003	12:00	597619.505	5341353.94
9/25/2003	15:00	597477.375	5341387.02
9/25/2003	18:00	597232.771	5341550.83
9/25/2003	21:00	597085.283	5341635.52
9/26/2003	3:00	597178.902	5341612.75
9/26/2003	6:00	597403.439	5341511.31
9/26/2003	12:00	597843.403	5341353.86
9/26/2003	15:00	597791.935	5341301.47
9/26/2003	18:00	597272.912	5341531.69
9/26/2003	21:00	597217.589	5341577.23
9/27/2003	3:00	597271.345	5341498.95
9/27/2003	6:00	597654.797	5341394.35
9/27/2003	12:00	597816.665	5341255.24
9/27/2003	15:00	597804.252	5341229.09
9/27/2003	18:00	597330.015	5341743.98
9/28/2003	3:00	597178.838	5341643.10
9/28/2003	6:00	597806.597	5341317.35
9/28/2003	12:00	597912.794	5341268.23
9/28/2003	15:00	597779.605	5341265.21
9/28/2003	18:00	597452.581	5341629.58
9/28/2003	21:00	597279.523	5341640.39
9/29/2003	0:00	597238.723	5341693.05
9/29/2003	3:00	597287.188	5341585.10
9/29/2003	6:00	597651.563	5341314.10
9/29/2003	9:00	597660.789	5341369.82
9/29/2003	12:00	597519.832	5341415.94
9/29/2003	15:00	597402.257	5341519.22
9/29/2003	18:00	597151.679	5342140.32
9/29/2003	21:00	597064.018	5342057.03
9/30/2003	0:00	597065.786	5341872.13
9/30/2003	3:00	597052.479	5341765.16
9/30/2003	6:00	597222.918	5341643.92
9/30/2003	12:00	597216.814	5341550.78
9/30/2003	15:00	597335.642	5341525.41
9/30/2003	18:00	597320.752	5341518.53
10/1/2003	3:00	597048.646	5341730.11
10/1/2003	9:00	597304.302	5341692.99
10/1/2003	12:00	597300.382	5341722.04
10/1/2003	15:00	597286.980	5341565.93
10/1/2003	18:00	597090.533	5341827.96
10/1/2003	21:00	597097.342	5341842.57
10/2/2003	3:00	597182.933	5341679.30
10/2/2003	9:00	597305.688	5341692.77
10/2/2003	12:00	597258.312	5341717.13
10/2/2003	15:00	597275.241	5341596.02
10/2/2003	18:00	597224.285	5341581.08
10/3/2003	0:00	597156.406	5341739.33
10/3/2003	3:00	597093.760	5341801.98
10/3/2003	9:00	597298.947	5341722.56
10/3/2003	12:00	597304.079	5341725.30
10/3/2003	15:00	597439.134	5341887.76
10/3/2003	21:00	597458.595	5342013.78
10/4/2003	0:00	597470.066	5341988.48
10/4/2003	3:00	597594.489	5342176.03
10/4/2003	9:00	597585.360	5342104.24
10/4/2003	12:00	597591.109	5342104.74
10/4/2003	15:00	597656.541	5342096.57
10/5/2003	0:00	597693.389	5342050.85
10/5/2003	3:00	597683.131	5342072.97
10/5/2003	9:00	597551.427	5341981.08
10/5/2003	12:00	597511.469	5341983.13
10/5/2003	15:00	597535.678	5341936.73
10/5/2003	18:00	597157.501	5341902.92
10/5/2003	21:00	597077.216	5342104.82
10/6/2003	0:00	597057.643	5341996.34
10/6/2003	3:00	597047.099	5341973.28
10/6/2003	9:00	597294.823	5341532.88
10/6/2003	12:00	597389.133	5341499.37
10/6/2003	15:00	597459.284	5341501.95
10/7/2003	3:00	597128.634	5341753.88
10/7/2003	9:00	597187.196	5341650.55
10/7/2003	12:00	597188.926	5341632.72
10/7/2003	15:00	596964.581	5341544.36
10/8/2003	3:00	597076.067	5341633.14
10/8/2003	9:00	597129.265	5341501.86
10/8/2003	12:00	597131.582	5341493.19
10/8/2003	15:00	597111.611	5341511.55
10/8/2003	21:00	597789.316	5341585.05
10/9/2003	0:00	597612.192	5341602.74
10/9/2003	3:00	597565.642	5341593.86
10/9/2003	9:00	597562.041	5341618.97
10/9/2003	12:00	597242.568	5341584.60
10/9/2003	15:00	597079.488	5341638.16
10/9/2003	21:00	597101.570	5342002.45
10/10/2003	0:00	597061.906	5341973.66
10/10/2003	3:00	597057.483	5342038.09
10/10/2003	9:00	596969.087	5341802.31
10/10/2003	12:00	597102.599	5341652.65
10/10/2003	15:00	597072.113	5341578.56
10/11/2003	0:00	597062.155	5341737.40
10/11/2003	3:00	597054.049	5341770.26
10/11/2003	9:00	597122.985	5341654.89
10/11/2003	12:00	597091.179	5341665.87
10/11/2003	15:00	597115.692	5341732.49
10/11/2003	18:00	597103.118	5341850.68
10/12/2003	0:00	597048.318	5342020.89
10/12/2003	3:00	597052.034	5342011.17
10/12/2003	9:00	597110.639	5341812.48
10/12/2003	12:00	597126.353	5341770.94
10/12/2003	15:00	597129.022	5341801.39
10/12/2003	18:00	597099.233	5341836.69
10/12/2003	21:00	597100.873	5341832.81
10/13/2003	0:00	597089.844	5341875.45
10/13/2003	3:00	597117.414	5341875.43
10/13/2003	9:00	597061.477	5341765.50
10/13/2003	12:00	597073.813	5341707.15
10/13/2003	15:00	597052.172	5341692.71
10/13/2003	18:00	597061.887	5341754.47
10/14/2003	0:00	597064.429	5341687.13
10/14/2003	3:00	597085.875	5341704.27
10/14/2003	9:00	597066.595	5341634.40
10/14/2003	12:00	597061.918	5341605.80
10/14/2003	15:00	597077.393	5341621.55
10/14/2003	18:00	597065.200	5341744.90
10/15/2003	3:00	597057.354	5341768.53
10/15/2003	9:00	597185.284	5341559.02
10/15/2003	12:00	597098.394	5341641.33
10/15/2003	15:00	597061.931	5341660.10
10/15/2003	18:00	597117.822	5341760.55
10/15/2003	21:00	597121.071	5341757.83
10/16/2003	0:00	597089.822	5341791.14
10/16/2003	3:00	597078.446	5341834.92
10/16/2003	6:00	597085.995	5341823.50
10/16/2003	9:00	597096.360	5341723.78
10/16/2003	12:00	597096.052	5341637.91
10/16/2003	15:00	597060.672	5341621.83
10/16/2003	18:00	597077.725	5341702.56
10/16/2003	21:00	597084.640	5341716.60
10/17/2003	0:00	597093.386	5341715.61
10/17/2003	3:00	597119.157	5341727.51
10/17/2003	6:00	597130.705	5341726.48
10/17/2003	9:00	597110.610	5341643.82
10/17/2003	12:00	597054.596	5341609.98
10/17/2003	15:00	597092.237	5341625.03
10/17/2003	18:00	597070.545	5341732.46
10/17/2003	21:00	597089.766	5341709.63
10/18/2003	0:00	597053.826	5341700.32
10/18/2003	3:00	597050.785	5341748.55
10/18/2003	6:00	597032.074	5341704.19
10/18/2003	9:00	597058.174	5341552.00
10/18/2003	12:00	597100.737	5341508.30
10/18/2003	15:00	597163.356	5341443.95
10/19/2003	0:00	597217.961	5341374.70
10/19/2003	9:00	597093.023	5341602.41
10/19/2003	12:00	597125.375	5341655.00
10/19/2003	15:00	597049.199	5341826.11
10/19/2003	18:00	597004.367	5342047.26
10/19/2003	21:00	596989.745	5342042.13
10/20/2003	0:00	597019.670	5342052.53
10/20/2003	3:00	597059.103	5342052.01
10/20/2003	6:00	597073.471	5342042.40
10/20/2003	9:00	597066.640	5341993.64
10/20/2003	12:00	597094.892	5341878.73
10/20/2003	15:00	597107.612	5341874.75
10/20/2003	21:00	597099.401	5341857.37
10/21/2003	0:00	597065.049	5341828.50
10/21/2003	3:00	597045.606	5341824.20
10/21/2003	6:00	597046.706	5341825.93
10/21/2003	9:00	597059.199	5341709.37
10/21/2003	12:00	597088.787	5341697.71
10/21/2003	15:00	597160.275	5341587.04
10/21/2003	18:00	597311.526	5341526.70
10/21/2003	21:00	597306.475	5341522.32
10/22/2003	3:00	597214.142	5341390.42
10/22/2003	6:00	597231.335	5341376.39
10/22/2003	12:00	597238.016	5341367.17
10/23/2003	3:00	597005.927	5341221.87
10/23/2003	15:00	597020.800	5341232.94
10/24/2003	3:00	597011.797	5341226.71
10/24/2003	6:00	597009.308	5341230.17
10/24/2003	12:00	597159.095	5340952.33
10/24/2003	15:00	597095.636	5341077.62
10/24/2003	18:00	597149.505	5340976.23
10/24/2003	21:00	597148.985	5340973.15
10/25/2003	0:00	597139.562	5340971.09
10/25/2003	3:00	597138.309	5340971.32
10/25/2003	6:00	597181.538	5340929.40
10/25/2003	9:00	597185.441	5340934.10
10/25/2003	12:00	597241.265	5340885.62
10/25/2003	15:00	597276.832	5340870.88
10/25/2003	18:00	597190.285	5340930.18
10/25/2003	21:00	597211.000	5340938.98
10/26/2003	0:00	597172.308	5340940.00
10/26/2003	3:00	597180.744	5340930.64
10/26/2003	6:00	597143.514	5341031.43
10/26/2003	9:00	597144.625	5341035.53
10/26/2003	12:00	597140.164	5341046.20
10/26/2003	15:00	597069.795	5341135.72
10/26/2003	18:00	597085.881	5341136.58
10/26/2003	21:00	597106.096	5341130.58
10/27/2003	0:00	597139.451	5341180.33
10/27/2003	3:00	597142.442	5341170.88
10/27/2003	6:00	597112.007	5341173.20
10/27/2003	9:00	597031.134	5341246.11
10/27/2003	15:00	597014.644	5341222.70
10/27/2003	18:00	597076.714	5341155.33
10/27/2003	21:00	597062.934	5341150.79
10/28/2003	0:00	597067.550	5341152.83
10/28/2003	3:00	597043.355	5341129.38
10/28/2003	6:00	597063.379	5341143.82
10/28/2003	9:00	597087.375	5341141.36
10/28/2003	18:00	597167.474	5340941.99
10/28/2003	21:00	597096.904	5340961.50
10/29/2003	0:00	597093.059	5340960.82
10/29/2003	3:00	597090.898	5340958.58
10/29/2003	9:00	597143.279	5340924.61
10/29/2003	12:00	597130.544	5340955.62
10/29/2003	15:00	597147.753	5340960.40
10/29/2003	21:00	597157.783	5341020.76
10/30/2003	0:00	597186.268	5340927.82
10/30/2003	3:00	597199.529	5340927.54
10/30/2003	6:00	597203.179	5340930.91
10/30/2003	9:00	597139.067	5340980.10
10/30/2003	12:00	597118.056	5340979.98
10/30/2003	15:00	596916.566	5340848.43
10/30/2003	18:00	597118.689	5340933.11
10/30/2003	21:00	597116.821	5340949.50
10/31/2003	3:00	597107.073	5340987.04
10/31/2003	9:00	597129.916	5340885.05
10/31/2003	12:00	597128.316	5340903.99
10/31/2003	15:00	597198.575	5340935.55
10/31/2003	18:00	597137.075	5341043.90
10/31/2003	21:00	597143.426	5341051.45
11/1/2003	0:00	597141.623	5341046.91
11/1/2003	3:00	597144.444	5341046.18
11/1/2003	6:00	597149.164	5341049.58
11/1/2003	9:00	597150.970	5341053.46
11/1/2003	12:00	597142.700	5341051.74
11/1/2003	15:00	597128.958	5341044.52
11/1/2003	21:00	596787.784	5340852.36
11/2/2003	0:00	596795.168	5340853.31
11/2/2003	3:00	596796.741	5340853.42
11/2/2003	9:00	596916.964	5340937.58
11/2/2003	12:00	597225.960	5340721.36
11/2/2003	15:00	597149.212	5340425.84
11/2/2003	18:00	597144.719	5340230.33
11/2/2003	21:00	597144.590	5340211.29
11/3/2003	0:00	597143.008	5340229.56
11/3/2003	3:00	597147.956	5340227.00
