Date	Hour	X	Y
9/4/2003	21:00	598289.428	5339971.82
9/5/2003	0:00	598286.674	5339971.60
9/5/2003	3:00	598266.480	5339953.59
9/5/2003	6:00	598280.851	5339967.13
9/5/2003	9:00	597961.596	5339371.94
9/5/2003	12:00	598307.572	5339181.43
9/5/2003	15:00	598515.067	5339666.14
9/5/2003	18:00	598284.169	5339972.08
9/6/2003	0:00	598026.456	5339969.53
9/6/2003	3:00	598119.649	5339963.42
9/6/2003	6:00	598498.692	5339405.36
9/6/2003	9:00	598327.271	5339065.93
9/6/2003	12:00	598418.682	5339259.58
9/6/2003	15:00	598462.559	5339502.28
9/6/2003	18:00	598143.235	5339953.13
9/6/2003	21:00	597520.760	5340453.65
9/7/2003	0:00	597436.813	5340690.24
9/7/2003	3:00	597229.027	5340831.09
9/7/2003	6:00	597395.066	5340847.23
9/7/2003	12:00	597542.452	5340597.23
9/7/2003	15:00	597586.586	5340648.40
9/7/2003	18:00	597300.933	5341037.70
9/7/2003	21:00	597180.179	5341114.12
9/8/2003	0:00	597171.174	5341104.06
9/8/2003	3:00	597182.104	5341100.96
9/8/2003	6:00	597305.469	5341032.74
9/8/2003	9:00	597188.065	5341104.78
9/8/2003	12:00	597203.756	5341098.76
9/8/2003	15:00	597340.712	5341135.07
9/8/2003	18:00	597399.666	5341083.86
9/8/2003	21:00	597309.628	5341121.35
9/9/2003	0:00	597196.437	5341123.22
9/9/2003	3:00	597181.127	5341150.07
9/9/2003	6:00	597201.442	5341120.35
9/9/2003	9:00	597348.470	5340995.51
9/9/2003	12:00	597460.806	5340941.98
9/9/2003	18:00	597468.809	5340937.64
9/10/2003	6:00	597276.777	5340923.89
9/10/2003	9:00	597273.339	5340915.88
9/10/2003	12:00	597197.951	5340902.82
9/10/2003	18:00	597206.436	5340757.85
9/10/2003	21:00	597329.858	5339940.33
9/11/2003	0:00	597322.617	5340111.08
9/11/2003	3:00	597492.746	5339961.94
9/11/2003	6:00	597687.879	5339726.65
9/11/2003	12:00	597789.691	5339498.89
9/11/2003	18:00	597083.635	5339356.76
9/11/2003	21:00	597049.775	5339436.31
9/12/2003	0:00	596797.501	5339589.62
9/12/2003	3:00	596778.199	5339556.36
9/12/2003	6:00	596793.962	5339581.34
9/12/2003	12:00	597141.367	5339404.58
9/12/2003	15:00	597277.336	5339359.85
9/12/2003	21:00	596905.435	5339532.71
9/13/2003	0:00	596792.359	5339586.05
9/13/2003	3:00	596785.005	5339577.04
9/13/2003	6:00	596933.249	5339516.28
9/13/2003	9:00	597192.265	5339328.40
9/13/2003	12:00	597363.614	5339278.50
9/13/2003	15:00	597529.378	5339482.41
9/13/2003	18:00	597705.296	5339893.74
9/13/2003	21:00	597491.588	5339984.97
9/14/2003	3:00	597103.770	5340591.69
9/14/2003	6:00	597204.683	5340625.06
9/14/2003	9:00	597298.852	5340961.44
9/14/2003	18:00	597372.519	5340865.76
9/14/2003	21:00	597277.200	5340922.58
9/15/2003	0:00	597290.333	5340909.33
9/15/2003	3:00	597201.094	5340946.05
9/15/2003	9:00	597369.767	5340869.84
9/15/2003	12:00	597338.211	5341032.02
9/15/2003	15:00	597311.248	5341126.16
9/15/2003	18:00	597078.318	5341199.49
9/15/2003	21:00	596957.995	5341285.90
9/16/2003	6:00	597004.977	5341224.90
9/16/2003	9:00	597233.928	5340825.12
9/16/2003	12:00	597315.059	5340105.42
9/16/2003	15:00	597567.383	5339383.80
9/16/2003	21:00	597066.796	5339427.49
9/17/2003	0:00	596951.510	5339706.84
9/17/2003	3:00	596729.166	5339640.88
9/17/2003	6:00	596796.787	5339606.77
9/17/2003	9:00	597050.171	5339319.36
9/17/2003	12:00	597240.972	5339310.31
9/17/2003	15:00	597361.549	5339287.55
9/17/2003	18:00	597372.951	5339267.05
9/17/2003	21:00	597379.534	5339215.23
9/18/2003	0:00	597488.508	5339319.06
9/18/2003	3:00	597787.324	5339518.21
9/18/2003	6:00	597732.094	5339592.60
9/18/2003	12:00	597748.251	5339238.91
9/18/2003	15:00	597291.609	5339391.51
9/19/2003	0:00	596560.806	5339885.21
9/19/2003	3:00	596548.075	5339864.58
9/19/2003	6:00	596604.373	5339787.04
9/19/2003	9:00	597051.300	5339422.65
9/19/2003	12:00	597082.515	5339372.80
9/19/2003	15:00	597144.550	5339413.21
9/19/2003	21:00	597069.674	5339328.96
9/20/2003	0:00	596811.300	5339609.47
9/20/2003	6:00	596797.642	5339588.77
9/20/2003	12:00	597082.530	5339391.16
9/20/2003	15:00	597643.935	5339282.44
9/20/2003	18:00	597732.253	5339563.79
9/20/2003	21:00	597611.704	5339917.09
9/21/2003	0:00	597610.096	5339915.94
9/21/2003	3:00	596983.458	5340256.88
9/21/2003	6:00	597135.445	5340620.66
9/21/2003	12:00	597174.951	5340949.74
9/21/2003	18:00	597110.986	5341165.06
9/22/2003	0:00	596914.702	5341361.21
9/22/2003	3:00	596910.096	5341390.93
9/22/2003	6:00	596939.961	5341416.02
9/22/2003	12:00	597368.678	5341357.81
9/22/2003	15:00	597124.390	5341480.93
9/22/2003	18:00	597100.620	5342156.18
9/22/2003	21:00	597089.320	5342132.20
9/23/2003	0:00	597044.838	5342096.69
9/23/2003	3:00	597020.908	5342051.37
9/23/2003	6:00	597088.112	5341835.75
9/23/2003	15:00	596643.422	5341358.51
9/23/2003	18:00	596882.535	5341438.07
9/23/2003	21:00	596969.335	5341397.82
9/24/2003	3:00	596960.409	5341413.77
9/24/2003	6:00	596886.518	5341321.94
9/24/2003	9:00	597193.002	5341108.95
9/24/2003	12:00	597278.136	5341107.62
9/24/2003	15:00	597315.061	5341120.82
9/24/2003	18:00	597525.920	5340878.30
9/24/2003	21:00	597465.558	5340922.62
9/25/2003	0:00	597449.892	5340951.12
9/25/2003	3:00	597382.108	5340971.89
9/25/2003	9:00	596931.744	5341425.66
9/25/2003	12:00	596625.032	5342012.43
9/25/2003	21:00	596996.286	5341348.14
9/26/2003	0:00	596945.273	5341406.83
9/26/2003	3:00	596826.016	5341304.10
9/26/2003	9:00	597199.223	5341095.70
9/26/2003	12:00	597323.514	5341093.07
9/26/2003	15:00	597325.059	5341059.05
9/27/2003	0:00	597233.871	5340827.17
9/27/2003	3:00	596798.447	5341083.80
9/27/2003	6:00	596954.828	5341258.87
9/27/2003	9:00	597091.343	5341130.40
9/27/2003	12:00	597090.747	5341125.25
9/27/2003	15:00	597000.587	5340998.63
9/27/2003	21:00	596769.843	5340576.20
9/28/2003	0:00	596648.691	5340488.94
9/28/2003	3:00	596774.210	5340584.27
9/28/2003	9:00	597466.696	5340726.14
9/28/2003	12:00	597540.089	5340641.64
9/28/2003	21:00	597349.383	5340613.59
9/29/2003	0:00	597325.032	5340680.78
9/29/2003	3:00	597278.505	5340736.87
9/29/2003	6:00	597269.238	5340731.26
9/29/2003	9:00	597556.446	5340669.35
9/29/2003	12:00	597543.686	5340642.89
9/29/2003	15:00	597188.705	5340738.34
9/29/2003	18:00	597137.623	5340896.74
9/29/2003	21:00	597133.584	5340898.75
9/30/2003	0:00	597090.416	5341037.67
9/30/2003	3:00	596780.031	5341245.48
9/30/2003	6:00	597037.354	5341233.35
9/30/2003	9:00	597102.411	5341834.13
9/30/2003	12:00	597192.481	5341093.73
9/30/2003	15:00	597239.089	5341060.59
9/30/2003	18:00	597324.945	5341009.97
10/1/2003	0:00	597281.781	5340914.96
10/1/2003	3:00	597295.911	5340912.47
10/1/2003	9:00	597553.879	5340859.29
10/1/2003	12:00	597598.003	5340689.53
10/1/2003	15:00	597559.409	5340662.52
10/2/2003	12:00	597087.077	5341138.39
10/2/2003	15:00	597094.615	5341124.61
10/2/2003	21:00	596825.804	5341203.51
10/3/2003	0:00	596737.591	5341352.97
10/3/2003	3:00	597087.304	5341129.39
10/3/2003	6:00	597139.814	5341036.18
10/3/2003	9:00	597467.877	5340851.16
10/3/2003	12:00	597568.432	5340738.53
10/3/2003	15:00	597573.864	5340658.44
10/3/2003	18:00	597477.774	5340851.62
10/4/2003	0:00	597279.528	5340916.77
10/4/2003	3:00	597293.731	5340913.93
10/4/2003	6:00	597311.445	5340900.41
10/4/2003	9:00	597325.781	5341109.60
10/4/2003	12:00	597783.497	5340939.33
10/4/2003	15:00	597757.963	5340956.91
10/4/2003	21:00	597386.414	5340998.65
10/5/2003	0:00	597458.227	5340950.78
10/5/2003	3:00	597445.205	5340941.40
10/5/2003	6:00	597422.274	5340942.79
10/5/2003	9:00	597560.136	5340857.46
10/5/2003	12:00	597794.261	5340742.00
10/5/2003	15:00	597769.302	5340747.20
10/5/2003	18:00	597483.478	5340907.51
10/6/2003	0:00	597405.719	5340819.04
10/6/2003	3:00	597422.276	5340627.25
10/6/2003	6:00	597504.488	5340529.77
10/6/2003	9:00	597619.831	5340494.86
10/6/2003	12:00	597589.002	5340498.26
10/6/2003	15:00	597545.776	5340431.71
10/7/2003	15:00	597642.161	5339761.68
10/7/2003	21:00	597443.058	5339653.44
10/8/2003	0:00	597422.412	5339288.07
10/8/2003	3:00	597086.404	5339394.15
10/8/2003	6:00	596551.217	5338825.99
10/8/2003	9:00	596512.088	5339869.59
10/8/2003	12:00	596475.675	5339901.67
10/8/2003	15:00	596092.846	5340081.47
10/8/2003	21:00	596376.554	5340028.03
10/9/2003	0:00	596544.859	5339860.99
10/9/2003	9:00	596796.430	5339601.05
10/9/2003	12:00	596925.214	5339534.29
10/9/2003	15:00	597474.673	5339968.46
10/9/2003	21:00	597420.471	5339278.57
10/10/2003	0:00	597302.167	5339308.78
10/10/2003	3:00	597266.556	5339323.78
10/10/2003	9:00	596984.982	5339462.96
10/10/2003	12:00	596793.458	5339581.71
10/10/2003	15:00	596523.788	5339867.23
10/11/2003	0:00	596639.068	5339707.27
10/11/2003	3:00	596288.347	5339996.94
10/11/2003	9:00	596792.706	5339596.74
10/11/2003	12:00	597086.883	5339382.16
10/11/2003	15:00	597517.741	5339328.53
10/11/2003	18:00	597580.619	5339572.28
