Date	Hour	X	Y
9/5/2003	12:00	597524.499	5335410.29
9/6/2003	0:00	597073.375	5335179.11
9/6/2003	3:00	597060.569	5335235.12
9/6/2003	6:00	597057.240	5335142.38
9/6/2003	9:00	597057.677	5335147.75
9/6/2003	15:00	597059.793	5335139.24
9/6/2003	18:00	597037.349	5335153.06
9/7/2003	0:00	596796.070	5334863.12
9/7/2003	6:00	596785.091	5334849.07
9/7/2003	12:00	596937.436	5335092.98
9/7/2003	15:00	596923.049	5335161.63
9/7/2003	21:00	596793.227	5335032.57
9/8/2003	0:00	596795.605	5335035.77
9/8/2003	3:00	596777.045	5335037.22
9/8/2003	6:00	596774.349	5335044.04
9/8/2003	9:00	596773.475	5335075.04
9/8/2003	12:00	596836.205	5334986.75
9/8/2003	15:00	596958.976	5334899.37
9/8/2003	18:00	597157.933	5335107.79
9/8/2003	21:00	597130.210	5335034.32
9/9/2003	0:00	597166.059	5335022.60
9/9/2003	3:00	597167.048	5335020.39
9/9/2003	15:00	597136.534	5335160.42
9/9/2003	18:00	597054.734	5335147.18
9/9/2003	21:00	596861.411	5335191.13
9/10/2003	0:00	596868.935	5335169.38
9/10/2003	6:00	596850.648	5335215.37
9/10/2003	12:00	596640.987	5335127.75
9/10/2003	15:00	596593.987	5335152.86
9/10/2003	18:00	596454.468	5335023.25
9/10/2003	21:00	596476.855	5335048.46
9/11/2003	0:00	596519.966	5334987.10
9/11/2003	3:00	596518.819	5335050.71
9/11/2003	6:00	596524.926	5335048.90
9/11/2003	9:00	596471.276	5335039.69
9/11/2003	12:00	596475.950	5335051.82
9/11/2003	15:00	596563.643	5334987.03
9/11/2003	18:00	596566.205	5335003.98
9/11/2003	21:00	596574.317	5334960.53
9/12/2003	0:00	596562.414	5334958.89
9/12/2003	3:00	596582.848	5334960.55
9/12/2003	6:00	596563.029	5334967.00
9/12/2003	9:00	596432.622	5335059.50
9/12/2003	12:00	596371.785	5335101.15
9/12/2003	15:00	596395.929	5335162.95
9/12/2003	18:00	596384.099	5335194.06
9/12/2003	21:00	596472.195	5335088.85
9/13/2003	0:00	596471.985	5335089.84
9/13/2003	3:00	596570.385	5334963.89
9/13/2003	6:00	596562.450	5334962.94
9/13/2003	9:00	596711.119	5335030.40
9/13/2003	12:00	596985.474	5335142.79
9/13/2003	15:00	597038.108	5335114.03
9/14/2003	12:00	597521.903	5334654.80
9/14/2003	15:00	597720.454	5334796.61
9/14/2003	18:00	597726.810	5334701.88
9/15/2003	0:00	597586.056	5334664.17
9/15/2003	3:00	597566.871	5334664.22
9/15/2003	6:00	597561.256	5334544.16
9/15/2003	12:00	597809.640	5334623.33
9/15/2003	15:00	597815.832	5334660.55
9/15/2003	18:00	597860.533	5334531.57
9/15/2003	21:00	597818.453	5334484.54
9/16/2003	0:00	597821.589	5334460.80
9/16/2003	3:00	597799.995	5334262.22
9/16/2003	12:00	597346.871	5334383.04
9/16/2003	15:00	597204.152	5334336.07
9/16/2003	18:00	597242.812	5334345.67
9/16/2003	21:00	597355.567	5334380.41
9/17/2003	0:00	597351.770	5334377.08
9/17/2003	6:00	597306.088	5334383.26
9/17/2003	9:00	597146.565	5334488.31
9/17/2003	12:00	597161.867	5334503.64
9/17/2003	15:00	597238.512	5334561.11
9/17/2003	18:00	597142.738	5334500.37
9/17/2003	21:00	597152.849	5334500.28
9/18/2003	0:00	597144.071	5334495.47
9/18/2003	6:00	597161.070	5334498.85
9/18/2003	9:00	597198.195	5334501.99
9/18/2003	12:00	597141.634	5334503.62
9/18/2003	15:00	597124.258	5334508.83
9/18/2003	18:00	597085.409	5334442.43
9/18/2003	21:00	597088.894	5334437.39
9/19/2003	0:00	597080.925	5334441.03
9/19/2003	3:00	597085.455	5334444.10
9/19/2003	6:00	597062.926	5334477.29
9/19/2003	9:00	597063.340	5334482.69
9/19/2003	12:00	597013.081	5334688.32
9/19/2003	15:00	597014.810	5334635.01
9/19/2003	18:00	597144.274	5334595.71
9/19/2003	21:00	597163.046	5334612.96
9/20/2003	0:00	597144.239	5334594.69
9/20/2003	3:00	597139.097	5334592.59
9/20/2003	6:00	597043.651	5334485.70
9/20/2003	9:00	597020.451	5334542.23
9/20/2003	12:00	596916.924	5334726.60
9/20/2003	18:00	596840.335	5334994.10
9/21/2003	0:00	597873.862	5336004.96
9/21/2003	12:00	596825.471	5335034.30
9/21/2003	15:00	596936.868	5335138.41
9/21/2003	21:00	597014.227	5335125.78
9/22/2003	0:00	597019.113	5335117.46
9/22/2003	6:00	596880.389	5335166.75
9/22/2003	9:00	597021.792	5335117.36
9/22/2003	12:00	597124.082	5335195.52
9/22/2003	15:00	597219.840	5335215.84
9/22/2003	18:00	597209.371	5335229.67
9/22/2003	21:00	597181.696	5335214.30
9/23/2003	0:00	597164.975	5335199.89
9/23/2003	3:00	597208.551	5335224.91
9/23/2003	6:00	597216.394	5335221.24
9/23/2003	9:00	597311.011	5335238.16
9/23/2003	12:00	597153.430	5335208.28
9/23/2003	15:00	597257.740	5335258.42
9/23/2003	18:00	597164.067	5335175.37
9/24/2003	0:00	597167.907	5335204.15
9/24/2003	3:00	597169.342	5335194.55
9/24/2003	6:00	597205.693	5335209.29
9/24/2003	12:00	597195.075	5335224.44
9/24/2003	15:00	597448.880	5335241.88
9/24/2003	18:00	597516.128	5335196.67
9/24/2003	21:00	597461.965	5335144.38
9/25/2003	0:00	597386.767	5335095.05
9/25/2003	3:00	597386.541	5335050.63
9/25/2003	6:00	597449.333	5335014.79
9/25/2003	9:00	597555.161	5334991.19
9/25/2003	18:00	597804.991	5334756.49
9/25/2003	21:00	597834.187	5334484.92
9/26/2003	0:00	597783.203	5334087.73
9/26/2003	3:00	597962.138	5333966.45
9/26/2003	6:00	597766.672	5334083.40
9/26/2003	12:00	598131.826	5334098.65
9/26/2003	15:00	598232.291	5333862.91
9/26/2003	18:00	597936.836	5333572.01
9/27/2003	0:00	597942.128	5333722.40
9/27/2003	3:00	597928.428	5333705.18
9/27/2003	6:00	597990.525	5333695.31
9/27/2003	12:00	597852.775	5333620.66
9/27/2003	15:00	597863.095	5333628.90
9/27/2003	18:00	597993.294	5333827.39
9/28/2003	0:00	597803.172	5333885.10
9/28/2003	3:00	597727.252	5333885.99
9/28/2003	6:00	597915.728	5333521.63
9/28/2003	9:00	598107.742	5334209.09
9/28/2003	18:00	597470.750	5334979.22
9/28/2003	21:00	597362.436	5335099.07
9/29/2003	0:00	597364.722	5335137.00
9/29/2003	3:00	597371.057	5335130.52
9/29/2003	6:00	597341.725	5335141.73
9/29/2003	9:00	597385.157	5335086.55
9/29/2003	12:00	597244.861	5334889.23
9/29/2003	15:00	597203.309	5335140.36
9/29/2003	18:00	597168.321	5335209.56
9/29/2003	21:00	597185.661	5335207.65
9/30/2003	0:00	597173.518	5335239.02
9/30/2003	3:00	597238.327	5335197.63
9/30/2003	6:00	597233.442	5335251.36
9/30/2003	9:00	597321.423	5335204.95
9/30/2003	15:00	597122.749	5335198.69
10/1/2003	0:00	596928.558	5335193.85
10/1/2003	3:00	596890.169	5335318.78
10/1/2003	6:00	597051.123	5335259.68
10/1/2003	15:00	597326.395	5335179.85
10/3/2003	9:00	596424.259	5335189.00
10/3/2003	12:00	596460.759	5335017.13
10/3/2003	18:00	596424.168	5335083.15
10/3/2003	21:00	596408.558	5335112.62
10/4/2003	0:00	596425.696	5335188.46
10/4/2003	3:00	596410.442	5335198.57
10/4/2003	9:00	596461.574	5335301.92
10/4/2003	12:00	596481.021	5335247.82
10/6/2003	9:00	596566.680	5335284.42
10/6/2003	15:00	596608.383	5335242.52
10/6/2003	18:00	596612.049	5335269.85
10/6/2003	21:00	596597.362	5335258.30
10/7/2003	0:00	596599.617	5335257.79
10/7/2003	3:00	596591.991	5335254.84
10/7/2003	6:00	596588.694	5335260.23
10/7/2003	9:00	596595.203	5335258.44
10/7/2003	12:00	596601.488	5335301.12
10/7/2003	18:00	596611.123	5335262.20
10/7/2003	21:00	596602.820	5335249.09
10/8/2003	0:00	596602.521	5335244.37
10/8/2003	3:00	596609.598	5335263.97
10/8/2003	6:00	596589.484	5335256.61
10/8/2003	9:00	596589.175	5335258.61
10/8/2003	12:00	596581.146	5335225.81
10/8/2003	15:00	596593.172	5335220.55
10/8/2003	18:00	596575.008	5335166.00
10/8/2003	21:00	596619.835	5335090.23
10/9/2003	3:00	596642.175	5335067.94
10/9/2003	9:00	596596.932	5335100.01
10/9/2003	12:00	596555.645	5335053.26
10/9/2003	15:00	596548.137	5335023.90
10/9/2003	18:00	596613.934	5335019.02
10/9/2003	21:00	596576.757	5334965.79
10/10/2003	0:00	596557.263	5334961.79
10/10/2003	3:00	596556.021	5334996.57
10/10/2003	6:00	596566.085	5334941.46
10/10/2003	9:00	596605.688	5334898.08
10/10/2003	15:00	596630.157	5334607.49
10/10/2003	18:00	596608.304	5334527.17
10/10/2003	21:00	596597.501	5334525.54
10/11/2003	0:00	596617.973	5334521.94
10/11/2003	3:00	596610.417	5334509.99
10/11/2003	15:00	596693.145	5334431.39
10/12/2003	3:00	596688.027	5334432.29
10/12/2003	12:00	596632.677	5334505.78
10/12/2003	15:00	596632.009	5334557.22
10/12/2003	21:00	596655.309	5334525.41
10/13/2003	0:00	596649.951	5334531.65
10/13/2003	3:00	596658.469	5334523.69
10/13/2003	6:00	596700.869	5334536.93
10/13/2003	9:00	596676.659	5334591.37
10/13/2003	12:00	596761.558	5334739.88
10/13/2003	15:00	596693.398	5334496.54
10/13/2003	21:00	596676.069	5334347.94
10/14/2003	0:00	596680.847	5334367.21
10/14/2003	6:00	596693.439	5334393.30
10/14/2003	15:00	596748.477	5334586.99
10/14/2003	18:00	597113.156	5334808.50
