Date	Hour	X	Y
9/13/2003	3:00	635631.524	5242733.17
9/13/2003	18:00	635432.782	5243051.11
9/14/2003	9:00	635503.637	5243063.94
9/15/2003	5:00	635402.212	5243024.14
9/15/2003	20:00	635341.706	5243026.42
9/16/2003	1:00	635403.989	5242995.17
9/16/2003	6:00	635344.891	5243036.84
9/16/2003	11:00	635402.348	5243094.85
9/16/2003	16:00	635436.281	5242926.89
9/16/2003	21:00	635374.986	5242881.89
9/17/2003	2:00	635488.144	5242838.96
9/17/2003	7:00	635552.899	5242813.78
9/17/2003	12:00	635551.061	5242964.94
9/17/2003	17:00	635608.918	5243042.90
9/17/2003	22:00	635538.143	5242905.71
9/18/2003	3:00	635605.218	5243041.42
9/18/2003	13:00	635501.695	5243075.10
9/18/2003	18:00	635593.341	5242951.48
9/18/2003	23:00	635553.676	5242818.12
9/19/2003	9:00	635409.836	5242838.83
9/19/2003	14:00	635497.019	5242820.23
9/20/2003	5:00	635531.516	5242749.52
9/20/2003	15:00	635655.451	5243071.63
9/20/2003	20:00	635547.018	5242818.03
9/21/2003	1:00	635633.127	5242722.35
9/21/2003	6:00	635635.627	5242712.61
9/21/2003	11:00	635574.613	5242728.25
9/21/2003	21:00	635635.860	5242696.87
9/22/2003	2:00	635631.961	5242708.63
9/22/2003	7:00	635532.819	5242887.75
9/22/2003	17:00	635544.539	5242954.30
9/22/2003	22:00	635534.843	5242994.26
9/23/2003	3:00	635556.997	5242989.47
9/23/2003	8:00	635590.535	5242910.81
9/23/2003	18:00	635635.207	5242706.21
9/23/2003	23:00	635626.295	5242700.58
9/24/2003	4:00	635546.504	5242826.86
9/24/2003	9:00	635452.055	5242939.52
9/24/2003	14:00	635507.732	5243028.24
9/25/2003	0:00	635341.807	5242904.59
9/25/2003	5:00	635326.692	5242919.51
9/25/2003	10:00	635528.395	5242624.30
9/25/2003	15:00	635482.574	5242794.86
9/25/2003	20:00	635343.068	5243028.02
9/26/2003	1:00	635380.313	5243028.68
9/26/2003	6:00	635331.896	5243075.68
9/26/2003	11:00	635432.854	5242909.90
9/26/2003	16:00	635413.451	5242887.41
9/26/2003	21:00	635547.221	5242817.07
9/27/2003	2:00	635585.187	5242859.39
9/27/2003	17:00	637168.339	5242337.64
9/27/2003	22:00	637420.841	5242247.43
9/28/2003	3:00	637404.845	5242148.47
9/28/2003	8:00	637566.037	5242264.29
9/28/2003	13:00	637624.566	5242291.38
9/28/2003	18:00	637605.091	5242132.07
9/28/2003	23:00	637554.301	5241940.19
9/29/2003	4:00	637593.639	5242025.43
9/29/2003	9:00	637506.628	5242121.60
9/29/2003	14:00	637413.340	5242179.11
9/29/2003	19:00	637584.082	5242199.95
9/30/2003	0:00	637606.670	5242256.42
9/30/2003	5:00	638227.077	5242358.98
9/30/2003	10:00	637927.260	5242263.48
9/30/2003	15:00	638537.025	5242030.36
9/30/2003	20:00	638324.853	5241888.40
10/1/2003	1:00	638322.402	5241889.40
10/1/2003	6:00	638457.592	5241873.84
10/1/2003	21:00	638371.440	5241717.32
10/2/2003	7:00	638488.777	5241662.03
10/2/2003	12:00	638440.624	5241676.90
10/2/2003	17:00	638426.982	5241881.34
10/2/2003	22:00	638376.250	5241723.38
10/7/2003	17:00	635777.409	5242407.40
10/7/2003	22:00	635566.260	5242544.61
10/8/2003	3:00	635564.720	5242516.90
10/8/2003	13:00	635556.003	5242496.87
10/8/2003	18:00	635317.093	5242895.44
10/8/2003	23:00	635304.876	5242908.26
10/9/2003	4:00	635311.200	5242843.60
10/9/2003	9:00	635446.330	5242666.75
10/9/2003	14:00	635840.591	5242261.18
10/9/2003	19:00	636058.674	5242304.73
10/10/2003	0:00	636073.992	5242303.43
10/10/2003	10:00	636163.497	5242089.31
10/10/2003	15:00	635919.116	5242431.82
10/11/2003	1:00	635352.538	5242938.63
10/11/2003	6:00	635349.701	5242980.18
10/11/2003	11:00	635527.689	5242785.43
10/11/2003	16:00	635753.855	5242597.54
10/12/2003	2:00	635299.447	5242981.41
10/12/2003	7:00	635337.349	5242923.91
