Date	Hour	X	Y
9/12/2003	15:00	630363.111	5221097.47
9/12/2003	18:00	630017.695	5220672.90
9/12/2003	21:00	630005.835	5220688.83
9/13/2003	0:00	630005.430	5220685.17
9/13/2003	3:00	630002.559	5220692.22
9/13/2003	6:00	630004.199	5220699.43
9/13/2003	12:00	630011.198	5220734.61
9/13/2003	18:00	630000.498	5220687.58
9/13/2003	21:00	630006.196	5220688.97
9/14/2003	0:00	630004.091	5220691.93
9/14/2003	3:00	630005.746	5220687.36
9/14/2003	6:00	630004.714	5220699.50
9/14/2003	9:00	630006.951	5220686.73
9/14/2003	15:00	630004.954	5220691.64
9/14/2003	18:00	629969.006	5220532.92
9/15/2003	0:00	629809.002	5220329.00
9/15/2003	3:00	629926.182	5220393.58
9/15/2003	9:00	630137.502	5221336.61
9/15/2003	12:00	629578.032	5221810.30
9/15/2003	15:00	629463.530	5221870.92
9/15/2003	18:00	629569.295	5221825.46
9/15/2003	21:00	629702.445	5221707.66
9/16/2003	0:00	629446.071	5221830.43
9/16/2003	3:00	630016.125	5220481.41
9/16/2003	15:00	629841.706	5220325.54
9/16/2003	18:00	629758.431	5220092.54
9/16/2003	21:00	629807.938	5219962.15
9/17/2003	0:00	629811.034	5219964.57
9/17/2003	3:00	629829.874	5219902.97
9/17/2003	6:00	629803.813	5219894.03
9/17/2003	9:00	629754.057	5220069.78
9/17/2003	12:00	629938.142	5220394.21
9/17/2003	15:00	629947.642	5220374.48
9/17/2003	18:00	629952.707	5220449.82
9/17/2003	21:00	629958.241	5220457.34
9/18/2003	0:00	629904.307	5220422.96
9/18/2003	3:00	629998.429	5220427.45
9/18/2003	6:00	629923.806	5220359.68
9/18/2003	12:00	629911.192	5220594.38
9/18/2003	15:00	630016.882	5220657.02
9/18/2003	21:00	630036.379	5220483.76
9/19/2003	0:00	629947.788	5220368.16
9/19/2003	3:00	629967.859	5220487.96
9/19/2003	9:00	629902.744	5220393.54
9/19/2003	12:00	629986.272	5220695.52
9/19/2003	15:00	629977.488	5220672.20
9/19/2003	18:00	629984.266	5220681.43
9/19/2003	21:00	629982.325	5220676.90
9/20/2003	0:00	629973.270	5220662.80
9/20/2003	3:00	629988.660	5220678.97
9/20/2003	6:00	630029.208	5220560.30
9/20/2003	9:00	629979.069	5220671.03
9/20/2003	12:00	629995.126	5220465.99
9/20/2003	15:00	630010.972	5220450.65
9/20/2003	18:00	629990.182	5220438.48
9/20/2003	21:00	629943.312	5220369.16
9/21/2003	0:00	629948.854	5220372.48
9/21/2003	3:00	629949.861	5220373.98
9/21/2003	6:00	629974.031	5220426.90
9/21/2003	9:00	629942.293	5220365.81
9/21/2003	15:00	629965.305	5220462.90
