Date	Hour	X	Y
9/15/2003	12:00	624988.851	5331507.84
9/15/2003	18:00	624977.521	5331561.06
9/17/2003	3:00	625011.238	5331571.23
9/17/2003	6:00	624990.175	5331525.28
9/17/2003	12:00	624999.773	5331538.15
9/17/2003	15:00	624997.803	5331534.97
9/17/2003	18:00	625248.427	5331402.21
9/17/2003	21:00	625314.481	5331403.73
9/18/2003	3:00	625310.309	5331393.98
9/18/2003	9:00	625327.618	5331365.05
9/19/2003	0:00	625161.622	5330627.59
9/19/2003	3:00	625184.441	5330635.19
9/19/2003	6:00	625242.173	5330619.96
9/19/2003	15:00	625169.445	5330653.64
9/20/2003	0:00	625159.455	5330633.08
9/20/2003	3:00	625142.542	5330601.57
9/20/2003	12:00	625215.781	5330596.99
9/20/2003	15:00	625190.581	5330599.89
9/20/2003	18:00	625191.801	5330584.61
9/20/2003	21:00	625167.702	5330555.85
9/21/2003	0:00	625201.504	5330596.13
9/21/2003	3:00	625208.006	5330577.28
9/21/2003	12:00	625210.615	5330614.28
9/21/2003	18:00	625187.287	5330561.83
9/21/2003	21:00	625186.459	5330535.00
9/22/2003	0:00	625160.334	5330443.54
9/22/2003	3:00	625203.717	5330521.40
9/22/2003	21:00	625121.011	5330460.65
9/23/2003	0:00	625102.370	5330457.76
9/23/2003	3:00	625174.021	5330456.06
9/23/2003	9:00	625189.808	5330580.41
9/24/2003	3:00	625154.504	5330577.17
9/24/2003	6:00	625244.819	5330549.28
9/24/2003	9:00	625208.464	5330605.74
9/24/2003	18:00	625073.765	5330665.73
9/24/2003	21:00	625129.343	5330672.72
9/25/2003	0:00	625125.504	5330697.47
9/25/2003	3:00	625017.705	5330645.01
9/25/2003	6:00	625050.774	5330587.23
9/25/2003	15:00	625062.657	5330621.68
9/25/2003	18:00	625058.195	5330529.69
9/26/2003	0:00	625041.697	5330461.37
9/26/2003	3:00	625192.801	5330541.89
9/26/2003	6:00	625148.957	5330692.38
9/26/2003	9:00	625163.336	5330688.58
9/27/2003	0:00	625008.598	5330606.14
9/27/2003	3:00	624982.333	5330636.05
9/27/2003	9:00	625043.836	5330628.47
9/27/2003	15:00	624990.062	5330553.76
9/27/2003	18:00	625026.061	5330501.62
9/28/2003	12:00	623051.549	5328801.36
9/28/2003	15:00	622753.009	5329051.82
9/28/2003	18:00	622753.421	5328856.93
9/29/2003	12:00	622237.598	5329111.58
9/29/2003	21:00	622386.208	5329249.49
9/30/2003	6:00	622364.318	5329233.94
9/30/2003	9:00	622383.123	5329249.57
9/30/2003	15:00	622361.366	5329249.75
10/3/2003	18:00	623227.046	5328474.44
10/4/2003	0:00	622958.112	5328714.35
10/4/2003	6:00	622719.677	5329107.03
10/4/2003	15:00	622143.959	5329268.29
10/5/2003	0:00	622112.683	5329140.23
10/6/2003	0:00	622614.551	5329314.80
10/6/2003	6:00	622565.776	5329317.39
10/7/2003	3:00	622754.753	5329361.30
10/7/2003	21:00	622686.885	5329350.63
10/8/2003	0:00	622832.174	5330022.86
10/9/2003	0:00	622852.675	5329179.93
10/9/2003	18:00	622705.040	5329147.14
10/10/2003	9:00	622627.127	5329152.68
10/10/2003	15:00	622705.962	5329268.64
