Date	Hour	X	Y
9/16/2003	0:00	617627.238	5324999.91
9/16/2003	3:00	617615.746	5324991.59
9/16/2003	12:00	617622.475	5324994.17
9/16/2003	15:00	617580.513	5324948.19
9/17/2003	0:00	617195.591	5324805.32
9/17/2003	6:00	617237.289	5324831.56
9/17/2003	12:00	617257.260	5324886.38
9/17/2003	15:00	617193.114	5324824.82
9/17/2003	21:00	617392.977	5324878.02
9/18/2003	0:00	617382.783	5324864.14
9/18/2003	3:00	617200.865	5324821.14
9/18/2003	12:00	617112.536	5324685.64
9/18/2003	15:00	617080.075	5324627.42
9/19/2003	12:00	617040.784	5324648.20
9/19/2003	18:00	616681.455	5325278.15
9/19/2003	21:00	616684.439	5325282.75
9/20/2003	0:00	616802.872	5325315.40
9/20/2003	3:00	616800.799	5325316.90
9/20/2003	6:00	616957.221	5325250.78
9/20/2003	9:00	617139.559	5325152.07
9/20/2003	12:00	617272.709	5325018.45
9/20/2003	15:00	617272.186	5325025.77
9/20/2003	18:00	616611.170	5325563.80
9/20/2003	21:00	616604.651	5325558.23
9/21/2003	0:00	616573.944	5325578.73
9/21/2003	3:00	616552.139	5325662.84
9/21/2003	15:00	616671.331	5326081.08
9/21/2003	18:00	616795.816	5326114.25
9/22/2003	0:00	616992.349	5326072.54
9/22/2003	3:00	617015.248	5325997.88
9/22/2003	6:00	617020.044	5325997.62
9/22/2003	12:00	616996.925	5325959.90
9/22/2003	15:00	617005.278	5325991.69
9/22/2003	18:00	617011.545	5326049.40
9/23/2003	0:00	616969.631	5326061.94
9/23/2003	3:00	616869.657	5325958.25
9/23/2003	6:00	616852.818	5325903.34
9/23/2003	9:00	616869.162	5325877.95
9/23/2003	15:00	616829.917	5325847.91
9/23/2003	18:00	616913.443	5325795.73
9/23/2003	21:00	616904.383	5325802.99
9/24/2003	0:00	616938.965	5325766.76
9/24/2003	3:00	616834.268	5325790.10
9/24/2003	6:00	616805.893	5325866.29
9/24/2003	18:00	616908.601	5325745.17
9/25/2003	0:00	616691.534	5325838.33
9/25/2003	3:00	616685.474	5325854.54
9/25/2003	9:00	616561.172	5326193.19
9/25/2003	18:00	616646.923	5325537.36
9/25/2003	21:00	616669.418	5325489.44
9/26/2003	0:00	616608.807	5325549.55
9/26/2003	3:00	616618.312	5325557.37
9/26/2003	6:00	616627.752	5325489.62
9/26/2003	15:00	616556.536	5325475.31
9/26/2003	18:00	616653.458	5325509.50
9/27/2003	0:00	616644.889	5325486.04
9/27/2003	3:00	616591.627	5325497.30
9/27/2003	6:00	616629.532	5325472.05
9/27/2003	15:00	616612.512	5325535.15
9/27/2003	21:00	616618.978	5325578.16
9/28/2003	0:00	616602.676	5325541.01
9/28/2003	3:00	616651.312	5325484.58
9/28/2003	15:00	616520.581	5325486.01
9/28/2003	18:00	616578.236	5325666.04
9/28/2003	21:00	616671.637	5325548.16
9/29/2003	0:00	616594.362	5325560.72
9/29/2003	3:00	616609.473	5325521.52
9/29/2003	6:00	616632.497	5325542.85
9/29/2003	12:00	616518.937	5325350.80
9/29/2003	15:00	616515.628	5325190.39
9/30/2003	6:00	616457.499	5324201.88
9/30/2003	15:00	616597.250	5324347.18
9/30/2003	18:00	616508.102	5324595.86
9/30/2003	21:00	616506.537	5324493.39
10/1/2003	0:00	616518.978	5324742.28
10/1/2003	3:00	616521.253	5324742.15
10/1/2003	9:00	616693.281	5324533.56
10/1/2003	15:00	616702.926	5324671.41
10/1/2003	18:00	616498.824	5324793.39
10/1/2003	21:00	616491.673	5325233.18
10/2/2003	0:00	616453.027	5325376.04
10/2/2003	3:00	616520.938	5325354.98
10/2/2003	6:00	616545.055	5325292.47
10/2/2003	9:00	616643.190	5324905.17
10/2/2003	12:00	616625.506	5325040.46
10/2/2003	15:00	616583.247	5325028.58
10/2/2003	18:00	616168.927	5324641.79
10/2/2003	21:00	616177.472	5324665.15
10/3/2003	0:00	616252.511	5324703.54
10/3/2003	3:00	616418.136	5324630.17
10/3/2003	6:00	616636.494	5324563.85
10/3/2003	9:00	616639.400	5324562.75
10/4/2003	0:00	616495.586	5324575.79
10/4/2003	3:00	616514.187	5324569.98
10/4/2003	12:00	616557.528	5324522.13
10/4/2003	15:00	616439.354	5324486.14
10/4/2003	18:00	616196.250	5324582.80
10/5/2003	0:00	616282.938	5324734.19
10/5/2003	3:00	616303.194	5324668.01
10/5/2003	6:00	616472.075	5324648.41
10/5/2003	9:00	616571.213	5324660.05
10/5/2003	12:00	616704.631	5324592.67
10/5/2003	21:00	616525.207	5324564.24
10/6/2003	0:00	616236.008	5324599.51
10/6/2003	6:00	616596.351	5324480.27
10/6/2003	9:00	616571.532	5324516.61
10/6/2003	12:00	616615.813	5324541.04
10/6/2003	15:00	616636.361	5324560.82
10/7/2003	3:00	616339.969	5324504.89
10/7/2003	6:00	616298.262	5324227.51
10/7/2003	9:00	616612.203	5324252.77
10/7/2003	12:00	616604.946	5324243.81
10/7/2003	15:00	616593.113	5324263.88
10/8/2003	0:00	616581.266	5324352.18
10/8/2003	15:00	616600.735	5324255.19
10/8/2003	18:00	616522.694	5324186.40
10/9/2003	0:00	616469.738	5324184.97
10/9/2003	3:00	616480.252	5324189.87
10/9/2003	9:00	616535.032	5324150.65
10/9/2003	12:00	616546.007	5324158.93
10/9/2003	15:00	616533.010	5324136.10
10/9/2003	18:00	616543.714	5324161.73
10/10/2003	0:00	616535.493	5324146.68
10/10/2003	3:00	616528.294	5324199.54
10/10/2003	9:00	616592.116	5324184.53
10/10/2003	12:00	616637.805	5324194.05
10/10/2003	15:00	616633.773	5324224.11
10/10/2003	18:00	616709.616	5324326.14
10/10/2003	21:00	616705.126	5324327.76
10/11/2003	0:00	616705.537	5324317.10
10/11/2003	3:00	616672.201	5324332.04
10/11/2003	12:00	616615.060	5324256.69
10/11/2003	21:00	616839.932	5324392.24
10/12/2003	3:00	616846.749	5324432.28
10/12/2003	6:00	616831.949	5324453.78
10/12/2003	9:00	616840.047	5324463.49
10/12/2003	12:00	616838.622	5324473.07
10/12/2003	15:00	616835.987	5324460.47
10/12/2003	21:00	616839.600	5324425.00
10/13/2003	0:00	616831.572	5324428.00
10/13/2003	3:00	616828.376	5324463.82
10/13/2003	9:00	616837.507	5324427.50
10/13/2003	12:00	616857.268	5324397.35
10/13/2003	15:00	616813.269	5324349.53
10/13/2003	18:00	616827.852	5324354.78
10/13/2003	21:00	616824.626	5324371.22
10/14/2003	0:00	616774.278	5324402.48
10/14/2003	3:00	616774.624	5324397.16
10/14/2003	9:00	616706.035	5324469.67
10/14/2003	12:00	616708.588	5324493.30
10/14/2003	15:00	616775.441	5324557.08
10/14/2003	18:00	616826.553	5324490.79
10/14/2003	21:00	616817.789	5324490.73
10/15/2003	0:00	616788.549	5324457.85
10/15/2003	3:00	616798.581	5324463.37
10/15/2003	18:00	616806.543	5324526.25
10/15/2003	21:00	616827.129	5324527.64
10/16/2003	0:00	616852.228	5324554.16
10/16/2003	3:00	616846.619	5324550.33
10/16/2003	12:00	616772.874	5324540.76
10/16/2003	15:00	616786.989	5324604.54
10/16/2003	18:00	616757.569	5324566.62
10/16/2003	21:00	616752.509	5324554.50
10/17/2003	0:00	616756.855	5324536.47
10/17/2003	3:00	616758.258	5324534.91
10/17/2003	6:00	616691.115	5324490.16
10/17/2003	15:00	616662.353	5324552.97
10/17/2003	18:00	616690.372	5324505.83
10/17/2003	21:00	616692.302	5324511.00
10/18/2003	0:00	616718.229	5324496.77
10/18/2003	3:00	616703.587	5324503.57
10/18/2003	6:00	616704.849	5324490.65
10/18/2003	9:00	616667.324	5324478.47
10/18/2003	12:00	616674.164	5324449.96
10/18/2003	15:00	616754.476	5324548.64
10/18/2003	21:00	616842.531	5324502.18
10/19/2003	0:00	616817.968	5324533.24
10/19/2003	3:00	616834.078	5324558.65
10/19/2003	12:00	616747.774	5324568.15
10/19/2003	15:00	616662.716	5324537.28
10/19/2003	18:00	616639.099	5324568.42
10/19/2003	21:00	616633.862	5324564.96
10/20/2003	15:00	616738.973	5324525.63
10/20/2003	18:00	616719.515	5324538.36
10/20/2003	21:00	616727.909	5324547.43
10/21/2003	0:00	616706.230	5324546.27
10/21/2003	3:00	616721.878	5324548.25
10/21/2003	12:00	616679.571	5324475.49
10/21/2003	15:00	616660.145	5324440.08
10/21/2003	21:00	616743.550	5324556.72
10/22/2003	0:00	616824.346	5324580.58
10/22/2003	3:00	616824.669	5324578.60
10/22/2003	12:00	616995.857	5324646.11
10/22/2003	15:00	617016.283	5324618.06
10/23/2003	6:00	616936.818	5324577.94
10/23/2003	12:00	616830.491	5324546.31
10/23/2003	15:00	616702.236	5324504.80
10/23/2003	21:00	616728.210	5324423.36
10/24/2003	0:00	616756.233	5324403.98
10/24/2003	3:00	616757.059	5324396.37
10/24/2003	6:00	616754.966	5324398.86
10/24/2003	9:00	616748.578	5324430.76
10/24/2003	12:00	616716.509	5324518.71
10/24/2003	15:00	616666.686	5324547.31
10/24/2003	18:00	616590.897	5324517.21
10/24/2003	21:00	616582.894	5324510.21
10/25/2003	0:00	616610.411	5324499.13
