Date	Hour	X	Y
9/26/2003	12:00	590766.283	5131051.92
9/26/2003	15:00	590759.595	5131035.74
9/26/2003	18:00	590761.972	5131031.17
9/28/2003	12:00	590772.301	5131061.42
9/29/2003	0:00	590778.881	5131033.07
9/29/2003	6:00	590762.966	5131067.91
9/29/2003	12:00	590768.094	5131033.71
9/29/2003	18:00	591055.206	5131398.61
9/30/2003	0:00	590960.334	5131462.41
9/30/2003	12:00	591076.218	5131435.05
9/30/2003	15:00	591070.052	5131435.51
9/30/2003	18:00	590809.226	5131270.33
10/1/2003	0:00	590792.528	5131254.25
10/1/2003	6:00	590765.522	5131051.30
10/1/2003	12:00	590760.988	5131045.57
10/1/2003	15:00	590705.494	5131101.59
10/1/2003	18:00	590753.724	5131275.15
10/1/2003	21:00	590875.600	5131362.55
10/2/2003	3:00	590995.644	5131417.64
10/2/2003	12:00	590919.705	5131450.86
10/2/2003	15:00	590966.682	5131656.25
10/2/2003	18:00	591037.170	5131369.13
10/3/2003	0:00	590777.206	5131300.97
10/3/2003	12:00	590730.197	5131045.26
10/3/2003	15:00	590728.249	5131124.49
10/3/2003	21:00	590875.528	5131367.39
10/4/2003	0:00	590873.941	5131370.58
10/4/2003	3:00	590896.855	5131382.75
10/4/2003	6:00	590893.615	5131393.53
10/4/2003	9:00	590668.929	5131282.62
10/4/2003	12:00	590671.103	5131291.76
10/5/2003	9:00	591073.945	5131432.57
10/5/2003	12:00	591076.751	5131450.93
10/5/2003	15:00	591071.687	5131429.16
10/5/2003	18:00	590808.041	5131298.22
10/5/2003	21:00	590849.516	5131253.05
10/6/2003	6:00	590592.965	5131213.83
10/6/2003	12:00	590591.366	5131217.78
10/6/2003	15:00	590635.474	5131254.45
10/6/2003	18:00	590763.857	5131318.52
10/7/2003	0:00	590873.221	5131367.20
10/7/2003	9:00	591059.223	5131387.39
10/7/2003	12:00	591057.695	5131386.62
10/7/2003	15:00	590968.461	5131382.04
10/7/2003	21:00	591084.904	5131368.86
10/8/2003	0:00	591084.174	5131314.64
10/8/2003	3:00	591111.907	5131364.99
10/8/2003	9:00	591252.783	5131262.42
10/8/2003	12:00	591225.683	5131272.80
10/9/2003	0:00	591222.543	5131276.82
10/9/2003	6:00	591231.379	5131252.25
10/9/2003	9:00	591248.753	5131120.07
10/9/2003	12:00	591173.121	5131080.82
10/10/2003	0:00	591029.423	5131114.29
10/10/2003	3:00	591247.508	5131254.82
10/10/2003	9:00	591239.875	5131250.43
10/10/2003	12:00	591086.175	5131232.17
10/10/2003	18:00	591261.255	5131262.19
10/10/2003	21:00	591247.407	5131261.56
10/11/2003	0:00	591211.246	5131260.03
