Date	Hour	X	Y
8/6/2005	0:00	601391.458	5180217.17
8/6/2005	3:00	601389.635	5180201.65
8/6/2005	9:00	601515.062	5177854.67
8/6/2005	18:00	600543.232	5176333.81
8/6/2005	21:00	600468.895	5176193.45
8/7/2005	0:00	600481.756	5176197.61
8/7/2005	3:00	600395.543	5176236.61
8/7/2005	6:00	600296.188	5176275.47
8/7/2005	9:00	600658.879	5176977.30
8/7/2005	18:00	600416.960	5177002.22
8/7/2005	21:00	600005.509	5177038.67
8/8/2005	0:00	600148.669	5176992.64
8/8/2005	3:00	600153.269	5176980.65
8/8/2005	6:00	599807.067	5177420.92
8/8/2005	15:00	599792.607	5177486.04
8/8/2005	18:00	600079.814	5176596.73
8/8/2005	21:00	600275.800	5176392.81
8/9/2005	0:00	600252.697	5176340.56
8/9/2005	3:00	600258.795	5176348.43
8/9/2005	6:00	599973.871	5176334.51
8/9/2005	9:00	599874.236	5176303.56
8/9/2005	12:00	600118.801	5176383.28
8/9/2005	15:00	599971.202	5176442.20
8/9/2005	18:00	600140.370	5176254.54
8/9/2005	21:00	600457.319	5175515.42
8/10/2005	0:00	600461.076	5175517.88
8/10/2005	3:00	600402.455	5175439.49
8/10/2005	6:00	600749.894	5175090.14
8/10/2005	15:00	600416.741	5174573.58
8/10/2005	18:00	600586.817	5174847.71
8/11/2005	0:00	600554.860	5174769.74
8/11/2005	3:00	600553.699	5174775.21
8/11/2005	6:00	600603.797	5174734.60
8/11/2005	9:00	600660.694	5174627.50
8/11/2005	18:00	601567.329	5174101.99
8/11/2005	21:00	601864.774	5173463.86
8/12/2005	0:00	602070.449	5173264.38
8/12/2005	3:00	601626.129	5173898.95
8/12/2005	6:00	601320.473	5174295.01
8/12/2005	15:00	600827.733	5175179.84
8/12/2005	18:00	601440.532	5174310.07
8/13/2005	0:00	602056.337	5174566.69
8/13/2005	3:00	602110.824	5174668.66
8/13/2005	6:00	602210.076	5174881.22
8/13/2005	9:00	602193.596	5174876.24
8/13/2005	12:00	602933.174	5175141.78
8/13/2005	15:00	602389.173	5174041.87
8/13/2005	18:00	602381.317	5173827.72
8/13/2005	21:00	602459.039	5173776.10
8/14/2005	0:00	602486.308	5173858.90
8/14/2005	3:00	602445.031	5173800.89
8/14/2005	6:00	602530.149	5173965.13
8/14/2005	9:00	602537.995	5173973.12
8/14/2005	12:00	602488.612	5174158.27
8/14/2005	15:00	602455.172	5174102.64
8/14/2005	18:00	602326.877	5173834.33
8/14/2005	21:00	602492.793	5173602.31
8/15/2005	0:00	602480.440	5173598.61
8/15/2005	3:00	602483.732	5173571.87
8/15/2005	6:00	602638.935	5173716.09
8/15/2005	9:00	602509.505	5174024.52
8/15/2005	12:00	602540.346	5173969.75
8/15/2005	15:00	602452.240	5173822.96
8/15/2005	18:00	602436.805	5173222.95
8/15/2005	21:00	601637.585	5173901.02
8/16/2005	0:00	601620.571	5173927.01
8/16/2005	3:00	601632.235	5173900.93
8/16/2005	6:00	601550.218	5173983.81
8/16/2005	9:00	601211.026	5174398.96
8/16/2005	12:00	601168.887	5174415.02
8/16/2005	21:00	601289.576	5174334.81
8/17/2005	0:00	601285.596	5174341.93
8/17/2005	3:00	601284.609	5174338.35
8/17/2005	12:00	601148.293	5174392.27
8/17/2005	15:00	601184.918	5174402.75
8/17/2005	18:00	601287.883	5174338.69
8/17/2005	21:00	601285.030	5174333.74
8/18/2005	0:00	601310.267	5174317.31
8/18/2005	3:00	601287.068	5174336.24
8/18/2005	9:00	600521.657	5175154.50
8/18/2005	15:00	600572.415	5175564.45
8/18/2005	18:00	600141.862	5175803.97
8/18/2005	21:00	600169.272	5176752.98
8/19/2005	3:00	600090.221	5176606.41
8/19/2005	6:00	599510.607	5176879.34
8/19/2005	18:00	600268.261	5175932.67
8/19/2005	21:00	600229.957	5175717.89
8/20/2005	3:00	600228.370	5175726.45
8/20/2005	6:00	600265.534	5175966.07
8/20/2005	9:00	599711.714	5176495.67
8/20/2005	12:00	599429.026	5177056.99
8/20/2005	15:00	599072.310	5177045.78
8/20/2005	18:00	599052.560	5177233.11
8/21/2005	0:00	599221.656	5177145.82
8/21/2005	3:00	599392.907	5177049.54
8/21/2005	6:00	599392.462	5177047.78
8/21/2005	9:00	599300.704	5177381.66
8/21/2005	12:00	599379.985	5177012.60
8/21/2005	18:00	599489.127	5176896.43
8/21/2005	21:00	599495.145	5176936.37
8/22/2005	0:00	599495.226	5176943.98
8/22/2005	3:00	599517.636	5176984.70
8/22/2005	6:00	600036.290	5176084.09
8/22/2005	9:00	600074.921	5176022.58
8/22/2005	12:00	600027.261	5176228.17
8/22/2005	15:00	599934.048	5176292.67
8/22/2005	18:00	600013.371	5176345.15
8/23/2005	0:00	600311.274	5176725.04
8/23/2005	3:00	600390.491	5177134.05
8/23/2005	6:00	600523.113	5177194.64
8/23/2005	9:00	600762.030	5177275.92
8/23/2005	12:00	600738.343	5177037.82
8/23/2005	15:00	600690.581	5177038.55
8/23/2005	18:00	600769.063	5177161.73
8/23/2005	21:00	600830.557	5177166.84
8/24/2005	0:00	600825.957	5177171.40
8/24/2005	3:00	600831.224	5177173.53
8/24/2005	6:00	600541.944	5177246.11
8/24/2005	9:00	600217.765	5177172.56
8/24/2005	15:00	600126.213	5176041.66
8/24/2005	18:00	600201.816	5175710.54
8/25/2005	0:00	600190.217	5175773.72
8/25/2005	3:00	600271.900	5175692.74
8/25/2005	6:00	600325.004	5175667.00
8/25/2005	9:00	600338.432	5175634.47
8/25/2005	18:00	600253.182	5175713.42
8/25/2005	21:00	600329.509	5175627.38
8/26/2005	0:00	600326.389	5175632.97
8/26/2005	3:00	600342.680	5175602.50
8/26/2005	6:00	600253.438	5175616.83
8/26/2005	9:00	600235.761	5175654.41
8/26/2005	12:00	599854.357	5177171.34
8/26/2005	18:00	601055.525	5177257.74
8/26/2005	21:00	601003.017	5177159.92
8/27/2005	0:00	601047.986	5177228.49
8/27/2005	3:00	601224.912	5177208.17
8/27/2005	6:00	601305.457	5177269.32
8/27/2005	12:00	601365.125	5177712.67
8/27/2005	15:00	601420.624	5178258.04
8/27/2005	18:00	601214.763	5177971.76
8/27/2005	21:00	601163.401	5178025.23
8/28/2005	0:00	601117.973	5178005.78
8/28/2005	3:00	600966.059	5178004.89
8/28/2005	6:00	600839.257	5177895.60
8/28/2005	9:00	600917.452	5177844.25
8/28/2005	12:00	600940.737	5177779.31
8/28/2005	15:00	600759.332	5177443.85
8/28/2005	18:00	600931.165	5177114.58
8/28/2005	21:00	601019.768	5176975.58
8/29/2005	0:00	601019.763	5176979.03
8/29/2005	3:00	601020.012	5176976.03
8/29/2005	6:00	600982.498	5176975.31
8/29/2005	12:00	601145.348	5176971.28
8/29/2005	15:00	601296.549	5177026.51
8/29/2005	18:00	601312.473	5177039.67
8/30/2005	6:00	601106.925	5176952.33
8/30/2005	9:00	601197.793	5177088.78
8/30/2005	15:00	601195.512	5177167.58
8/30/2005	18:00	601207.075	5177265.50
8/30/2005	21:00	601218.451	5177278.80
8/31/2005	0:00	601213.652	5177280.16
8/31/2005	3:00	601216.027	5177278.86
8/31/2005	6:00	601276.480	5177355.24
8/31/2005	9:00	601183.871	5177457.99
8/31/2005	12:00	601288.586	5177413.56
8/31/2005	15:00	601451.985	5177794.37
8/31/2005	18:00	601520.938	5177761.41
8/31/2005	21:00	601410.565	5177806.29
9/1/2005	0:00	601443.875	5177768.32
9/1/2005	3:00	601398.293	5177751.57
9/1/2005	6:00	601129.125	5177438.46
9/1/2005	9:00	601356.342	5177585.97
9/1/2005	12:00	601331.027	5177612.38
9/1/2005	15:00	601318.472	5177936.70
9/1/2005	18:00	601273.687	5177357.73
9/1/2005	21:00	601295.656	5177222.45
9/2/2005	0:00	601264.040	5177237.26
9/2/2005	3:00	601307.601	5177198.75
9/2/2005	6:00	601038.232	5177400.19
9/2/2005	9:00	600571.350	5177397.58
9/2/2005	12:00	600466.721	5177428.90
9/2/2005	18:00	600086.616	5177448.44
9/2/2005	21:00	599866.912	5177871.58
9/3/2005	0:00	599865.340	5177853.07
9/3/2005	6:00	599943.927	5177988.15
9/3/2005	9:00	599840.530	5177777.26
9/3/2005	12:00	599879.614	5177534.17
9/3/2005	15:00	599823.060	5177359.62
9/3/2005	18:00	599955.874	5176573.67
9/3/2005	21:00	599707.531	5176669.65
9/4/2005	0:00	599646.794	5176751.85
9/4/2005	3:00	599484.559	5176877.89
9/4/2005	6:00	599389.445	5176992.71
9/4/2005	15:00	599387.657	5176869.23
9/4/2005	18:00	599617.989	5176860.08
9/4/2005	21:00	599618.706	5176860.59
9/5/2005	0:00	599428.057	5176989.84
9/5/2005	6:00	599545.084	5176816.14
9/5/2005	9:00	599433.637	5176847.39
9/5/2005	15:00	599413.846	5176796.49
9/5/2005	18:00	599441.520	5177145.64
9/5/2005	21:00	599105.302	5177065.41
9/6/2005	0:00	599068.014	5177166.54
9/6/2005	3:00	599125.162	5177204.44
9/6/2005	6:00	599068.732	5177288.52
9/6/2005	9:00	599109.311	5177158.75
9/6/2005	12:00	599114.739	5177263.40
9/6/2005	15:00	599160.185	5177103.15
9/6/2005	18:00	599115.640	5177222.60
9/6/2005	21:00	598941.801	5177284.93
9/7/2005	0:00	598956.996	5177292.07
9/7/2005	3:00	598940.580	5177280.22
9/7/2005	6:00	598929.400	5177160.45
9/7/2005	9:00	598912.049	5177145.04
9/7/2005	15:00	599083.092	5177019.82
9/7/2005	18:00	599288.983	5177106.75
9/7/2005	21:00	599426.345	5177064.75
9/8/2005	0:00	599405.337	5177040.40
9/8/2005	3:00	599417.816	5177058.84
9/8/2005	6:00	599475.058	5177045.75
9/8/2005	9:00	599383.001	5177064.56
9/8/2005	18:00	599419.903	5176974.63
9/8/2005	21:00	599648.310	5176976.27
9/9/2005	0:00	599600.125	5176916.72
9/9/2005	3:00	599617.235	5176828.51
9/9/2005	6:00	599534.257	5176947.66
9/9/2005	9:00	599379.865	5177029.09
9/9/2005	15:00	599351.363	5176978.28
9/9/2005	18:00	599343.597	5176936.35
9/10/2005	6:00	599364.345	5176966.27
9/10/2005	9:00	599321.635	5176933.61
9/10/2005	18:00	599610.102	5176751.68
9/11/2005	0:00	599605.393	5176756.88
9/11/2005	3:00	599387.164	5176807.98
9/11/2005	6:00	599540.877	5176783.11
9/11/2005	9:00	599549.939	5176758.73
9/11/2005	12:00	599504.479	5176695.46
9/11/2005	15:00	599552.216	5176755.49
9/11/2005	18:00	599436.890	5176751.81
9/11/2005	21:00	599528.134	5176815.76
9/12/2005	0:00	599510.969	5176773.87
9/12/2005	3:00	599585.787	5177061.35
9/12/2005	6:00	599614.563	5176838.98
9/12/2005	9:00	599831.690	5177155.00
9/12/2005	12:00	601076.711	5177828.43
9/12/2005	15:00	601070.151	5177934.16
9/12/2005	18:00	601062.202	5177906.63
9/12/2005	21:00	601153.165	5177994.73
9/13/2005	0:00	601150.071	5177991.55
9/13/2005	3:00	601162.145	5178029.98
9/13/2005	6:00	601093.916	5178096.57
9/13/2005	9:00	601092.791	5178043.95
9/13/2005	12:00	601421.285	5177895.46
9/13/2005	15:00	601583.251	5177422.26
9/13/2005	18:00	601442.957	5177311.36
9/14/2005	0:00	601437.296	5177298.17
9/14/2005	3:00	601441.650	5177311.43
9/14/2005	6:00	601267.435	5177336.51
9/14/2005	9:00	601227.238	5177396.79
9/14/2005	12:00	601231.452	5177456.03
9/14/2005	15:00	601249.826	5177492.46
9/14/2005	18:00	601140.898	5177528.03
9/14/2005	21:00	601141.959	5177517.64
9/15/2005	0:00	601134.838	5177495.85
9/15/2005	3:00	601134.838	5177495.85
9/15/2005	6:00	601117.079	5177452.81
9/15/2005	9:00	601329.280	5177545.14
9/15/2005	12:00	599873.790	5176630.99
9/15/2005	15:00	599508.405	5176745.92
9/15/2005	18:00	599114.286	5177074.31
9/16/2005	0:00	599135.771	5177112.02
9/16/2005	3:00	599061.520	5176986.92
9/16/2005	9:00	598313.429	5176447.41
9/16/2005	15:00	598358.652	5176481.09
9/16/2005	18:00	598448.277	5176606.56
9/16/2005	21:00	598402.777	5176604.83
9/17/2005	0:00	598434.656	5176570.83
9/17/2005	3:00	598398.458	5176601.60
9/17/2005	6:00	598547.533	5176606.66
9/17/2005	9:00	599065.449	5176979.42
9/17/2005	12:00	599162.678	5177048.76
9/17/2005	15:00	599334.715	5177017.00
9/17/2005	18:00	599330.140	5176971.56
9/17/2005	21:00	599418.984	5177063.54
9/18/2005	0:00	599416.561	5177056.18
9/18/2005	3:00	599417.166	5177058.88
9/18/2005	6:00	599458.404	5177022.91
9/18/2005	9:00	599609.352	5177062.30
9/18/2005	12:00	599319.122	5176888.65
9/18/2005	15:00	599396.746	5177042.90
9/18/2005	18:00	599661.019	5176712.83
9/19/2005	3:00	599673.919	5176868.21
9/19/2005	6:00	599774.842	5176763.88
9/19/2005	9:00	599922.711	5176342.55
9/19/2005	12:00	600337.295	5175265.36
9/19/2005	15:00	600581.150	5175125.93
9/19/2005	18:00	600514.142	5174943.61
9/20/2005	0:00	600527.618	5174755.92
9/20/2005	3:00	600550.351	5174759.19
9/20/2005	6:00	600499.334	5174755.56
9/20/2005	9:00	600646.973	5174550.20
9/20/2005	12:00	600753.922	5174495.15
9/20/2005	15:00	600756.720	5174470.94
9/20/2005	18:00	601329.316	5174310.56
9/20/2005	21:00	601288.028	5174341.87
9/21/2005	0:00	601298.982	5174303.73
9/21/2005	3:00	601284.172	5174337.47
9/21/2005	6:00	601284.473	5174339.16
9/21/2005	9:00	601203.099	5174355.77
9/21/2005	12:00	601183.852	5174370.17
9/21/2005	15:00	601267.947	5174280.85
9/21/2005	18:00	601936.836	5174377.29
9/21/2005	21:00	602062.545	5174472.89
9/22/2005	0:00	601996.504	5174405.67
9/22/2005	3:00	601903.184	5174277.50
9/22/2005	6:00	601740.572	5173958.13
9/22/2005	9:00	601532.682	5174067.56
9/22/2005	15:00	601558.091	5174103.54
9/22/2005	18:00	601604.410	5174204.17
9/22/2005	21:00	601651.531	5174373.63
9/23/2005	0:00	601670.904	5174345.50
9/23/2005	3:00	601716.796	5174075.77
9/23/2005	6:00	601739.739	5173953.61
9/23/2005	9:00	601612.364	5173893.27
9/23/2005	15:00	601612.439	5173835.85
9/23/2005	18:00	601597.796	5173698.26
9/23/2005	21:00	601636.562	5173829.83
9/24/2005	0:00	601639.891	5173834.16
9/24/2005	3:00	601641.474	5173833.70
9/24/2005	6:00	601652.198	5173805.28
9/24/2005	9:00	601638.345	5173836.55
9/24/2005	15:00	601617.508	5173885.21
9/24/2005	18:00	601413.232	5173570.31
9/25/2005	6:00	601459.992	5173584.87
9/25/2005	9:00	600987.500	5173522.01
9/25/2005	15:00	600975.336	5173555.28
9/25/2005	18:00	600899.956	5173684.45
9/25/2005	21:00	600880.927	5173694.49
9/26/2005	3:00	600924.730	5173735.42
9/26/2005	6:00	600913.150	5173815.51
9/26/2005	9:00	600875.655	5173849.43
9/26/2005	12:00	600913.243	5173839.16
9/26/2005	15:00	600903.726	5173838.63
9/26/2005	18:00	600707.272	5173894.47
9/26/2005	21:00	600563.907	5174543.51
9/27/2005	12:00	600749.486	5174540.52
9/27/2005	18:00	600678.640	5174510.68
9/27/2005	21:00	600642.614	5174547.56
9/28/2005	0:00	600625.335	5174534.47
9/28/2005	3:00	600614.758	5174535.70
9/28/2005	12:00	600658.035	5174565.70
9/28/2005	18:00	600880.137	5174404.99
9/28/2005	21:00	600872.781	5174417.40
9/29/2005	15:00	600848.793	5174488.57
9/30/2005	3:00	600866.780	5174456.66
9/30/2005	18:00	600837.114	5174456.52
9/30/2005	21:00	600854.624	5174454.91
10/1/2005	0:00	600896.587	5174463.43
10/1/2005	9:00	601280.779	5174347.42
10/1/2005	12:00	601288.708	5174332.35
10/1/2005	15:00	601286.355	5174343.14
10/1/2005	18:00	601343.387	5174299.40
10/2/2005	0:00	601294.331	5174336.18
10/2/2005	3:00	601297.151	5174318.03
10/2/2005	6:00	601284.846	5174336.06
10/2/2005	9:00	601307.330	5174309.19
10/2/2005	12:00	601312.402	5174341.25
10/2/2005	18:00	601560.792	5174161.36
10/2/2005	21:00	601559.313	5174164.31
10/3/2005	0:00	601564.022	5174168.42
10/3/2005	3:00	601563.212	5174173.39
10/3/2005	6:00	601547.088	5174133.56
10/3/2005	9:00	601626.184	5173912.02
10/3/2005	12:00	601624.538	5173908.49
10/3/2005	15:00	601622.964	5173804.25
10/3/2005	18:00	601638.917	5173746.91
10/3/2005	21:00	601640.262	5173835.72
10/4/2005	0:00	601634.591	5173830.65
10/4/2005	3:00	601639.893	5173838.14
10/4/2005	6:00	601604.307	5173775.86
10/4/2005	9:00	601625.305	5173866.27
10/4/2005	12:00	601606.011	5173909.11
10/4/2005	15:00	601553.293	5173948.82
10/4/2005	18:00	601601.029	5174060.25
10/4/2005	21:00	601637.355	5174036.47
10/5/2005	0:00	601655.214	5174026.94
10/5/2005	3:00	601659.549	5174023.30
10/5/2005	6:00	601623.857	5174038.09
10/5/2005	9:00	601516.926	5174100.62
10/5/2005	12:00	601565.479	5174103.37
10/5/2005	18:00	601651.891	5174367.23
