Date	Hour	X	Y
10/27/2004	15:00	598577.882	5330732.25
10/27/2004	18:00	598606.221	5330942.01
10/27/2004	21:00	598667.650	5330939.46
10/28/2004	0:00	598749.323	5330901.20
10/28/2004	3:00	598745.772	5330942.68
10/28/2004	12:00	598745.164	5330936.93
10/28/2004	15:00	598745.822	5330933.31
10/28/2004	18:00	598751.120	5330926.06
10/28/2004	21:00	598744.235	5330933.85
10/29/2004	0:00	598744.935	5330928.21
10/29/2004	3:00	598741.228	5330947.64
10/29/2004	6:00	598745.623	5330939.67
10/29/2004	9:00	598737.896	5331011.90
10/29/2004	12:00	598776.240	5331003.00
10/29/2004	15:00	598678.982	5331039.97
10/29/2004	18:00	598593.025	5330991.70
10/30/2004	0:00	598772.668	5330883.79
10/30/2004	3:00	598768.353	5330895.76
10/30/2004	6:00	598764.746	5330902.51
10/30/2004	9:00	598606.014	5330939.31
10/30/2004	15:00	598245.803	5331191.85
10/31/2004	0:00	598250.912	5331169.56
10/31/2004	6:00	598238.825	5331166.51
10/31/2004	9:00	598222.055	5331148.71
10/31/2004	12:00	598220.087	5331218.81
10/31/2004	15:00	598107.678	5331235.18
10/31/2004	18:00	598131.701	5331228.83
11/1/2004	0:00	598098.907	5331225.39
11/1/2004	6:00	598092.736	5331246.31
11/1/2004	12:00	597661.679	5331511.37
11/1/2004	15:00	597575.199	5331600.40
11/1/2004	18:00	597594.680	5331611.09
11/1/2004	21:00	597588.799	5331621.63
11/2/2004	0:00	597588.217	5331596.83
11/2/2004	3:00	597564.880	5331620.27
11/2/2004	6:00	597552.073	5331625.88
11/2/2004	12:00	597553.795	5331604.34
11/2/2004	15:00	597581.764	5331564.56
11/3/2004	0:00	597622.412	5331487.36
11/3/2004	12:00	597573.292	5331562.50
11/3/2004	15:00	597524.029	5331605.85
11/5/2004	6:00	596989.483	5332995.64
11/5/2004	9:00	596993.876	5332995.02
11/5/2004	12:00	596941.866	5333042.49
11/5/2004	18:00	596962.071	5333111.24
