Date	Hour	X	Y
4/11/2006	2:00	272872.9834	4584505.16
4/11/2006	4:30	273169.9014	4583882.251
4/11/2006	7:00	273263.7182	4583894.651
4/11/2006	9:30	273272.8296	4584164.324
4/11/2006	12:00	273329.4874	4586123.615
4/11/2006	14:30	274410.9938	4588589.016
4/11/2006	17:00	274676.6844	4588505.16
4/11/2006	19:30	274543.499	4588376.498
4/11/2006	22:00	274071.8593	4588065.02
4/12/2006	0:30	273829.7302	4587928.771
4/12/2006	3:00	273784.5652	4587996.2
4/12/2006	5:30	273905.904	4587771.905
4/12/2006	8:00	273879.8155	4587785.835
4/12/2006	10:30	273874.0092	4587819.581
4/12/2006	13:00	273907.5929	4587986.575
4/12/2006	15:30	274626.522	4588420.367
4/12/2006	18:00	278108.4435	4590753.919
4/12/2006	20:30	278323.5001	4590962.368
4/12/2006	23:00	278580.6163	4591089.182
4/13/2006	1:30	279081.9557	4591592.173
4/13/2006	4:00	279418.2498	4591506.216
4/13/2006	6:30	279377.1832	4591623.717
4/13/2006	9:00	279326.3945	4591562.477
4/13/2006	11:30	280421.4307	4592649.679
4/13/2006	14:00	282307.7475	4593375.618
4/13/2006	16:30	284801.1409	4594289.049
4/13/2006	19:00	284793.3612	4594288.836
4/13/2006	21:30	284805.9039	4594314.245
4/14/2006	0:00	284818.0975	4594333.551
4/14/2006	2:30	286173.6776	4594371.396
4/14/2006	5:00	286432.1197	4594476.207
4/14/2006	7:30	286883.2606	4594583.003
4/14/2006	10:00	286966.0121	4594620.122
4/14/2006	12:30	287052.4617	4594689.137
4/14/2006	15:00	287486.2377	4594720.804
4/14/2006	17:30	287550.6166	4594625.118
4/14/2006	20:00	287609.2179	4594662.51
4/14/2006	22:30	287283.8171	4594700.985
4/15/2006	1:00	287575.4845	4594527.261
4/15/2006	3:30	287733.8567	4594569.609
4/15/2006	6:00	287765.682	4594446.767
4/15/2006	8:30	287854.815	4594581.722
4/15/2006	11:00	287937.4121	4594815.772
4/15/2006	13:30	288207.5118	4595057.431
4/15/2006	16:00	287996.0227	4595032.858
4/15/2006	18:30	288112.4936	4594883.863
4/15/2006	21:00	287274.0426	4594757.837
4/15/2006	23:30	287131.2501	4594781.827
4/16/2006	2:00	287559.3451	4594654.754
4/16/2006	4:30	287661.4286	4594565.072
4/16/2006	7:00	287826.6461	4594564.547
4/16/2006	9:30	288040.9492	4594821.065
4/16/2006	12:00	288046.3085	4594804.35
4/16/2006	14:30	287960.684	4595050.343
4/16/2006	17:00	288115.7549	4594969.334
4/16/2006	19:30	288103.3266	4594955.919
4/16/2006	22:00	288166.4213	4594947.289
4/17/2006	0:30	288182.7663	4594934.696
4/17/2006	3:00	287197.046	4594754.216
4/17/2006	5:30	287188.1915	4594743.031
4/17/2006	8:00	287232.9924	4594714.818
4/17/2006	10:30	287703.0839	4594515.062
4/17/2006	13:00	287663.6232	4594770.369
4/17/2006	15:30	287968.5251	4595047.001
4/17/2006	18:00	287933.0472	4595096.717
4/17/2006	20:30	287941.6034	4594978.338
4/17/2006	23:00	288187.2345	4594990.128
4/18/2006	1:30	289689.42	4595276.574
4/18/2006	4:00	290613.8962	4594832.201
4/18/2006	6:30	290618.9059	4594788.829
4/18/2006	9:00	290607.7459	4594830.49
4/18/2006	11:30	290607.5021	4594833.609
4/18/2006	14:00	290634.6359	4594901.83
4/18/2006	16:30	290635.7911	4594889.795
4/18/2006	19:00	290534.9076	4594903.723
4/18/2006	21:30	290423.1225	4594755.173
4/19/2006	0:00	290442.0368	4594764.736
4/19/2006	2:30	290718.1056	4595100.098
4/19/2006	5:00	290693.4192	4595185.379
4/19/2006	7:30	290716.7645	4595160.477
4/19/2006	10:00	290695.5049	4595162.205
4/19/2006	12:30	290651.2379	4595194.715
4/19/2006	15:00	290618.7166	4594906.181
4/19/2006	17:30	290642.89	4594745.572
4/19/2006	20:00	290598.8247	4594836.972
4/19/2006	22:30	290629.4075	4594862.755
4/20/2006	1:00	290683.0641	4595001.214
4/20/2006	3:30	290676.2922	4594975.185
4/20/2006	6:00	290685.503	4595102.599
4/20/2006	8:30	290749.9839	4595118.732
4/20/2006	11:00	290715.6378	4595124.506
4/20/2006	13:30	292392.803	4595585.561
4/20/2006	16:00	295073.9415	4596314.207
4/20/2006	18:30	295005.7948	4596232.915
4/20/2006	21:00	295736.6101	4596832.008
4/20/2006	23:30	296634.9508	4598058.817
4/21/2006	2:00	297528.9661	4599008.381
4/21/2006	4:30	297455.527	4598891.437
4/21/2006	7:00	297463.0696	4598919.116
4/21/2006	9:30	297446.9932	4598902.789
4/21/2006	12:00	298780.2606	4600126.621
4/21/2006	14:30	305511.8159	4602437.663
4/21/2006	17:00	306625.0867	4601880.796
4/21/2006	19:30	306511.5924	4602282.617
4/21/2006	22:00	306713.4518	4602249.641
