x	y	d2et	slope	elevm
604099.891	5152249.420	0	33	1479
604124.891	5152249.420	0	36	1476
604149.891	5152249.420	0	37	1474
604174.891	5152249.420	0	36	1479
604199.891	5152249.420	0	35	1483
604224.891	5152249.420	0	35	1481
604249.891	5152249.420	0	35	1478
604274.891	5152249.420	0	36	1472
604299.891	5152249.420	0	40	1462
604324.891	5152249.420	0	41	1444
604349.891	5152249.420	0	38	1428
604374.891	5152249.420	0	38	1424
604399.891	5152249.420	10	36	1422
604424.891	5152249.420	14	34	1417
604449.891	5152249.420	0	32	1409
604474.891	5152249.420	14	30	1399
604499.891	5152249.420	22	28	1389
604524.891	5152249.420	42	28	1380
604549.891	5152249.420	58	31	1367
604574.891	5152249.420	40	31	1353
604599.891	5152249.420	20	32	1340
604624.891	5152249.420	10	33	1323
604649.891	5152249.420	10	34	1311
604674.891	5152249.420	0	36	1302
604699.891	5152249.420	10	35	1296
604724.891	5152249.420	10	34	1290
604749.891	5152249.420	0	35	1280
604774.891	5152249.420	0	35	1267
604799.891	5152249.420	14	32	1254
604824.891	5152249.420	28	29	1243
604849.891	5152249.420	45	28	1233
604874.891	5152249.420	73	27	1221
604899.891	5152249.420	92	24	1211
604924.891	5152249.420	82	26	1202
604949.891	5152249.420	63	29	1191
604974.891	5152249.420	36	29	1179
604999.891	5152249.420	22	32	1167
605024.891	5152249.420	0	35	1152
605049.891	5152249.420	10	33	1137
605074.891	5152249.420	40	30	1124
605099.891	5152249.420	28	30	1113
605124.891	5152249.420	20	32	1099
605149.891	5152249.420	28	30	1086
605174.891	5152249.420	50	30	1074
605199.891	5152249.420	36	30	1061
605224.891	5152249.420	10	32	1050
605249.891	5152249.420	0	34	1034
605274.891	5152249.420	30	33	1019
605299.891	5152249.420	20	33	1006
605324.891	5152249.420	10	31	991
605349.891	5152249.420	22	24	979
605374.891	5152249.420	51	18	972
605399.891	5152249.420	71	17	968
605424.891	5152249.420	100	16	965
605449.891	5152249.420	120	16	961
605474.891	5152249.420	150	16	957
605499.891	5152249.420	158	16	953
605524.891	5152249.420	143	17	948
605549.891	5152249.420	136	17	944
605574.891	5152249.420	120	16	939
605599.891	5152249.420	106	16	935
