x	y	Time	d2et	slope	elevm	ExtentFile
606170.927	5151096.52	0	10	32	1233	003SCF_master_avail.txt
606961.596	5150606.58	5	0	52	1688	003SCF_master_avail.txt
606914.481	5150579.92	10	10	46	1714	003SCF_master_avail.txt
606758.094	5150089.7	15	0	63	1701	003SCF_master_avail.txt
606830.85	5150316.85	20	0	59	1723	003SCF_master_avail.txt
606764.315	5150259.55	25	0	55	1764	003SCF_master_avail.txt
607201.726	5151350.28	30	0	40	1141	003SCF_master_avail.txt
607160.636	5151460.75	50	0	40	1149	003SCF_master_avail.txt
607250.6	5151363.9	75	10	35	1095	003SCF_master_avail.txt
607325.442	5151254.44	80	0	35	1093	003SCF_master_avail.txt
607260.915	5151518.27	85	0	39	1053	003SCF_master_avail.txt
607015.08	5151229.14	95	0	45	1338	003SCF_master_avail.txt
606945.932	5150929.02	100	0	49	1453	003SCF_master_avail.txt
606933.601	5150975.47	105	0	58	1483	003SCF_master_avail.txt
606895.789	5150987.14	110	0	62	1539	003SCF_master_avail.txt
606966.865	5150525.46	120	0	48	1619	003SCF_master_avail.txt
606560.333	5149462.36	130	0	49	1722	003SCF_master_avail.txt
606595.391	5149433.14	135	0	42	1658	003SCF_master_avail.txt
606622.044	5149489.07	140	0	41	1651	003SCF_master_avail.txt
606647.674	5149384.78	145	0	39	1611	003SCF_master_avail.txt
606586.54	5149500	155	0	50	1701	003SCF_master_avail.txt
606592.64	5149502.34	160	0	46	1670	003SCF_master_avail.txt
606794.678	5149668.46	165	0	34	1622	003SCF_master_avail.txt
606771.523	5149675.64	170	10	35	1638	003SCF_master_avail.txt
606740.05	5149675.61	175	0	42	1655	003SCF_master_avail.txt
606732.879	5149690.55	180	0	51	1691	003SCF_master_avail.txt
606743.737	5149684.2	185	0	42	1655	003SCF_master_avail.txt
606766.376	5149662.75	190	10	35	1638	003SCF_master_avail.txt
606825.894	5150162.48	195	0	54	1622	003SCF_master_avail.txt
606770.384	5150176.39	205	0	62	1697	003SCF_master_avail.txt
606772.617	5150354.74	215	14	7	1783	003SCF_master_avail.txt
606356.458	5150582.25	230	22	33	1472	003SCF_master_avail.txt
606044.799	5149048.33	235	0	37	1720	003SCF_master_avail.txt
606167.57	5150367.68	240	10	35	1415	003SCF_master_avail.txt
606343.177	5150595.58	255	36	33	1469	003SCF_master_avail.txt
606275.238	5150530.72	260	0	36	1444	003SCF_master_avail.txt
606622.283	5150174.17	265	0	36	1747	003SCF_master_avail.txt
606940.739	5150570.7	270	0	54	1685	003SCF_master_avail.txt
606991.537	5150606.15	275	0	47	1621	003SCF_master_avail.txt
606989.933	5150610.04	280	0	47	1621	003SCF_master_avail.txt
607022.693	5151015.19	290	0	47	1364	003SCF_master_avail.txt
607407.092	5151020.8	295	0	44	1126	003SCF_master_avail.txt
607153.362	5151134.13	300	0	41	1225	003SCF_master_avail.txt
607361.338	5151134.24	315	0	42	1057	003SCF_master_avail.txt
607112.411	5151323.55	325	0	45	1223	003SCF_master_avail.txt
606882.81	5151288.05	335	0	48	1441	003SCF_master_avail.txt
607111.787	5151793.21	340	0	45	1123	003SCF_master_avail.txt
606966.125	5151524.48	350	0	44	1308	003SCF_master_avail.txt
606986.896	5151130.2	365	0	45	1384	003SCF_master_avail.txt
606989.113	5151134.98	370	0	44	1363	003SCF_master_avail.txt
607189.71	5151074.99	385	0	40	1186	003SCF_master_avail.txt
607168.072	5150996.59	395	0	42	1256	003SCF_master_avail.txt
606896.557	5150551.74	410	0	47	1725	003SCF_master_avail.txt
606713.627	5150130.33	420	0	58	1753	003SCF_master_avail.txt
606680.066	5149856.43	425	0	43	1796	003SCF_master_avail.txt
606543.677	5149580.28	435	0	54	1780	003SCF_master_avail.txt
606530.671	5149490.35	440	0	50	1758	003SCF_master_avail.txt
606571.232	5149541.14	445	0	53	1730	003SCF_master_avail.txt
606540.185	5149429.42	455	0	48	1709	003SCF_master_avail.txt
606688.121	5149660.29	465	0	53	1688	003SCF_master_avail.txt
606666.968	5149684.59	470	0	57	1744	003SCF_master_avail.txt
606620.848	5149644.48	475	0	52	1783	003SCF_master_avail.txt
606673.812	5149775.55	480	0	47	1792	003SCF_master_avail.txt
606733.177	5149891.75	490	0	53	1763	003SCF_master_avail.txt
606726.833	5149859.68	495	0	50	1742	003SCF_master_avail.txt
606709.17	5149991	500	0	51	1772	003SCF_master_avail.txt
606687.19	5149844.18	505	0	43	1796	003SCF_master_avail.txt
606618.252	5149617.44	510	0	54	1764	003SCF_master_avail.txt
606557.363	5149587.73	515	0	41	1811	003SCF_master_avail.txt
606591.638	5149603.04	520	0	54	1763	003SCF_master_avail.txt
606858.294	5150458.2	540	0	53	1729	003SCF_master_avail.txt
606823.252	5150443.19	545	0	32	1759	003SCF_master_avail.txt
606803.16	5150363.77	550	10	36	1774	003SCF_master_avail.txt
606678.743	5149669.78	565	0	57	1744	003SCF_master_avail.txt
606688.461	5149684.62	570	0	55	1710	003SCF_master_avail.txt
606603.443	5149630.18	575	0	51	1787	003SCF_master_avail.txt
606602.76	5149625.38	580	0	51	1787	003SCF_master_avail.txt
606616.947	5149604.33	585	0	54	1738	003SCF_master_avail.txt
606606.693	5149619.98	590	0	51	1787	003SCF_master_avail.txt
606575.965	5149577.58	595	0	55	1760	003SCF_master_avail.txt
606469.442	5149479.94	600	0	25	1802	003SCF_master_avail.txt
606544.277	5149546.12	605	0	53	1754	003SCF_master_avail.txt
606647.93	5149588.58	610	0	53	1711	003SCF_master_avail.txt
606669.93	5149647.12	615	0	57	1717	003SCF_master_avail.txt
606677.013	5149680.84	620	0	57	1744	003SCF_master_avail.txt
606692.357	5149724.96	625	0	54	1736	003SCF_master_avail.txt
606614.518	5149611.53	630	0	54	1738	003SCF_master_avail.txt
606566.599	5149586.36	635	0	55	1760	003SCF_master_avail.txt
606589.319	5149603.97	640	0	54	1763	003SCF_master_avail.txt
606562.632	5149593.68	645	0	52	1785	003SCF_master_avail.txt
606618.641	5149901.03	650	0	42	1775	003SCF_master_avail.txt
606726.192	5149896.1	655	0	53	1763	003SCF_master_avail.txt
606662.721	5149533.22	665	10	37	1638	003SCF_master_avail.txt
606571.814	5149507.98	670	0	50	1701	003SCF_master_avail.txt
606540.153	5149212.68	675	0	37	1630	003SCF_master_avail.txt
