x	y	time	d2et	slope	elevm	ExtentFile
595563.725	5129317.43	0	0	41	1508	004DDF_master_avail.txt
595617.834	5129157.15	3	0	51	1389	004DDF_master_avail.txt
595620.754	5129167.38	9	0	52	1398	004DDF_master_avail.txt
595610.801	5129163.64	12	0	49	1429	004DDF_master_avail.txt
595613.773	5129170.58	15	0	52	1398	004DDF_master_avail.txt
595615.937	5129179.88	21	0	52	1398	004DDF_master_avail.txt
595612.934	5129174.93	24	0	52	1398	004DDF_master_avail.txt
595627.582	5129173.96	27	0	52	1398	004DDF_master_avail.txt
595635.155	5129182.19	30	0	52	1398	004DDF_master_avail.txt
595624.567	5129169.79	33	0	52	1398	004DDF_master_avail.txt
595617.018	5129160.04	36	0	51	1389	004DDF_master_avail.txt
595596.802	5129172.29	39	0	49	1429	004DDF_master_avail.txt
594939.44	5128902.53	42	0	39	1739	004DDF_master_avail.txt
594901.305	5128977.56	45	0	35	1736	004DDF_master_avail.txt
594905.775	5128937.76	48	0	37	1743	004DDF_master_avail.txt
595212.696	5129258.42	51	0	33	1590	004DDF_master_avail.txt
595527.357	5129229.95	54	10	32	1504	004DDF_master_avail.txt
595624.58	5129168.96	60	0	52	1398	004DDF_master_avail.txt
595610.814	5129162.8	63	0	49	1429	004DDF_master_avail.txt
595454.765	5128996.31	66	0	37	1519	004DDF_master_avail.txt
594896.408	5128945.77	69	0	37	1743	004DDF_master_avail.txt
594890.874	5128756.71	72	14	21	1743	004DDF_master_avail.txt
595058.314	5128885.43	75	0	39	1617	004DDF_master_avail.txt
594482.063	5128347.88	78	0	37	1532	004DDF_master_avail.txt
594441.035	5128361.11	81	0	41	1528	004DDF_master_avail.txt
594514.973	5128261.91	84	0	51	1543	004DDF_master_avail.txt
594503.818	5128285.92	87	0	50	1533	004DDF_master_avail.txt
594643.891	5129585.23	90	0	27	1597	004DDF_master_avail.txt
594363.504	5130138.01	93	0	43	1561	004DDF_master_avail.txt
594355.459	5130259.9	96	0	41	1505	004DDF_master_avail.txt
594374.423	5130328.22	99	0	52	1464	004DDF_master_avail.txt
594572.969	5130136.72	102	10	36	1429	004DDF_master_avail.txt
594606.606	5130202.17	105	0	51	1347	004DDF_master_avail.txt
594612.223	5130187.53	108	0	51	1347	004DDF_master_avail.txt
594604.307	5130151.77	111	0	47	1405	004DDF_master_avail.txt
594726.402	5129726.94	114	0	51	1491	004DDF_master_avail.txt
594430.852	5129766.47	117	0	42	1598	004DDF_master_avail.txt
594424.299	5129742.07	120	0	40	1590	004DDF_master_avail.txt
594447.705	5129672.67	123	0	34	1572	004DDF_master_avail.txt
594185.425	5130051.43	129	0	44	1398	004DDF_master_avail.txt
594176.25	5130047.18	132	0	44	1398	004DDF_master_avail.txt
594192.432	5130046.47	135	0	42	1419	004DDF_master_avail.txt
594257.198	5130140.77	138	10	39	1491	004DDF_master_avail.txt
594506.255	5130118.81	144	0	47	1497	004DDF_master_avail.txt
594836.472	5130176.33	147	0	24	1221	004DDF_master_avail.txt
596197.927	5129928.51	150	50	28	1378	004DDF_master_avail.txt
596448.716	5130041.76	153	0	51	1386	004DDF_master_avail.txt
596441.778	5130042.27	156	0	51	1386	004DDF_master_avail.txt
596444.817	5130044.84	159	0	51	1386	004DDF_master_avail.txt
596301.978	5130020.22	171	28	19	1464	004DDF_master_avail.txt
596466.799	5129920.77	174	0	44	1408	004DDF_master_avail.txt
596541.617	5129961.72	180	0	52	1336	004DDF_master_avail.txt
596541.065	5129947.97	183	0	52	1336	004DDF_master_avail.txt
596598.875	5129798.44	186	0	52	1330	004DDF_master_avail.txt
596732.399	5129730.85	189	0	40	1254	004DDF_master_avail.txt
596723.104	5129734.24	192	0	40	1254	004DDF_master_avail.txt
596754.189	5129716.53	198	0	43	1232	004DDF_master_avail.txt
596759.672	5129710.71	201	0	43	1244	004DDF_master_avail.txt
596734.604	5129737.54	204	0	39	1250	004DDF_master_avail.txt
596727.744	5129733.07	207	0	40	1254	004DDF_master_avail.txt
596685.254	5129741.58	210	0	40	1278	004DDF_master_avail.txt
596722.978	5129742.21	213	0	39	1250	004DDF_master_avail.txt
596722.24	5129740.21	216	0	39	1250	004DDF_master_avail.txt
596773.962	5129732.24	219	0	45	1210	004DDF_master_avail.txt
596738.441	5129738.34	222	0	40	1228	004DDF_master_avail.txt
