x	y	d2et	slope	elevm
593614.999	5131962.454	36	19	904
593639.999	5131962.454	50	22	912
593664.999	5131962.454	60	23	921
593689.999	5131962.454	63	24	929
593714.999	5131962.454	78	26	937
593739.999	5131962.454	86	28	943
593764.999	5131962.454	64	28	951
593789.999	5131962.454	54	28	958
593814.999	5131962.454	40	29	967
593839.999	5131962.454	20	32	978
593864.999	5131962.454	0	35	989
593889.999	5131962.454	0	36	1002
593914.999	5131962.454	0	34	1012
593939.999	5131962.454	10	32	1021
593964.999	5131962.454	40	30	1032
593989.999	5131962.454	32	30	1041
594014.999	5131962.454	30	31	1049
594039.999	5131962.454	20	33	1059
594064.999	5131962.454	0	38	1068
594089.999	5131962.454	0	41	1079
594114.999	5131962.454	0	42	1085
594139.999	5131962.454	0	44	1080
594164.999	5131962.454	0	43	1070
594189.999	5131962.454	0	40	1066
594214.999	5131962.454	10	34	1059
594239.999	5131962.454	22	24	1057
594264.999	5131962.454	28	21	1061
594289.999	5131962.454	20	20	1066
594314.999	5131962.454	10	20	1072
594339.999	5131962.454	10	19	1081
594364.999	5131962.454	10	19	1088
594389.999	5131962.454	10	23	1095
594414.999	5131962.454	10	25	1101
594439.999	5131962.454	10	26	1113
594464.999	5131962.454	0	31	1125
594489.999	5131962.454	0	37	1144
594514.999	5131962.454	0	40	1163
594539.999	5131962.454	0	40	1182
594564.999	5131962.454	0	39	1198
594589.999	5131962.454	0	39	1214
594614.999	5131962.454	0	37	1228
594639.999	5131962.454	0	37	1244
594664.999	5131962.454	0	39	1265
594689.999	5131962.454	0	37	1287
594714.999	5131962.454	20	34	1304
594739.999	5131962.454	10	33	1320
594764.999	5131962.454	10	35	1337
594789.999	5131962.454	0	35	1355
594814.999	5131962.454	10	33	1372
594839.999	5131962.454	20	33	1387
594864.999	5131962.454	0	35	1401
594889.999	5131962.454	0	36	1420
594914.999	5131962.454	10	35	1438
594939.999	5131962.454	0	34	1455
594964.999	5131962.454	14	33	1471
594989.999	5131962.454	28	29	1485
595014.999	5131962.454	14	32	1492
595039.999	5131962.454	10	35	1504
595064.999	5131962.454	0	37	1517
595089.999	5131962.454	0	36	1534
595114.999	5131962.454	14	33	1545
595139.999	5131962.454	0	34	1560
595164.999	5131962.454	10	34	1575
595189.999	5131962.454	10	32	1589
595214.999	5131962.454	36	29	1603
595239.999	5131962.454	50	26	1614
595264.999	5131962.454	40	26	1624
595289.999	5131962.454	40	25	1636
595314.999	5131962.454	50	24	1647
595339.999	5131962.454	58	24	1659
595364.999	5131962.454	30	12	1669
595389.999	5131962.454	10	24	1668
595414.999	5131962.454	0	40	1644
595439.999	5131962.454	0	36	1624
595464.999	5131962.454	0	34	1607
595489.999	5131962.454	10	31	1590
595514.999	5131962.454	32	25	1578
595539.999	5131962.454	51	22	1568
595564.999	5131962.454	81	18	1560
595589.999	5131962.454	98	17	1554
595614.999	5131962.454	125	15	1547
595639.999	5131962.454	141	15	1543
595664.999	5131962.454	144	17	1540
595689.999	5131962.454	134	18	1537
595714.999	5131962.454	124	19	1532
595739.999	5131962.454	117	20	1526
595764.999	5131962.454	108	19	1520
595789.999	5131962.454	99	19	1514
595814.999	5131962.454	81	20	1507
595839.999	5131962.454	73	23	1500
595864.999	5131962.454	70	26	1489
595889.999	5131962.454	70	26	1479
595914.999	5131962.454	64	29	1479
595939.999	5131962.454	54	30	1481
595964.999	5131962.454	50	28	1484
595989.999	5131962.454	51	25	1484
596014.999	5131962.454	51	21	1483
596039.999	5131962.454	58	20	1476
596064.999	5131962.454	78	24	1466
596089.999	5131962.454	89	28	1453
596114.999	5131962.454	98	31	1439
596139.999	5131962.454	108	31	1423
596164.999	5131962.454	127	28	1409
596189.999	5131962.454	141	24	1396
596214.999	5131962.454	127	22	1387
596239.999	5131962.454	114	23	1376
596264.999	5131962.454	98	25	1365
596289.999	5131962.454	92	28	1353
596314.999	5131962.454	91	28	1339
596339.999	5131962.454	95	27	1326
596364.999	5131962.454	81	26	1314
596389.999	5131962.454	61	24	1302
596414.999	5131962.454	32	23	1292
596439.999	5131962.454	14	22	1281
596464.999	5131962.454	14	28	1284
596489.999	5131962.454	32	30	1284
596514.999	5131962.454	10	29	1280
596539.999	5131962.454	10	29	1280
596564.999	5131962.454	32	27	1277
596589.999	5131962.454	51	22	1276
596614.999	5131962.454	81	22	1281
596639.999	5131962.454	90	25	1290
596664.999	5131962.454	95	26	1298
596689.999	5131962.454	76	29	1307
596714.999	5131962.454	50	30	1318
596739.999	5131962.454	32	31	1328
596764.999	5131962.454	10	34	1339
596789.999	5131962.454	0	31	1353
596814.999	5131962.454	22	19	1360
596839.999	5131962.454	30	17	1359
596864.999	5131962.454	0	31	1345
596889.999	5131962.454	10	34	1328
596914.999	5131962.454	22	34	1311
596939.999	5131962.454	20	33	1295
596964.999	5131962.454	36	31	1279
596989.999	5131962.454	22	31	1266
597014.999	5131962.454	0	35	1249
597039.999	5131962.454	0	36	1231
597064.999	5131962.454	20	33	1213
597089.999	5131962.454	0	37	1197
597114.999	5131962.454	0	31	1171
597139.999	5131962.454	0	27	1166
597164.999	5131962.454	0	36	1163
597189.999	5131962.454	0	41	1153
597214.999	5131962.454	0	42	1141
597239.999	5131962.454	0	41	1127
597264.999	5131962.454	10	40	1118
597289.999	5131962.454	0	38	1106
597314.999	5131962.454	10	36	1096
597339.999	5131962.454	10	35	1087
597364.999	5131962.454	0	35	1076
597389.999	5131962.454	0	35	1066
597414.999	5131962.454	10	31	1054
597439.999	5131962.454	22	25	1046
597464.999	5131962.454	14	25	1041
597489.999	5131962.454	10	32	1033
597514.999	5131962.454	0	38	1021
597539.999	5131962.454	0	39	1006
597564.999	5131962.454	0	38	993
597589.999	5131962.454	0	32	978
597614.999	5131962.454	10	24	966
597639.999	5131962.454	10	21	956
597664.999	5131962.454	22	22	946
597689.999	5131962.454	36	22	937
597714.999	5131962.454	32	23	928
597739.999	5131962.454	22	18	916
597764.999	5131962.454	14	13	910
597789.999	5131962.454	10	19	907
597814.999	5131962.454	10	26	908
597839.999	5131962.454	0	34	913
597864.999	5131962.454	0	38	921
597889.999	5131962.454	0	38	930
597914.999	5131962.454	0	37	936
597939.999	5131962.454	10	34	940
597964.999	5131962.454	32	32	942
597989.999	5131962.454	40	31	942
598014.999	5131962.454	50	31	941
598039.999	5131962.454	50	30	940
598064.999	5131962.454	50	29	937
598089.999	5131962.454	54	25	933
598114.999	5131962.454	61	21	932
598139.999	5131962.454	67	20	931
598164.999	5131962.454	85	21	931
598189.999	5131962.454	100	23	930
598214.999	5131962.454	125	25	926
598239.999	5131962.454	132	27	918
598264.999	5131962.454	130	27	914
598289.999	5131962.454	120	29	912
598314.999	5131962.454	103	29	907
598339.999	5131962.454	95	29	900
598364.999	5131962.454	90	28	891
598389.999	5131962.454	92	23	883
598414.999	5131962.454	103	18	877
598439.999	5131962.454	92	15	872
598464.999	5131962.454	72	14	868
598489.999	5131962.454	58	14	863
598514.999	5131962.454	32	18	858
598539.999	5131962.454	14	27	851
598564.999	5131962.454	0	32	837
598589.999	5131962.454	14	32	822
598614.999	5131962.454	10	33	809
598639.999	5131962.454	10	32	792
598664.999	5131962.454	32	31	780
598689.999	5131962.454	51	30	765
598714.999	5131962.454	81	29	753
598739.999	5131962.454	82	28	740
598764.999	5131962.454	81	25	728
598789.999	5131962.454	85	24	720
598814.999	5131962.454	100	19	707
598839.999	5131962.454	113	8	704
598864.999	5131962.454	136	6	702
598889.999	5131962.454	153	6	699
598914.999	5131962.454	179	5	697
598939.999	5131962.454	197	4	696
598964.999	5131962.454	225	4	695
598989.999	5131962.454	244	3	694
599014.999	5131962.454	272	3	693
599039.999	5131962.454	285	4	692
599064.999	5131962.454	277	4	690
599089.999	5131962.454	273	4	689
599114.999	5131962.454	270	5	687
599139.999	5131962.454	270	5	685
599164.999	5131962.454	273	5	683
599189.999	5131962.454	277	1	681
599214.999	5131962.454	285	9	683
599239.999	5131962.454	266	12	688
599264.999	5131962.454	238	9	692
599289.999	5131962.454	219	9	693
599314.999	5131962.454	192	11	695
599339.999	5131962.454	175	14	699
599364.999	5131962.454	150	15	702
599389.999	5131962.454	130	16	705
599414.999	5131962.454	100	16	711
599439.999	5131962.454	80	17	717
599464.999	5131962.454	50	20	724
599489.999	5131962.454	30	26	731
599514.999	5131962.454	0	29	741
599539.999	5131962.454	20	30	748
599564.999	5131962.454	30	30	760
599589.999	5131962.454	10	32	775
599614.999	5131962.454	10	30	793
599639.999	5131962.454	30	25	804
599664.999	5131962.454	42	28	815
599689.999	5131962.454	32	30	828
599714.999	5131962.454	28	31	840
599739.999	5131962.454	20	33	855
599764.999	5131962.454	0	34	873
599789.999	5131962.454	0	33	890
599814.999	5131962.454	20	33	907
599839.999	5131962.454	40	31	923
599864.999	5131962.454	20	31	937
599889.999	5131962.454	0	32	952
599914.999	5131962.454	20	27	969
599939.999	5131962.454	28	21	979
599964.999	5131962.454	14	27	980
599989.999	5131962.454	10	33	977
593614.999	5131937.454	54	23	911
593639.999	5131937.454	64	24	919
593664.999	5131937.454	80	23	927
593689.999	5131937.454	82	25	936
593714.999	5131937.454	94	26	946
593739.999	5131937.454	76	26	955
593764.999	5131937.454	50	25	961
593789.999	5131937.454	36	26	968
