x	y	Time	d2et	slope	elevm	ExtentFile
595328.335	5130378.64	0	100	26	1515	005DDM_master_avail.txt
595679.094	5129007.1	5	0	42	1320	005DDM_master_avail.txt
595473.469	5128736.92	10	0	46	1320	005DDM_master_avail.txt
595473.111	5128736.69	15	0	46	1320	005DDM_master_avail.txt
595474.533	5128736.39	20	0	46	1320	005DDM_master_avail.txt
599685.624	5126044.95	55	0	47	1343	005DDM_master_avail.txt
599757.54	5126008.69	60	0	36	1406	005DDM_master_avail.txt
599754.941	5126013.06	65	0	43	1384	005DDM_master_avail.txt
599952.136	5124986.75	70	0	43	1365	005DDM_master_avail.txt
601268.478	5124664.39	80	0	42	1523	005DDM_master_avail.txt
601297.014	5124347.86	105	0	36	1457	005DDM_master_avail.txt
601325.078	5124666.92	120	0	42	1467	005DDM_master_avail.txt
601327.94	5124667.72	125	0	42	1467	005DDM_master_avail.txt
601209.348	5124181.79	150	10	33	1496	005DDM_master_avail.txt
601288.988	5124405.64	155	0	36	1465	005DDM_master_avail.txt
601328.11	5124669.56	165	0	42	1467	005DDM_master_avail.txt
601270.556	5124661.34	170	10	38	1525	005DDM_master_avail.txt
601271.559	5124641.26	175	10	38	1525	005DDM_master_avail.txt
601234.429	5124621.86	180	50	7	1538	005DDM_master_avail.txt
601283.009	5124405.09	185	20	28	1479	005DDM_master_avail.txt
601295.234	5124365	190	0	36	1457	005DDM_master_avail.txt
601246.029	5124633.04	200	30	18	1535	005DDM_master_avail.txt
601219.442	5124569.94	215	28	18	1535	005DDM_master_avail.txt
600867.437	5124925.32	220	125	12	1473	005DDM_master_avail.txt
601077.566	5124663.26	225	10	22	1552	005DDM_master_avail.txt
601109.116	5124656.52	230	30	6	1548	005DDM_master_avail.txt
601266.517	5124663.2	235	0	42	1523	005DDM_master_avail.txt
600651.171	5124143.07	240	0	50	1494	005DDM_master_avail.txt
600527.7	5124052.71	245	22	13	1516	005DDM_master_avail.txt
600391.95	5123590.18	255	10	32	1511	005DDM_master_avail.txt
600196.72	5123690.69	260	0	40	1502	005DDM_master_avail.txt
600884.537	5124887.66	270	152	8	1473	005DDM_master_avail.txt
601783.808	5125644.54	280	0	51	1387	005DDM_master_avail.txt
601998.886	5125670.23	290	28	18	1328	005DDM_master_avail.txt
602543.836	5125677.23	300	0	40	1242	005DDM_master_avail.txt
602432.06	5125762.49	305	0	32	1303	005DDM_master_avail.txt
604161.488	5125528.87	310	0	49	1298	005DDM_master_avail.txt
604558.553	5125492.06	320	0	45	1376	005DDM_master_avail.txt
604715.552	5125393.21	325	0	53	1477	005DDM_master_avail.txt
604849.734	5125333.53	345	0	44	1433	005DDM_master_avail.txt
604786.202	5125304.96	350	0	50	1526	005DDM_master_avail.txt
604866.99	5125242.29	355	0	51	1511	005DDM_master_avail.txt
604729.868	5125571.52	365	0	40	1285	005DDM_master_avail.txt
604849.938	5125387.25	370	0	50	1406	005DDM_master_avail.txt
604807.535	5125286.08	375	0	52	1513	005DDM_master_avail.txt
605081.955	5125266.02	380	10	31	1339	005DDM_master_avail.txt
605088.498	5125328.81	390	0	32	1313	005DDM_master_avail.txt
605130.286	5125239.53	395	14	35	1360	005DDM_master_avail.txt
605211.082	5125285.05	405	0	35	1334	005DDM_master_avail.txt
605317.332	5125302.41	410	14	34	1268	005DDM_master_avail.txt
605268.81	5125252.63	415	0	38	1323	005DDM_master_avail.txt
605290.072	5125052.72	425	20	25	1459	005DDM_master_avail.txt
605404.747	5125087.7	430	0	46	1394	005DDM_master_avail.txt
604793.281	5125338.89	450	0	59	1471	005DDM_master_avail.txt
604449.634	5125562.9	455	0	49	1300	005DDM_master_avail.txt
604332.492	5125557.17	460	0	50	1305	005DDM_master_avail.txt
604299.45	5125376.28	465	20	9	1472	005DDM_master_avail.txt
604527.183	5125518.91	475	0	56	1357	005DDM_master_avail.txt
604410.443	5125574.86	485	0	50	1289	005DDM_master_avail.txt
604201.125	5125446.02	490	0	63	1395	005DDM_master_avail.txt
604377.808	5125503.87	495	0	49	1373	005DDM_master_avail.txt
604319.948	5125533.58	500	0	47	1339	005DDM_master_avail.txt
604166.813	5125467.34	515	0	51	1358	005DDM_master_avail.txt
604323.169	5125544.86	520	0	50	1305	005DDM_master_avail.txt
604299.476	5125604.22	525	10	35	1258	005DDM_master_avail.txt
604499.439	5125492.33	540	0	51	1406	005DDM_master_avail.txt
604547.272	5125469.92	545	0	44	1389	005DDM_master_avail.txt
604384.303	5125553.15	580	0	51	1313	005DDM_master_avail.txt
604367.53	5125531.66	585	0	52	1342	005DDM_master_avail.txt
604400.852	5125499.27	590	0	51	1384	005DDM_master_avail.txt
604541.311	5125517.88	605	0	54	1352	005DDM_master_avail.txt
604428.533	5125525.52	615	0	53	1357	005DDM_master_avail.txt
604460.915	5125510.25	620	0	50	1395	005DDM_master_avail.txt
604508.587	5125500.87	630	0	51	1406	005DDM_master_avail.txt
604510.841	5125507.85	640	0	51	1406	005DDM_master_avail.txt
604561.243	5125438.47	645	0	52	1418	005DDM_master_avail.txt
604499.859	5125501.99	650	0	51	1406	005DDM_master_avail.txt
604334.422	5125420.65	670	0	59	1423	005DDM_master_avail.txt
604332.111	5125567.75	675	0	45	1276	005DDM_master_avail.txt
604663.654	5125441.85	685	0	55	1417	005DDM_master_avail.txt
604587.143	5125539.47	700	0	50	1307	005DDM_master_avail.txt
604516.32	5125474.52	705	0	48	1407	005DDM_master_avail.txt
604410.671	5125515.94	715	0	53	1353	005DDM_master_avail.txt
604575.201	5125488.82	725	0	45	1364	005DDM_master_avail.txt
604706.319	5125384.68	750	20	16	1488	005DDM_master_avail.txt
604647.514	5125400.08	760	0	43	1451	005DDM_master_avail.txt
604514.399	5125501.7	765	0	49	1394	005DDM_master_avail.txt
604378.644	5125561.83	770	0	51	1313	005DDM_master_avail.txt
604354.408	5125522.96	775	0	50	1342	005DDM_master_avail.txt
604501.542	5125543.28	780	0	55	1325	005DDM_master_avail.txt
604499.893	5125546.42	790	0	55	1325	005DDM_master_avail.txt
604384.865	5125569.41	795	0	48	1285	005DDM_master_avail.txt
604318.673	5125475.53	805	10	38	1365	005DDM_master_avail.txt
604199.636	5125448.37	810	0	63	1395	005DDM_master_avail.txt
603962.307	5125522.3	820	0	55	1311	005DDM_master_avail.txt
603979.859	5125498.92	835	0	52	1338	005DDM_master_avail.txt
604089.605	5125467.06	850	0	50	1363	005DDM_master_avail.txt
604307.204	5125450.74	855	0	48	1385	005DDM_master_avail.txt
604319.672	5125542.03	860	0	50	1305	005DDM_master_avail.txt
604156.939	5125536.65	870	0	49	1298	005DDM_master_avail.txt
604454.182	5125495.64	880	0	50	1395	005DDM_master_avail.txt
604448.452	5125574.38	885	0	49	1300	005DDM_master_avail.txt
604430.904	5125568.48	890	0	50	1291	005DDM_master_avail.txt
604414.797	5125572.6	895	0	50	1291	005DDM_master_avail.txt
604527.988	5125506.5	905	0	49	1394	005DDM_master_avail.txt
604507.994	5125500.85	915	0	51	1406	005DDM_master_avail.txt
604369.795	5125474.38	920	0	45	1402	005DDM_master_avail.txt
604603.133	5125446.33	930	0	47	1416	005DDM_master_avail.txt
604511.757	5125399.28	940	10	30	1496	005DDM_master_avail.txt
604560.748	5125451.17	945	0	52	1418	005DDM_master_avail.txt
604629.414	5125434.09	950	0	38	1416	005DDM_master_avail.txt
604605.711	5125474.47	955	0	45	1390	005DDM_master_avail.txt
604564.58	5125489.34	965	0	45	1364	005DDM_master_avail.txt
604510.764	5125503.81	975	0	51	1406	005DDM_master_avail.txt
604398.548	5125527.69	980	0	53	1353	005DDM_master_avail.txt
604183.826	5125463.05	985	0	51	1358	005DDM_master_avail.txt
604166.024	5125490.59	990	0	49	1330	005DDM_master_avail.txt
604457.519	5125518.21	1000	0	53	1362	005DDM_master_avail.txt
604394.411	5125447.26	1010	0	46	1434	005DDM_master_avail.txt
604737.429	5125385.27	1020	0	44	1480	005DDM_master_avail.txt
604839.779	5125205.76	1040	10	26	1558	005DDM_master_avail.txt
604962.58	5125044.78	1045	0	47	1513	005DDM_master_avail.txt
604983.166	5124990.96	1050	10	20	1554	005DDM_master_avail.txt
605043.911	5124988.96	1055	0	44	1517	005DDM_master_avail.txt
605024.973	5124996.19	1060	0	45	1523	005DDM_master_avail.txt
604899.016	5125183.73	1065	0	46	1508	005DDM_master_avail.txt
604572.62	5125478.88	1075	0	45	1388	005DDM_master_avail.txt
604580.557	5125415.85	1085	0	46	1451	005DDM_master_avail.txt
604480.04	5125423.85	1090	0	41	1475	005DDM_master_avail.txt
604160.44	5125515.25	1100	0	49	1298	005DDM_master_avail.txt
604074.484	5125453.93	1110	0	31	1394	005DDM_master_avail.txt
604371.339	5125507.18	1120	0	49	1373	005DDM_master_avail.txt
604539.419	5125486.11	1125	0	44	1389	005DDM_master_avail.txt
604513.043	5125493.1	1135	0	49	1394	005DDM_master_avail.txt
604571.398	5125470.11	1140	0	45	1388	005DDM_master_avail.txt
604608.406	5125433.61	1145	0	44	1437	005DDM_master_avail.txt
604443.974	5125472.02	1150	0	43	1420	005DDM_master_avail.txt
604488.594	5125410.79	1155	10	30	1496	005DDM_master_avail.txt
604549.114	5125444.67	1170	0	52	1418	005DDM_master_avail.txt
604848.805	5125388.55	1180	0	52	1378	005DDM_master_avail.txt
604688.616	5125450.85	1185	0	55	1445	005DDM_master_avail.txt
604698.307	5125410.12	1190	10	19	1485	005DDM_master_avail.txt
604726.99	5125398.51	1195	0	53	1477	005DDM_master_avail.txt
604715.488	5125382.51	1205	0	44	1480	005DDM_master_avail.txt
604799.341	5125183.21	1215	0	36	1533	005DDM_master_avail.txt
604783.685	5125344.36	1220	0	57	1531	005DDM_master_avail.txt
604855.065	5125386.19	1230	0	50	1406	005DDM_master_avail.txt
604797.35	5125322.73	1240	0	53	1493	005DDM_master_avail.txt
604721.852	5125334.08	1245	0	50	1521	005DDM_master_avail.txt
604611.735	5125507.49	1250	0	47	1368	005DDM_master_avail.txt
604680.297	5125537.87	1255	0	49	1305	005DDM_master_avail.txt
604529.151	5125514.65	1265	0	56	1357	005DDM_master_avail.txt
604357.421	5125569.44	1275	0	46	1276	005DDM_master_avail.txt
604879.321	5125330.38	1290	0	42	1430	005DDM_master_avail.txt
604775.156	5125393.21	1295	0	56	1408	005DDM_master_avail.txt
605236.683	5125245.26	1310	10	35	1343	005DDM_master_avail.txt
605191.925	5125283.12	1315	0	35	1334	005DDM_master_avail.txt
604669.579	5125466.23	1320	0	51	1391	005DDM_master_avail.txt
604609.72	5125506.37	1325	0	47	1368	005DDM_master_avail.txt
604585.811	5125418.68	1330	0	46	1451	005DDM_master_avail.txt
604570.737	5125434.45	1335	0	46	1451	005DDM_master_avail.txt
604504.978	5125472.58	1340	0	44	1429	005DDM_master_avail.txt
604434.348	5125455.35	1350	0	45	1435	005DDM_master_avail.txt
604488.443	5125488.6	1355	0	51	1406	005DDM_master_avail.txt
604504.064	5125471.53	1360	0	44	1429	005DDM_master_avail.txt
604512.552	5125517.31	1365	0	56	1357	005DDM_master_avail.txt
604405.104	5125468.22	1370	0	45	1410	005DDM_master_avail.txt
604503.895	5125473.76	1375	0	44	1429	005DDM_master_avail.txt
604707.696	5125414.93	1385	0	45	1475	005DDM_master_avail.txt
604597.055	5125503.83	1395	0	47	1368	005DDM_master_avail.txt
604722.095	5125393.2	1405	0	53	1477	005DDM_master_avail.txt
604705.102	5125398.99	1410	10	19	1485	005DDM_master_avail.txt
604692.508	5125469.26	1415	0	50	1404	005DDM_master_avail.txt
604618.761	5125495.46	1420	0	46	1355	005DDM_master_avail.txt
604395.231	5125492.21	1430	0	51	1384	005DDM_master_avail.txt
604162.88	5125451.7	1440	0	61	1390	005DDM_master_avail.txt
604162.116	5125499.7	1455	0	49	1327	005DDM_master_avail.txt
604107.615	5125518.23	1460	0	51	1307	005DDM_master_avail.txt
603917.348	5125475.95	1470	10	9	1364	005DDM_master_avail.txt
603919.296	5125374.97	1475	104	18	1330	005DDM_master_avail.txt
603919.295	5125492.02	1480	0	47	1353	005DDM_master_avail.txt
604480.547	5125421.26	1495	0	41	1475	005DDM_master_avail.txt
604500.154	5125478	1505	0	44	1429	005DDM_master_avail.txt
604737.466	5125402.88	1515	0	53	1477	005DDM_master_avail.txt
604703.373	5125411.76	1520	10	19	1485	005DDM_master_avail.txt
604700.202	5125417.4	1550	0	45	1475	005DDM_master_avail.txt
604714.144	5125417.82	1555	0	59	1473	005DDM_master_avail.txt
604688.364	5125163.14	1560	14	32	1505	005DDM_master_avail.txt
604715.3	5125374.6	1565	0	44	1480	005DDM_master_avail.txt
604625.735	5125420.75	1570	0	38	1416	005DDM_master_avail.txt
604733.207	5125391.46	1575	0	53	1477	005DDM_master_avail.txt
604680.492	5125324.91	1580	0	35	1484	005DDM_master_avail.txt
604717.174	5125369.13	1585	0	44	1480	005DDM_master_avail.txt
604845.677	5125138.2	1590	20	15	1549	005DDM_master_avail.txt
605014.028	5124982.29	1595	0	41	1550	005DDM_master_avail.txt
605034.747	5124988.52	1600	0	45	1523	005DDM_master_avail.txt
604652.126	5125546.18	1610	0	49	1299	005DDM_master_avail.txt
604478.499	5125414.8	1620	0	41	1475	005DDM_master_avail.txt
604477.482	5125420.68	1625	0	41	1475	005DDM_master_avail.txt
604368.155	5125483.79	1630	0	45	1402	005DDM_master_avail.txt
604305.652	5125484.34	1635	0	40	1360	005DDM_master_avail.txt
604406.974	5125425.57	1640	0	47	1462	005DDM_master_avail.txt
604428.778	5125404.27	1645	10	28	1488	005DDM_master_avail.txt
604120.313	5125497.1	1670	0	49	1329	005DDM_master_avail.txt
604176.815	5125412.27	1680	0	34	1448	005DDM_master_avail.txt
604280.011	5125455.94	1685	0	48	1381	005DDM_master_avail.txt
604366.226	5125477.13	1695	0	45	1402	005DDM_master_avail.txt
604497.426	5125458.11	1700	0	46	1454	005DDM_master_avail.txt
604649.774	5125379.24	1705	10	31	1463	005DDM_master_avail.txt
604684.584	5125162.01	1710	0	41	1478	005DDM_master_avail.txt
604666.05	5125188.48	1715	0	32	1512	005DDM_master_avail.txt
604667.323	5125187.05	1720	10	36	1499	005DDM_master_avail.txt
604733.509	5125403.96	1730	0	53	1477	005DDM_master_avail.txt
604785.562	5125296.91	1755	0	50	1526	005DDM_master_avail.txt
604708.127	5125164.4	1760	14	32	1505	005DDM_master_avail.txt
604692.444	5125154.44	1765	0	38	1491	005DDM_master_avail.txt
604690.627	5125328.91	1770	0	44	1503	005DDM_master_avail.txt
604549.014	5125452.35	1780	0	52	1418	005DDM_master_avail.txt
604451.531	5125492.48	1790	0	50	1395	005DDM_master_avail.txt
604500.735	5125478.72	1795	0	44	1429	005DDM_master_avail.txt
604569.792	5125511.74	1800	0	45	1364	005DDM_master_avail.txt
604314.801	5125484.72	1805	10	38	1365	005DDM_master_avail.txt
604403.493	5125455.17	1810	0	46	1434	005DDM_master_avail.txt
604462.14	5125519.74	1815	0	53	1362	005DDM_master_avail.txt
604408.542	5125498	1825	0	51	1384	005DDM_master_avail.txt
604823.348	5125245.29	1835	0	47	1534	005DDM_master_avail.txt
604898.614	5125142.93	1840	0	42	1516	005DDM_master_avail.txt
604712.081	5125132.84	1845	0	40	1471	005DDM_master_avail.txt
604750.814	5125336.34	1850	0	34	1552	005DDM_master_avail.txt
604748.109	5125331.4	1855	0	34	1552	005DDM_master_avail.txt
604769.883	5125347.91	1860	0	57	1531	005DDM_master_avail.txt
604194.579	5125476.49	1870	0	52	1359	005DDM_master_avail.txt
603983.469	5125499.64	1890	0	52	1338	005DDM_master_avail.txt
602439.372	5125737.28	1895	10	34	1287	005DDM_master_avail.txt
602404.745	5125789.46	1900	14	32	1303	005DDM_master_avail.txt
601106.95	5126152.68	1910	0	44	1376	005DDM_master_avail.txt
600893.28	5126145.75	1915	0	51	1354	005DDM_master_avail.txt
599386.04	5126152.24	1920	0	47	1315	005DDM_master_avail.txt
595409.411	5128754.22	1930	0	40	1379	005DDM_master_avail.txt
595855.934	5130228.27	1935	89	13	1576	005DDM_master_avail.txt
595748.71	5132394.84	1950	0	47	1507	005DDM_master_avail.txt
595736.13	5132432.77	1955	0	41	1523	005DDM_master_avail.txt
595612.382	5132563.7	1960	0	61	1459	005DDM_master_avail.txt
595539.298	5132609.3	1965	36	27	1437	005DDM_master_avail.txt
595222.431	5133648.26	1970	20	34	1421	005DDM_master_avail.txt
594810.325	5135276.13	1975	28	25	1602	005DDM_master_avail.txt
594951.912	5135882.02	1985	0	45	1460	005DDM_master_avail.txt
594896.59	5135923.12	2005	0	40	1410	005DDM_master_avail.txt
594951.355	5135906.94	2010	0	43	1442	005DDM_master_avail.txt
594588.887	5137262.8	2015	0	42	1523	005DDM_master_avail.txt
594384.437	5137787.41	2020	10	30	1469	005DDM_master_avail.txt
594158.69	5137987.32	2030	0	43	1368	005DDM_master_avail.txt
593822.433	5138061.13	2040	10	38	1330	005DDM_master_avail.txt
593949.22	5138108.57	2045	0	43	1280	005DDM_master_avail.txt
593968.731	5138111.48	2055	0	50	1289	005DDM_master_avail.txt
594023.566	5138051.93	2060	0	40	1358	005DDM_master_avail.txt
594099.258	5138037.12	2075	0	51	1340	005DDM_master_avail.txt
594056.797	5138065.71	2080	0	55	1323	005DDM_master_avail.txt
593518.598	5138234.16	2090	0	35	1317	005DDM_master_avail.txt
593570.227	5138243.23	2100	0	47	1287	005DDM_master_avail.txt
593570.117	5138247.38	2105	0	47	1287	005DDM_master_avail.txt
593793.366	5138009.09	2115	10	31	1393	005DDM_master_avail.txt
593798.439	5138010.77	2120	10	31	1393	005DDM_master_avail.txt
593804.056	5138022.01	2125	0	47	1367	005DDM_master_avail.txt
593796.142	5138046.53	2130	0	47	1350	005DDM_master_avail.txt
594471.134	5137776.91	2135	0	44	1452	005DDM_master_avail.txt
594456.578	5137727.2	2140	14	26	1488	005DDM_master_avail.txt
594528.606	5137809.59	2150	0	49	1392	005DDM_master_avail.txt
594538.991	5137805.95	2155	0	50	1373	005DDM_master_avail.txt
594481.516	5137831.98	2160	0	49	1407	005DDM_master_avail.txt
594462.427	5137738.84	2165	14	30	1483	005DDM_master_avail.txt
594454.535	5137751.85	2170	14	30	1483	005DDM_master_avail.txt
594489.737	5137703.08	2175	0	38	1464	005DDM_master_avail.txt
594354.665	5137817.83	2180	0	41	1453	005DDM_master_avail.txt
