f5	x	y	descape240	rghasp240	rghsq	elksum240	elksq	slope240	slopesq	forest240	elev240	edgeden240	road240
1	510946.4802	4990049	0	1.039487	1.080533	1845.465	3.41E+06	21.28125	452.8916	64	2036.484	0.00487173	61.5
1	511186.4802	4990049	0	0.7323051	0.5362708	3097.564	9.59E+06	12.46875	155.4697	64	2100.969	5.34E-05	59.04688
1	511426.4802	4990049	0	0.9131825	0.8339023	3721.026	1.38E+07	5.09375	25.94629	64	2133.969	0	36.40625
1	511666.4802	4990049	0	0.9776132	0.9557275	2920.158	8.53E+06	16.98438	288.469	64	2165.047	0	13.75
1	511906.4802	4990049	0	0.9903219	0.9807375	3247.094	1.05E+07	23.125	534.7656	64	2248.031	0	16.3125
1	512146.4802	4990049	0	0.935383	0.8749413	4239.276	1.80E+07	16.40625	269.165	64	2289.719	0	43.5
1	512386.4802	4990049	0	1.024212	1.04901	4530.531	2.05E+07	15.65625	245.1182	64	2281.297	0	45.5
1	512626.4802	4990049	0	0.9090764	0.8264199	4839.955	2.34E+07	14.875	221.2656	64	2299.859	0	49.25
1	512866.4802	4990049	0	0.9389907	0.8817034	5437.965	2.96E+07	10.96875	120.3135	64	2309.984	0	64.6875
1	513106.4802	4990049	0	0.9915118	0.9830956	6045.644	3.65E+07	9.203125	84.69751	64	2328.609	0	108.0156
1	513346.4802	4990049	3.28125	1.020494	1.041409	6019.04	3.62E+07	10.10938	102.1995	58	2316.969	0.002652582	129.4219
1	513586.4802	4990049	0	0.9994949	0.9989901	5337.358	2.85E+07	13.3125	177.2227	64	2303.313	0.002652582	114.8438
1	513826.4802	4990049	0	1.055053	1.113138	4876.198	2.38E+07	14.60938	213.4338	64	2303.703	0	102.1719
1	514066.4802	4990049	0.9375	1.2496	1.561501	1321.08	1.75E+06	34.6875	1203.223	62	2205.484	0.00397675	122.625
1	514306.4802	4990049	0	1.018207	1.036745	2751.768	7.57E+06	16.95313	287.4084	64	2081.891	0.00517939	128.5
1	514546.4802	4990049	6.756662	1.040138	1.081887	2328.846	5.42E+06	14.82813	219.8733	52	2046.25	0.000594202	129.2188
1	514786.4802	4990049	12.4954	1.128235	1.272914	1677.144	2.81E+06	19.45313	378.4241	41	2003.609	0.00310371	90
1	515026.4802	4990049	0.9375	1.024944	1.05051	1675.142	2.81E+06	13.8125	190.7852	62	1944.578	0.003221587	83.375
1	515266.4802	4990049	19.25925	1.034076	1.069314	1583.152	2.51E+06	14.89063	221.7307	37	1895.313	0.003771957	93.3125
1	515506.4802	4990049	23.45704	1.090728	1.189688	1825.159	3.33E+06	13.20313	174.3225	35	1856.922	0.009269502	93.95313
1	515746.4802	4990049	88.75768	0.8867928	0.7864015	2223.381	4.94E+06	9.625	92.64063	8	1823.344	0.0101137	99.25
1	515986.4802	4990049	180.6697	0.9075947	0.8237282	1968.52	3.88E+06	9.421875	88.77173	0	1792.797	0.007588208	100.8281
1	516226.4802	4990049	207.6547	0.8919203	0.7955219	1502.888	2.26E+06	12	144	0	1757.563	0.003471642	119.75
1	516466.4802	4990049	238.5949	1.017657	1.035625	1360.465	1.85E+06	8.953125	80.15845	0	1722.516	0.002843543	137
1	516706.4802	4990049	68.74161	1.043582	1.089063	913.9131	8.35E+05	13.9375	194.2539	0	1684.156	2.22E-05	143.125
1	516946.4802	4990049	227.714	0.7725552	0.5968416	739.1023	5.46E+05	6.984375	48.78149	0	1637.641	0	148.9531
1	517186.4802	4990049	414.9636	0.8506556	0.7236149	622.6097	3.88E+05	3.640625	13.25415	0	1615.297	0	78.04688
1	517426.4802	4990049	460.6905	0.8870667	0.7868873	556.4122	3.10E+05	4.078125	16.6311	0	1603.203	0	0
1	517666.4802	4990049	573.9915	0.745638	0.555976	481.4648	2.32E+05	3.6875	13.59766	0	1588.313	0	0
1	517906.4802	4990049	587.5204	0.3826935	0.1464543	445.7862	1.99E+05	1.390625	1.933838	0	1578.453	0	0
1	518146.4802	4990049	422.9231	0.6955931	0.4838498	334.8765	1.12E+05	2.8125	7.910156	0	1572.531	0	46.26563
1	518386.4802	4990049	221.149	0.6505231	0.4231803	509.312	2.59E+05	4.546875	20.67407	0	1582.219	0	172.1406
1	518626.4802	4990049	52.72951	0.7361934	0.5419807	428.2479	1.83E+05	11.90625	141.7588	0	1603.563	0	138.875
1	518866.4802	4990049	28.66449	1.040014	1.08163	684.6631	4.69E+05	23.42188	548.5842	0	1670.469	0	123.125
1	519106.4802	4990049	85.19585	0.9823096	0.9649322	1503.305	2.26E+06	15.90625	253.0088	0	1738.125	0	102.8281
1	519346.4802	4990049	136.2561	0.9872373	0.9746376	2191.184	4.80E+06	8.671875	75.20142	0	1776.141	0.001273235	80
1	519586.4802	4990049	197.3376	0.973341	0.9473927	2366.762	5.60E+06	7.828125	61.27954	0	1786.172	0.000149602	71.90625
1	519826.4802	4990049	190.0256	1.088225	1.184234	2705.607	7.32E+06	8.484375	71.98462	0	1801.125	0	37
1	520066.4802	4990049	182.4318	0.9714597	0.9437339	2985.242	8.91E+06	5.859375	34.33228	0	1822.094	0	31.1875
1	520306.4802	4990049	37.58799	1.015347	1.030929	2362.212	5.58E+06	17.125	293.2656	13	1856.203	0.003992054	37.32813
1	520546.4802	4990049	6.676238	0.9661368	0.9334204	2413.542	5.83E+06	24.17188	584.2795	3	1938.641	0.008253677	38.75
1	520786.4802	4990049	0.9375	1.244287	1.548249	2498.563	6.24E+06	30.04688	902.8147	23	2041.938	0.005426272	38.75
1	521026.4802	4990049	13.81814	1.154982	1.333982	3015.878	9.10E+06	26.35938	694.8167	2	2068.688	0.004025755	34.5
1	521266.4802	4990049	14.31713	1.193555	1.424573	4230.329	1.79E+07	25.67188	659.0452	15	2065.031	0.005197098	23.5
1	521506.4802	4990049	58.78769	0.9629018	0.9271799	9911.314	9.82E+07	20.375	415.1406	14	2133.234	0.007009669	15.125
1	521746.4802	4990049	18.58915	1.072412	1.150066	8541.512	7.30E+07	23.01563	529.719	16	2189.016	0.007644	6.3125
1	521986.4802	4990049	5.819162	1.112204	1.236997	6718.593	4.51E+07	28.625	819.3906	2	2230.141	0.008193611	0.59375
1	522226.4802	4990049	22.08736	1.022962	1.04645	8384.757	7.03E+07	26.65625	710.5557	18	2236.266	0.009342281	0
1	522466.4802	4990049	20.30022	1.119093	1.25237	9338.048	8.72E+07	25.375	643.8906	2	2206.828	0.007827135	0
1	522706.4802	4990049	7.061482	1.08488	1.176965	8058.61	6.49E+07	24.29688	590.3381	6	2197.219	0.004023873	0
1	522946.4802	4990049	12.91088	1.086499	1.18048	6990.18	4.89E+07	27.95313	781.3772	41	2277.219	0.008875069	0
1	523186.4802	4990049	15.85707	1.02828	1.05736	9817.195	9.64E+07	25.42188	646.2717	2	2292.344	0.00857258	0
1	523426.4802	4990049	77.89111	0.9177083	0.8421886	15808.35	2.50E+08	21.10938	445.6057	0	2276.625	0.001102662	1.875
1	523666.4802	4990049	98.56188	0.9696884	0.9402956	15543.87	2.42E+08	18.8125	353.9102	3	2249.75	0.000496215	9.5
1	523906.4802	4990049	53.44967	1.018671	1.037691	12999.68	1.69E+08	16.82813	283.1858	15	2197.344	0.003006391	21.10938
1	524146.4802	4990049	45.37595	0.9597297	0.9210812	13825.2	1.91E+08	9.90625	98.13379	16	2191.25	0.006205635	58.64063
1	524386.4802	4990049	99.29724	0.9524471	0.9071554	14215.83	2.02E+08	5.546875	30.76782	5	2205.813	0.008780949	95.53125
1	524626.4802	4990049	48.38735	1.024107	1.048794	12696.56	1.61E+08	13.3125	177.2227	23	2215.172	0.009619569	98.98438
1	524866.4802	4990049	48.88625	0.9711589	0.9431495	8241.589	6.79E+07	22.51563	506.9534	4	2140.641	0.006557706	99.98438
1	525106.4802	4990049	32.86117	0.8701621	0.757182	9102.443	8.29E+07	8.765625	76.83618	24	2077.391	0.007164627	105.1719
1	525346.4802	4990049	32.1555	0.8981794	0.8067262	8208.79	6.74E+07	9.578125	91.74048	20	2065.438	0.01429582	110.75
1	525586.4802	4990049	52.05016	0.7812881	0.6104112	9655.773	9.32E+07	10.71875	114.8916	11	2091.484	0.01066602	96.39063
1	525826.4802	4990049	24.29924	0.9010664	0.8119206	10509.17	1.10E+08	13.51563	182.6721	34	2128.484	0.008388694	55.54688
1	526066.4802	4990049	42.85672	0.9235296	0.8529069	12744.29	1.62E+08	13.375	178.8906	18	2180.313	0.009426367	27.04688
1	526306.4802	4990049	47.69748	1.137343	1.293549	9669.941	9.35E+07	17.57813	308.9905	12	2179.297	0.007168301	26.125
1	526546.4802	4990049	14.48106	1.027633	1.05603	12824.67	1.64E+08	13.51563	182.6721	40	2215.484	0.006015731	23.76563
1	526786.4802	4990049	153.9721	0.9614314	0.9243503	15896.6	2.53E+08	9.515625	90.54712	0	2215.219	0.005756975	18.09375
1	527026.4802	4990049	66.40592	0.8178655	0.6689039	11676	1.36E+08	18.95313	359.2209	0	2168.391	0.001324004	14.57813
1	527266.4802	4990049	24.11068	1.023143	1.046822	10289.62	1.06E+08	21.09375	444.9463	0	2122.656	0	29.5625
1	527506.4802	4990049	111.038	0.9834725	0.9672182	13765.06	1.89E+08	14.54688	211.6116	0	2155.641	0	61.14063
1	527746.4802	4990049	12.04944	0.8422077	0.7093138	7778.092	6.05E+07	19.35938	374.7854	18	2122.953	0.005253581	93
1	527986.4802	4990049	37.6025	0.9409752	0.8854343	2890.161	8.35E+06	28.48438	811.3596	0	2016.766	0.007441152	149.3906
1	528226.4802	4990049	45.00102	0.9303992	0.8656426	3914.031	1.53E+07	10.67188	113.8889	20	1945.766	0.004450665	214.0156
1	528466.4802	4990049	9.160877	1.032426	1.065904	2615.495	6.84E+06	15.26563	233.0393	51	1982.313	0.005403792	244.4063
1	528706.4802	4990049	24.87145	0.8475822	0.7183955	2736.539	7.49E+06	8.34375	69.61816	36	2019.547	0.004722877	292.7188
1	528946.4802	4990049	0	0.8953552	0.8016609	2628.769	6.91E+06	18.42188	339.3655	64	2080.484	0.001980659	312.8594
1	529186.4802	4990049	0	0.9176589	0.8420979	2904.295	8.43E+06	17.54688	307.8928	64	2141.516	0	314.7344
1	529426.4802	4990049	0	0.7959949	0.6336079	3450.502	1.19E+07	19.59375	383.915	64	2211.094	0.000810001	290.4063
1	529666.4802	4990049	0	0.8902726	0.7925853	3312.978	1.10E+07	22.67188	514.0139	64	2282.391	0.002754657	249.5313
1	529906.4802	4990049	0	1.075586	1.156885	2752.567	7.58E+06	27.92188	779.6311	64	2370.609	0.001902503	226.8438
1	530146.4802	4990049	0	1.120784	1.256157	4080.384	1.66E+07	25.375	643.8906	64	2476.781	0	194.9375
1	530386.4802	4990049	2.34375	0.8714709	0.7594616	7187.806	5.17E+07	15.07813	227.3499	59	2489.875	0.000976162	142.0313
1	530626.4802	4990049	18.95135	0.8408046	0.7069523	7396.888	5.47E+07	15.89063	252.512	37	2473.438	0.007267281	109.4688
1	530866.4802	4990049	0	0.8755096	0.7665171	7141.613	5.10E+07	12.95313	167.7834	64	2482.422	0.00381896	91.85938
1	531106.4802	4990049	0	0.9468144	0.8964574	5772.6	3.33E+07	13.95313	194.6897	64	2502.578	0	87.5
1	531346.4802	4990049	0	0.8999865	0.8099757	4518.087	2.04E+07	18.85938	355.676	64	2548.734	0	66.625
1	531586.4802	4990049	0	1.168903	1.366333	3648.748	1.33E+07	23.34375	544.9307	64	2593.938	0	48.03125
1	531826.4802	4990049	0	1.115389	1.244093	3418.392	1.17E+07	25.84375	667.8994	64	2565.938	0	50
1	532066.4802	4990049	0	1.196763	1.432241	3675.849	1.35E+07	24.71875	611.0166	64	2544	0	53.375
1	532306.4802	4990049	0	1.197782	1.434682	2812.906	7.91E+06	28.0625	787.5039	64	2540.656	0	40.14063
1	532546.4802	4990049	0	1.20361	1.448677	3063.532	9.39E+06	27.14063	736.6135	64	2532.266	0	36.04688
1	532786.4802	4990049	0	1.035661	1.072594	4357.574	1.90E+07	20.57813	423.4592	64	2550.281	0	27.5
1	533026.4802	4990049	0	1.032101	1.065232	4902.191	2.40E+07	16.48438	271.7346	64	2614.5	0	19.5
1	533266.4802	4990049	0	1.027112	1.05496	5756.119	3.31E+07	11.48438	131.8909	64	2615.406	0	10.625
1	533506.4802	4990049	0.9375	1.057512	1.118331	5628.812	3.17E+07	10.76563	115.8987	62	2610.703	0.000294247	1.5
1	533746.4802	4990049	2.34375	0.9120622	0.8318575	5346.562	2.86E+07	17.09375	292.1963	59	2579.438	0.000407387	0
1	533986.4802	4990049	0	0.983486	0.9672447	5949.917	3.54E+07	10.6875	114.2227	64	2566.109	0.002840673	0
1	534226.4802	4990049	0.46875	1.084595	1.176346	4856.419	2.36E+07	17.95313	322.3147	63	2625.063	0.001800911	0
1	534466.4802	4990049	2.069163	0.9334298	0.8712913	4838.461	2.34E+07	17.40625	302.9775	60	2660.031	0.003291414	0
1	534706.4802	4990049	19.94213	1.01589	1.032032	5134.02	2.64E+07	19.28125	371.7666	32	2659.391	0.008390305	0
1	534946.4802	4990049	0	0.8660538	0.7500491	7466.491	5.57E+07	5.078125	25.78735	64	2611.906	0.007159031	0
1	535186.4802	4990049	2.069163	0.9135709	0.8346118	3593.658	1.29E+07	18.84375	355.0869	35	2591.578	0.0019157	0
1	535426.4802	4990049	11.83249	0.9743692	0.9493953	5651.522	3.19E+07	21.95313	481.9397	44	2485.469	0.005901607	0
1	535666.4802	4990049	0	1.02419	1.048964	5889.724	3.47E+07	14.92188	222.6624	64	2460.469	0.003156123	0
1	535906.4802	4990049	0	0.994996	0.9900169	4592.205	2.11E+07	18.28125	334.2041	64	2527.953	0	0
1	536146.4802	4990049	0	0.9262055	0.8578566	4332.838	1.88E+07	18.98438	360.4065	64	2614.156	0	0
1	536386.4802	4990049	0	0.9972432	0.994494	4036.973	1.63E+07	16.21875	263.0479	64	2669.859	0	0
1	536626.4802	4990049	0	0.9652209	0.9316514	3749.08	1.41E+07	18.14063	329.0823	64	2701.203	0	0
1	536866.4802	4990049	0.46875	1.117172	1.248073	2250.912	5.07E+06	24.20313	585.7913	37	2735.969	0.001791151	0
1	537106.4802	4990049	31.57158	1.053592	1.110056	2082.099	4.34E+06	25.875	669.5156	19	2717.516	0.003944561	0
1	537346.4802	4990049	0	0.8277838	0.685226	4799.743	2.30E+07	16.54688	273.7991	64	2715.672	0.007220657	0
1	537586.4802	4990049	7.694162	1.124237	1.263908	3611.105	1.30E+07	21.92188	480.5686	51	2754.078	0.006176251	0
1	537826.4802	4990049	33.29066	1.038194	1.077846	6510.822	4.24E+07	14.76563	218.0237	33	2835.109	0.006358713	0
1	538066.4802	4990049	58.37582	1.071792	1.148738	9177.159	8.42E+07	11.67188	136.2327	2	2859.219	0.003180924	0
1	538306.4802	4990049	140.6237	0.9525436	0.9073392	11110.76	1.23E+08	6.21875	38.67285	2	2857.375	0.000294247	0
1	538546.4802	4990049	72.1744	0.8489404	0.7206997	8189.517	6.71E+07	4.3125	18.59766	13	2853.016	0.001437927	0
1	538786.4802	4990049	20.18648	1.122232	1.259405	4081.431	1.67E+07	18.53125	343.4072	29	2832.719	0.009523876	0
1	539026.4802	4990049	32.79745	1.016844	1.033972	3975.524	1.58E+07	14.51563	210.7034	29	2748.578	0.008666333	0
1	539266.4802	4990049	3.28125	0.9237563	0.8533257	5357.632	2.87E+07	12	144	57	2716.938	0.003942623	0
1	539506.4802	4990049	0	0.8822804	0.7784187	5208.161	2.71E+07	13.15625	173.0869	64	2659.5	0.00232101	0
1	539746.4802	4990049	0	1.013113	1.026398	4590.65	2.11E+07	17.125	293.2656	64	2609.25	0	0
1	539986.4802	4990049	0	0.8596624	0.7390193	5929.809	3.52E+07	10.10938	102.1995	64	2580.25	0	0
1	540226.4802	4990049	0	0.6536885	0.4273086	5986.733	3.58E+07	6.984375	48.78149	64	2585.922	0	0
1	540466.4802	4990049	0	0.9489875	0.9005772	4700.933	2.21E+07	15.67188	245.6077	64	2600.406	0.000315843	0
1	540706.4802	4990049	0	0.9822333	0.9647822	5134.265	2.64E+07	12.39063	153.5276	64	2608.766	0	0
1	540946.4802	4990049	0	0.9486755	0.8999851	4276.722	1.83E+07	18.46875	341.0947	64	2592.359	0	0
1	541186.4802	4990049	1.40625	0.9562051	0.9143282	3808.953	1.45E+07	22.65625	513.3057	61	2588.313	2.22E-05	0
1	541426.4802	4990049	14.67522	1.110075	1.232267	3621.358	1.31E+07	26.5625	705.5664	37	2601.813	0.003175411	0
1	541666.4802	4990049	2.34375	0.9272584	0.8598082	4919.978	2.42E+07	21.45313	460.2366	59	2567.828	0.006788658	0
1	541906.4802	4990049	0	0.7354817	0.5409334	5364.335	2.88E+07	18.34375	336.4932	64	2557.828	0.005326763	0
1	542146.4802	4990049	0	0.8914557	0.7946932	7314.684	5.35E+07	10.57813	111.8967	64	2547.984	0.006756026	0
1	542386.4802	4990049	0.9375	0.9397382	0.8831079	5076.909	2.58E+07	19.1875	368.1602	62	2501.047	0.00767696	0
1	542626.4802	4990049	0	0.8284348	0.6863043	5928.474	3.51E+07	15.71875	247.0791	64	2415.469	0.003572731	0
1	542866.4802	4990049	0	0.9117255	0.8312433	5779.532	3.34E+07	11.10938	123.4182	64	2360.406	0	0
1	543106.4802	4990049	0	0.8272091	0.6842748	5992.706	3.59E+07	8.3125	69.09766	64	2331.031	0	0
1	543346.4802	4990049	0	0.737729	0.544244	6009.677	3.61E+07	9.203125	84.69751	64	2322.078	0	0
1	543586.4802	4990049	0	0.7507992	0.5636994	5559.715	3.09E+07	11.21875	125.8604	64	2303.563	0	0
1	543826.4802	4990049	0	0.7973531	0.635772	5000.147	2.50E+07	11.40625	130.1025	64	2273.141	0	0
1	544066.4802	4990049	0	0.8793126	0.7731906	3281.962	1.08E+07	17.71875	313.9541	64	2222.672	0	0
1	544306.4802	4990049	0	1.037772	1.07697	2605.314	6.79E+06	19.46875	379.0322	64	2127.078	0.001326291	0
1	544546.4802	4990049	0	0.7584546	0.5752533	2095.844	4.39E+06	17.85938	318.9573	64	2071.844	0.001326291	0
1	544786.4802	4990049	0	0.802135	0.6434205	1654.124	2.74E+06	16.89063	285.2932	64	2011.5	0	0
1	545026.4802	4990049	0	0.7642421	0.584066	1477.37	2.18E+06	22.04688	486.0647	64	2038.484	0	0
1	545266.4802	4990049	0	0.78202	0.6115553	1223.566	1.50E+06	31.34375	982.4307	64	2137.688	0	0
1	545506.4802	4990049	0	0.830435	0.6896223	1130.567	1.28E+06	36.28125	1316.329	64	2252.453	0	0
1	545746.4802	4990049	0	0.8643072	0.747027	2493.691	6.22E+06	32.03125	1026.001	64	2373.125	0	0
1	545986.4802	4990049	0	0.81261	0.6603351	5462.013	2.98E+07	9.109375	82.98071	64	2433.5	0	0
1	546226.4802	4990049	0	0.5400368	0.2916397	6602.003	4.36E+07	3.984375	15.87524	64	2423.078	0	0
1	546466.4802	4990049	0	0.61809	0.3820352	5125.268	2.63E+07	15.29688	233.9944	64	2383.109	0	0
1	546706.4802	4990049	0	0.6742232	0.454577	6410.687	4.11E+07	5.65625	31.99316	64	2328.094	0	0
1	546946.4802	4990049	0.9375	0.790854	0.62545	6597.476	4.35E+07	1.84375	3.399414	62	2317.297	0.000151529	0
1	547186.4802	4990049	0	0.7976967	0.6363199	6447.655	4.16E+07	3.03125	9.188477	64	2311.641	0.00086397	0
1	547426.4802	4990049	1.875	0.7031025	0.4943532	6413.736	4.11E+07	3.828125	14.65454	60	2297.188	0.001024556	0
1	547666.4802	4990049	0.46875	0.8121992	0.6596675	4050.611	1.64E+07	3.828125	14.65454	63	2286.828	2.22E-05	0
1	547906.4802	4990049	9.019988	0.6188779	0.3830099	4990.625	2.49E+07	1.65625	2.743164	46	2277.016	0.005965121	0
1	548146.4802	4990049	0	0.7463834	0.5570881	3485.481	1.21E+07	6.34375	40.24316	64	2280.359	0.009219771	0
1	548386.4802	4990049	0	0.9899426	0.9799863	3333.103	1.11E+07	11.17188	124.8108	64	2285.156	0.006473372	0
1	548626.4802	4990049	0	0.8677083	0.7529178	5446.3	2.97E+07	5.78125	33.42285	64	2293.359	0.006320711	0
1	548866.4802	4990049	10.15165	0.8538838	0.7291176	6523.234	4.26E+07	6.765625	45.77368	48	2298.797	0.007784472	0
1	549106.4802	4990049	3.75	0.8823096	0.7784703	6871.58	4.72E+07	5.59375	31.29004	56	2320.688	0.0083816	0
1	549346.4802	4990049	0	0.8135394	0.6618463	5903.935	3.49E+07	9.203125	84.69751	64	2341.625	0.004152901	0
