x	y	Time	descape240	rghasp240	rghsq	elksum240	elksq	slope240	slopesq	forest240	elev240	edgeden240	road240	ExtentFile
523309	4974970	0	0	1.112	1.237	2554.406	6524992	25.391	644.684	64	2347	0.003	0	f5_AvailabilityGrid.txt
529509	4975580	7	0	0.887	0.787	2098.678	4404450	15.578	242.678	64	2066	0	0	f5_AvailabilityGrid.txt
525189	4974700	18	0	1.109	1.231	1696.026	2876506	22.047	486.065	64	2115	0	0	f5_AvailabilityGrid.txt
525979	4969290	23	0	0.812	0.659	3602.424	12977460	5.188	26.91	64	2387	0.002	0	f5_AvailabilityGrid.txt
529159	4968570	31	0	0.726	0.527	2441.219	5959550	5.953	35.44	64	2198	0	0	f5_AvailabilityGrid.txt
528759	4969200	37	0	1.004	1.009	2241.817	5025743	9.297	86.432	64	2214	0	0	f5_AvailabilityGrid.txt
530399	4968590	42	0	0.754	0.568	4133.47	17085570	3.063	9.379	64	2465	0.002	0	f5_AvailabilityGrid.txt
533039	4969780	48	0	0.951	0.904	3386.181	11466220	7.813	61.035	64	2437	0	0	f5_AvailabilityGrid.txt
527759	4971080	55	0	1.002	1.004	2775.155	7701484	9.766	95.367	64	2299	0	0	f5_AvailabilityGrid.txt
539259	4968020	63	0	1.042	1.086	5518.954	30458850	14.281	203.954	64	2527	0	0	f5_AvailabilityGrid.txt
532239	4967950	73	0	0.925	0.855	3299.014	10883490	15.859	251.52	64	2612	0.003	0	f5_AvailabilityGrid.txt
535949	4968400	76	3.007	0.802	0.643	3482.873	12130400	15.609	243.653	59	2730	0.004	0	f5_AvailabilityGrid.txt
535679	4968490	83	0	0.865	0.748	2064.15	4260716	14.359	206.192	64	2733	0	0	f5_AvailabilityGrid.txt
538099	4965860	90	0	1.05	1.103	5503.06	30283670	17.016	289.531	64	2498	0	0	f5_AvailabilityGrid.txt
528399	4960120	97	0	1.207	1.457	3550.595	12606730	19.359	374.785	64	2476	0	0	f5_AvailabilityGrid.txt
525639	4977380	135	18.897	1.07	1.145	2248.319	5054940	21.063	443.629	23	1983	0.004	0	f5_AvailabilityGrid.txt
525509	4977880	139	0	0.896	0.802	1467.428	2153345	14.484	209.797	64	1903	0.004	0	f5_AvailabilityGrid.txt
525229	4978020	142	9.516	1.094	1.197	1063.319	1130648	15.969	255.001	50	1841	0.004	0	f5_AvailabilityGrid.txt
524959	4975920	147	0	1.031	1.063	1920.046	3686575	18.219	331.923	64	2183	0.002	0	f5_AvailabilityGrid.txt
523169	4972570	160	0	0.783	0.612	2886.774	8333467	9.078	82.412	64	2236	0	0	f5_AvailabilityGrid.txt
537749	4981700	363	0	1.034	1.069	1335.835	1784454	16.625	276.391	64	2058	0	0	f5_AvailabilityGrid.txt
537749	4981680	372	0	1.034	1.069	1629.058	2653830	16.625	276.391	64	2058	0	0	f5_AvailabilityGrid.txt
537749	4981680	373	0	1.034	1.069	1629.058	2653830	16.625	276.391	64	2058	0	0	f5_AvailabilityGrid.txt
537749	4981680	374	0	1.034	1.069	1629.058	2653830	16.625	276.391	64	2058	0	0	f5_AvailabilityGrid.txt
537749	4981680	375	0	1.034	1.069	1629.058	2653830	16.625	276.391	64	2058	0	0	f5_AvailabilityGrid.txt
537749	4981680	376	0	1.034	1.069	1629.058	2653830	16.625	276.391	64	2058	0	0	f5_AvailabilityGrid.txt
537749	4981680	378	0	1.034	1.069	1629.058	2653830	16.625	276.391	64	2058	0	0	f5_AvailabilityGrid.txt
537759	4981630	382	0	1.034	1.069	1918.978	3682478	16.625	276.391	64	2058	0	0	f5_AvailabilityGrid.txt
536949	4981470	388	0	1.074	1.154	2977.71	8866757	12.469	155.47	64	2122	0	0	f5_AvailabilityGrid.txt
536949	4981470	394	0	1.074	1.154	2977.71	8866757	12.469	155.47	64	2122	0	0	f5_AvailabilityGrid.txt
525999	4976250	398	0	0.912	0.832	1831.233	3353413	16.609	275.871	64	2197	0	0	f5_AvailabilityGrid.txt
526059	4976280	399	0	0.912	0.832	2438.99	5948671	16.609	275.871	64	2180	0	0	f5_AvailabilityGrid.txt
525249	4975060	401	2.813	1.378	1.899	479.63	230045	36.234	1312.93	55	2132	0.002	0	f5_AvailabilityGrid.txt
525769	4975820	402	1.406	1.064	1.133	2618.765	6857930	18.016	324.563	61	2179	0.003	0	f5_AvailabilityGrid.txt
525499	4975170	403	22.011	0.849	0.72	4551.332	20714620	14.641	214.348	32	2195	0.009	0	f5_AvailabilityGrid.txt
525499	4975170	404	22.011	0.849	0.72	4551.332	20714620	14.641	214.348	32	2195	0.009	0	f5_AvailabilityGrid.txt
525759	4976120	406	0.938	1.36	1.848	583.215	340139.8	36.844	1357.462	62	2115	0.003	0	f5_AvailabilityGrid.txt
525499	4975170	409	22.011	0.849	0.72	4551.332	20714620	14.641	214.348	32	2195	0.009	0	f5_AvailabilityGrid.txt
526059	4976280	410	0	0.912	0.832	2438.99	5948671	16.609	275.871	64	2180	0	0	f5_AvailabilityGrid.txt
525499	4975170	411	22.011	0.849	0.72	4551.332	20714620	14.641	214.348	32	2195	0.009	0	f5_AvailabilityGrid.txt
527989	4977910	412	2.538	1.217	1.481	2037.809	4152667	30.547	933.112	36	2090	0.01	0	f5_AvailabilityGrid.txt
525509	4975040	413	53.756	0.854	0.729	4381.809	19200250	14	196	21	2204	0.006	0	f5_AvailabilityGrid.txt
531009	4980650	414	11.719	0.989	0.979	5883.454	34615030	13.281	176.392	47	2040	0.004	0	f5_AvailabilityGrid.txt
538059	4982710	415	30.822	0.86	0.74	302.817	91698.22	22.672	514.014	33	1767	0.005	0	f5_AvailabilityGrid.txt
533789	4982120	416	0	1.22	1.488	196.767	38717.2	31.781	1010.048	64	1840	0.004	0	f5_AvailabilityGrid.txt
527559	4978160	421	0	1.238	1.534	2540.45	6453887	30.141	908.457	39	2089	0.008	0	f5_AvailabilityGrid.txt
543439	4968330	430	0	0.641	0.411	6962.598	48477770	1.828	3.342	64	2349	0.004	0	f5_AvailabilityGrid.txt
528649	4968880	435	0	1.107	1.225	2027.016	4108795	16.469	271.22	64	2245	0	0	f5_AvailabilityGrid.txt
532379	4961170	444	0	1.017	1.035	1967.075	3869385	16.688	278.473	64	2670	0	0	f5_AvailabilityGrid.txt
